pathway	feature_ids
ABC transporters	PXA1
ABC transporters	PDR5
ABC transporters	STE6
ABC transporters	ATM1
ABC transporters	SNQ2
ABC transporters	YCF1
ABC transporters	PXA2
AGE-RAGE signaling pathway in diabetic complications	HOG1
AGE-RAGE signaling pathway in diabetic complications	KSS1
AGE-RAGE signaling pathway in diabetic complications	RAS1
AGE-RAGE signaling pathway in diabetic complications	RAS2
AGE-RAGE signaling pathway in diabetic complications	PLC1
AGE-RAGE signaling pathway in diabetic complications	PKC1
AGE-RAGE signaling pathway in diabetic complications	FUS3
AGE-RAGE signaling pathway in diabetic complications	CDC42
Alanine, aspartate and glutamate metabolism	GLT1
Alanine, aspartate and glutamate metabolism	AGX1
Alanine, aspartate and glutamate metabolism	AAT1
Alanine, aspartate and glutamate metabolism	CPA2
Alanine, aspartate and glutamate metabolism	AAT2
Alanine, aspartate and glutamate metabolism	ARG4
Alanine, aspartate and glutamate metabolism	CPA1
Alanine, aspartate and glutamate metabolism	ARG1
Alanine, aspartate and glutamate metabolism	GDH1
Alanine, aspartate and glutamate metabolism	GDH3
Alanine, aspartate and glutamate metabolism	GLN1
Alanine, aspartate and glutamate metabolism	GAD1
Alanine, aspartate and glutamate metabolism	GDH2
Alanine, aspartate and glutamate metabolism	ADE4
Alanine, aspartate and glutamate metabolism	NIT3
Alanine, aspartate and glutamate metabolism	UGA2
Alanine, aspartate and glutamate metabolism	UGA1
Alanine, aspartate and glutamate metabolism	PUT2
Alanine, aspartate and glutamate metabolism	ASN1
Alanine, aspartate and glutamate metabolism	URA2
Alanine, aspartate and glutamate metabolism	ASN2
Alanine, aspartate and glutamate metabolism	ASP1
Alanine, aspartate and glutamate metabolism	GFA1
Alanine, aspartate and glutamate metabolism	ADE13
Alanine, aspartate and glutamate metabolism	ADE12
Alanine, aspartate and glutamate metabolism	ALT2
Alanine, aspartate and glutamate metabolism	ASP3-2
Alanine, aspartate and glutamate metabolism	ALT1
Alanine, aspartate and glutamate metabolism	ASP3-1
Alanine, aspartate and glutamate metabolism	ASP3-4
Alanine, aspartate and glutamate metabolism	ASP3-3
Amino sugar and nucleotide sugar metabolism	GAL3
Amino sugar and nucleotide sugar metabolism	CBR1
Amino sugar and nucleotide sugar metabolism	PRM15
Amino sugar and nucleotide sugar metabolism	GAL7
Amino sugar and nucleotide sugar metabolism	PMI40
Amino sugar and nucleotide sugar metabolism	PGA3
Amino sugar and nucleotide sugar metabolism	CDA2
Amino sugar and nucleotide sugar metabolism	CDA1
Amino sugar and nucleotide sugar metabolism	CTS2
Amino sugar and nucleotide sugar metabolism	CTS1
Amino sugar and nucleotide sugar metabolism	HXK2
Amino sugar and nucleotide sugar metabolism	HXK1
Amino sugar and nucleotide sugar metabolism	PSA1
Amino sugar and nucleotide sugar metabolism	CHS3
Amino sugar and nucleotide sugar metabolism	CHS2
Amino sugar and nucleotide sugar metabolism	CHS1
Amino sugar and nucleotide sugar metabolism	SEC53
Amino sugar and nucleotide sugar metabolism	GLK1
Amino sugar and nucleotide sugar metabolism	QRI1
Amino sugar and nucleotide sugar metabolism	GFA1
Amino sugar and nucleotide sugar metabolism	EMI2
Amino sugar and nucleotide sugar metabolism	MCR1
Amino sugar and nucleotide sugar metabolism	PCM1
Amino sugar and nucleotide sugar metabolism	UGP1
Amino sugar and nucleotide sugar metabolism	GAL10
Amino sugar and nucleotide sugar metabolism	GNA1
Amino sugar and nucleotide sugar metabolism	PGI1
Amino sugar and nucleotide sugar metabolism	PGM2
Amino sugar and nucleotide sugar metabolism	GAL1
Amino sugar and nucleotide sugar metabolism	PGM1
Aminoacyl-tRNA biosynthesis	tN(GUU)Q
Aminoacyl-tRNA biosynthesis	FRS1
Aminoacyl-tRNA biosynthesis	SES1
Aminoacyl-tRNA biosynthesis	FRS2
Aminoacyl-tRNA biosynthesis	TW(CCA)P
Aminoacyl-tRNA biosynthesis	tA(AGC)J
Aminoacyl-tRNA biosynthesis	TG(GCC)F2
Aminoacyl-tRNA biosynthesis	tI(AAU)G
Aminoacyl-tRNA biosynthesis	SOE1
Aminoacyl-tRNA biosynthesis	tN(GUU)N1
Aminoacyl-tRNA biosynthesis	KRS1
Aminoacyl-tRNA biosynthesis	tN(GUU)N2
Aminoacyl-tRNA biosynthesis	tH(GUG)G2
Aminoacyl-tRNA biosynthesis	tV(AAC)E1
Aminoacyl-tRNA biosynthesis	tA(AGC)G
Aminoacyl-tRNA biosynthesis	TW(CCA)M
Aminoacyl-tRNA biosynthesis	TW(CCA)K
Aminoacyl-tRNA biosynthesis	TA(AGC)F
Aminoacyl-tRNA biosynthesis	TA(AGC)D
Aminoacyl-tRNA biosynthesis	tI(AAU)I2
Aminoacyl-tRNA biosynthesis	tI(AAU)I1
Aminoacyl-tRNA biosynthesis	tG(GCC)J1
Aminoacyl-tRNA biosynthesis	tC(GCA)P1
Aminoacyl-tRNA biosynthesis	tC(GCA)P2
Aminoacyl-tRNA biosynthesis	MSR1
Aminoacyl-tRNA biosynthesis	tW(UCA)Q
Aminoacyl-tRNA biosynthesis	tT(UGU)G2
Aminoacyl-tRNA biosynthesis	tN(GUU)O2
Aminoacyl-tRNA biosynthesis	TV(AAC)E2
Aminoacyl-tRNA biosynthesis	SUP17
Aminoacyl-tRNA biosynthesis	HTS1
Aminoacyl-tRNA biosynthesis	SUP16
Aminoacyl-tRNA biosynthesis	SUP19
Aminoacyl-tRNA biosynthesis	tT(AGU)J
Aminoacyl-tRNA biosynthesis	tT(UGU)G1
Aminoacyl-tRNA biosynthesis	WRS1
Aminoacyl-tRNA biosynthesis	tT(AGU)I1
Aminoacyl-tRNA biosynthesis	tT(AGU)I2
Aminoacyl-tRNA biosynthesis	SUP11
Aminoacyl-tRNA biosynthesis	GTF1
Aminoacyl-tRNA biosynthesis	tR(ACG)Q2
Aminoacyl-tRNA biosynthesis	VAS1
Aminoacyl-tRNA biosynthesis	tC(GCA)Q
Aminoacyl-tRNA biosynthesis	tG(GCC)G1
Aminoacyl-tRNA biosynthesis	tG(GCC)G2
Aminoacyl-tRNA biosynthesis	tV(AAC)G2
Aminoacyl-tRNA biosynthesis	tV(AAC)G3
Aminoacyl-tRNA biosynthesis	tH(GUG)E1
Aminoacyl-tRNA biosynthesis	tV(AAC)G1
Aminoacyl-tRNA biosynthesis	tP(UGG)O3
Aminoacyl-tRNA biosynthesis	ISM1
Aminoacyl-tRNA biosynthesis	tP(UGG)O1
Aminoacyl-tRNA biosynthesis	TH(GUG)H
Aminoacyl-tRNA biosynthesis	tH(GUG)E2
Aminoacyl-tRNA biosynthesis	tG(UCC)Q
Aminoacyl-tRNA biosynthesis	tK(CUU)D2
Aminoacyl-tRNA biosynthesis	tC(GCA)G
Aminoacyl-tRNA biosynthesis	tL(UAG)J
Aminoacyl-tRNA biosynthesis	TH(GUG)M
Aminoacyl-tRNA biosynthesis	IMT3
Aminoacyl-tRNA biosynthesis	tR(ACG)K
Aminoacyl-tRNA biosynthesis	TT(AGU)H
Aminoacyl-tRNA biosynthesis	IMT4
Aminoacyl-tRNA biosynthesis	tR(ACG)L
Aminoacyl-tRNA biosynthesis	IMT1
Aminoacyl-tRNA biosynthesis	IMT2
Aminoacyl-tRNA biosynthesis	TT(AGU)D
Aminoacyl-tRNA biosynthesis	TT(AGU)C
Aminoacyl-tRNA biosynthesis	MST1
Aminoacyl-tRNA biosynthesis	tR(ACG)J
Aminoacyl-tRNA biosynthesis	SUF4
Aminoacyl-tRNA biosynthesis	SUF3
Aminoacyl-tRNA biosynthesis	tR(ACG)D
Aminoacyl-tRNA biosynthesis	SUF2
Aminoacyl-tRNA biosynthesis	tR(ACG)E
Aminoacyl-tRNA biosynthesis	SUF1
Aminoacyl-tRNA biosynthesis	TP(UGG)L
Aminoacyl-tRNA biosynthesis	SUF9
Aminoacyl-tRNA biosynthesis	SUF8
Aminoacyl-tRNA biosynthesis	SUF7
Aminoacyl-tRNA biosynthesis	MSD1
Aminoacyl-tRNA biosynthesis	SUF6
Aminoacyl-tRNA biosynthesis	tA(AGC)K1
Aminoacyl-tRNA biosynthesis	SUF5
Aminoacyl-tRNA biosynthesis	tA(AGC)K2
Aminoacyl-tRNA biosynthesis	tX(XXX)L
Aminoacyl-tRNA biosynthesis	tG(GCC)O1
Aminoacyl-tRNA biosynthesis	tK(CUU)E2
Aminoacyl-tRNA biosynthesis	tK(CUU)E1
Aminoacyl-tRNA biosynthesis	TI(AAU)D
Aminoacyl-tRNA biosynthesis	PET112
Aminoacyl-tRNA biosynthesis	TR(UCU)G1
Aminoacyl-tRNA biosynthesis	TI(AAU)B
Aminoacyl-tRNA biosynthesis	tS(GCU)Q1
Aminoacyl-tRNA biosynthesis	tI(AAU)E2
Aminoacyl-tRNA biosynthesis	tI(AAU)E1
Aminoacyl-tRNA biosynthesis	TR(UCU)G3
Aminoacyl-tRNA biosynthesis	TR(UCU)G2
Aminoacyl-tRNA biosynthesis	GRS2
Aminoacyl-tRNA biosynthesis	GRS1
Aminoacyl-tRNA biosynthesis	tS(UGA)Q2
Aminoacyl-tRNA biosynthesis	NAM2
Aminoacyl-tRNA biosynthesis	TN(GUU)O1
Aminoacyl-tRNA biosynthesis	TF(GAA)H1
Aminoacyl-tRNA biosynthesis	TT(AGU)B
Aminoacyl-tRNA biosynthesis	RRS1
Aminoacyl-tRNA biosynthesis	TF(GAA)H2
