Gene	Protein	Glucose1	Glucose2	Glucose3	Glucose4	Glucose5	NoGlucose1	NoGlucose2	NoGlucose3	NoGlucose4	NoGlucose5
NBPF19	P0DPF3	4.690151555	9.662643094	8.360966282	7.399829516	9.525226643	10.01485052	8.060281642	8.390450756	7.903081047	9.762451557
UBE2L3	A0A1B0GUS4	14.82017225	14.6278185	14.92834547	14.88577066	14.87418614	14.67767704	14.59681709	14.76930303	14.73304731	14.72759864
RBM47	A0AV96	17.01003202	17.00511986	16.91122117	17.03466494	17.03996856	17.18468483	17.18281403	17.15078962	17.19828145	17.15295957
TTC26	A0AVF1	11.86292758	11.72804676	11.91722145	12.0813753	11.83215709	11.98316101	11.82593331	12.22542749	11.63111611	11.87193285
UBA6	A0AVT1	18.49514412	18.2196586	18.33707026	18.38757229	18.30931701	17.9472907	17.85049517	17.96991665	17.971681	18.06701649
ESYT2	A0FGR8	18.91206631	18.8662839	19.02606993	18.89096129	18.8662839	18.88408417	18.86863025	18.89961782	18.90753701	18.85088973
MED19	A0JLT2	13.88617422	14.19266577	13.89322537	13.82462228	13.94282815	14.05512561	14.41518082	14.17079538	14.15128162	14.10051057
UHRF1BP1L	A0JNW5	12.1432788	12.38384421	12.0884307	12.37936257	12.43266242	11.78461567	11.96013708	11.93635496	11.89046845	11.96013708
KIAA1598	A0MZ66	16.32913733	16.35386816	16.27915018	16.36550434	16.32529442	16.05359872	15.98642239	16.03938392	16.10510272	16.13891563
TMEM223	A0PJW6	12.15638452	12.25623717	12.11220952	12.31397066	12.39588458	12.21979702	12.54596553	12.30010033	12.58913493	12.5825568
ARHGAP10	A1A4S6	14.99769451	15.19277852	15.29630516	15.0484564	15.20499922	15.48496604	15.57260577	15.31857313	15.41629442	15.57499616
ILVBL	A1L0T0	18.01112039	17.98899748	18.06986679	18.00517854	18.04855096	17.90591401	17.93618575	17.85049517	17.95411511	17.91237071
C1orf226	A1L170	12.85238602	12.82166323	12.95678608	13.04251508	13.2577581	12.83429495	12.6673194	12.56385196	12.83133398	12.79600944
PLEKHG3	A1L390	14.19788511	14.07493523	13.90897016	13.99493499	13.91828652	13.92856557	14.2035769	13.91828652	13.94352582	14.10195813
ELOVL7	A1L3X0	10.36785212	10.49999681	10.36785212	10.09225455	9.971519079	10.32399298	10.19632158	10.15607174	10.45132986	10.31419721
CXorf23	A2AJT9	15.52649228	15.68105326	15.65188051	15.55649767	15.6351766	15.88678824	15.819941	15.92041702	15.8418863	15.7985035
NBAS	A2RRP1	17.9348414	17.9485553	18.00402058	17.8814016	17.88680179	17.99024047	17.9995328	17.99792747	18.01406265	18.01558054
DENND3	A2RUS2	10.13500529	8.253693594	8.667112664	11.09626101	10.49136655	10.60608759	10.15607174	10.00276643	10.6675379	10.208766
KIAA0922	A2VDJ0	13.59111645	13.34909007	13.6848711	13.48371738	13.51562269	13.92629045	13.89170584	13.71035892	13.92354554	13.90735028
VWA8	A3KMH1	17.48325098	17.73671159	17.67090976	17.65782715	17.53395726	17.5218601	17.47501004	17.38237932	17.5897647	17.65669285
SBNO1	A3KN83	13.05640282	13.68432296	13.11375875	13.15255573	13.22478301	13.42111302	13.28505925	13.17433722	13.10852525	13.40072529
GTPBP10	A4D1E9	14.14438989	14.29154024	14.28696399	14.15864441	14.25844627	14.40863316	14.72275408	14.61189129	14.30714635	14.36985547
LCHN	A4D1U4	16.25112992	16.23706903	16.47347202	16.39578693	16.35657668	16.58395412	16.49701932	16.51003709	16.52636119	16.61281343
VPS37C	A5D8V6	14.71050206	14.8514815	15.06652374	14.87475943	14.80090832	14.74077529	14.47477159	14.3553883	14.57583045	14.49630166
CNOT1	A5YKK6	17.80873254	17.84558486	17.80309343	17.85049517	17.84517321	17.8116142	17.77124278	17.87947045	17.81616066	17.85858236
ARHGEF35	A5YM69	11.55396663	10.6675379	11.35207376	11.6448424	11.36987819	11.35045898	11.31195235	11.41281735	11.39639885	11.11412224
MAP1LC3A	Q9H492	14.80581143	14.81084938	14.95674491	14.71694413	14.57794054	13.76351096	13.7338199	13.6877184	13.74432936	13.7338199
C2orf72	A6NCS6	13.6523178	13.6311851	13.68432296	13.66807143	13.58914648	13.79740008	13.73000693	13.7055141	13.84002741	13.46072038
PGP	A6NDG6	16.6774385	16.40335659	16.46108728	16.57051254	16.67348937	16.30807044	16.09162127	16.43911532	16.21517365	16.32704218
C5orf51	A6NDU8	12.93471891	12.50251936	12.77542509	13.02505481	12.93094429	12.8361597	12.73641887	12.80921601	12.54263382	12.68478722
RCCD1	A6NED2	10.23918519	10.07164489	10.17854797	9.695114406	10.62512839	9.734774698	10.40091187	10.82948302	9.938713726	10.46000056
ZNF316	A6NFI3	13.33058699	13.87539748	13.4348569	13.30482139	13.42628682	13.80163695	13.85731589	13.65150222	14.2415486	14.05397777
FBLL1	A6NHQ2	14.79043937	14.97075886	14.89185557	15.08659706	14.9624359	15.00035333	14.91076839	14.85203528	14.97702836	15.02335517
SMCHD1	A6NHR9	18.64501317	18.55971875	18.48547389	18.6570805	18.58466746	18.708331	18.60156624	18.82216816	18.73508072	18.72494457
ARHGAP42	A6NI28	14.48853199	14.46878815	14.804915	14.56645127	14.5108358	14.60571812	14.56704026	14.5529769	14.53762424	14.54016327
CCDC69	A6NI79	13.38638053	13.01702215	13.71883714	13.39417086	13.35632923	13.62024422	13.76215148	13.40930284	13.57155187	13.6256083
UNC119B	A6NIH7	11.4278363	11.28228815	11.23317134	11.57056796	11.55929938	11.46209603	11.75385867	11.65313802	11.50915536	11.00392939
LRRC10B	A6NIK2	14.93156159	14.97512583	15.00279298	15.20588597	14.93757483	14.40181977	14.20255393	13.93322277	14.44756828	14.67329902
METTL15	A6NJ78	13.92030598	13.67818018	14.04284659	14.17259088	14.09611807	14.30373971	14.24521846	14.32095489	14.16169327	14.32893209
LIPT2	A6NK58	14.40716813	13.84321607	14.50969581	14.66194505	14.24705256	14.30986925	14.39145519	14.44726119	14.56125137	14.36184793
CCDC85C	A6NKD9	14.72275408	14.42988264	14.51206908	14.62612796	14.54661869	14.60458635	14.46452246	14.83764588	14.52710729	14.56392993
SAC3D1	A6NKF1	14.96936649	14.73426115	14.83156212	14.93156159	14.82957948	14.83717746	14.84735882	14.90117251	14.81423791	15.00799213
RGPD4	Q7Z3J3	12.18042326	12.2610457	12.10415054	12.21394104	12.5067131	12.44238939	12.54900902	13.38334013	12.52941496	12.46002928
LRRIQ3	A6PVS8	14.1907194	14.10307624	14.2823304	14.19488368	14.17492944	14.32261942	14.42828176	14.36941695	14.54330183	14.63343965
ZSWIM8	A7E2V4	13.65341535	13.60477357	13.75236645	13.54435781	13.69364537	13.43956972	13.27410119	13.25874264	13.2606063	13.60694671
ARHGAP32	A7KAX9	11.6725474	11.45944317	11.83504078	12.26495475	12.20147248	11.6128446	12.17250573	12.0813753	11.72463454	12.16036928
DISP2	A7MBM2	11.8491603	12.08432885	12.72626256	12.19195519	12.63142959	12.74945296	12.90302287	12.47794565	12.90720648	12.97175867
CYSRT1	A8MQ03	13.97654488	13.76774054	14.32641025	14.1907194	14.26827085	14.09331755	14.00572871	14.17320785	14.01484201	14.17564436
SNRPG	P62308	15.55720211	15.32631373	15.48700897	15.58714802	15.68105326	15.9424382	16.06698142	15.95017165	15.93012458	16.07864233
NUDT19	A8MXV4	17.49324605	17.63809811	17.66121389	17.51033817	17.42324534	17.68038413	17.75307414	17.61950474	17.64131746	17.65865455
MIF4GD	A9UHW6	13.59251047	13.35632923	13.5122098	13.65999991	13.56075552	13.51014491	12.93471891	13.24021851	13.51185631	13.45345387
HACD1	B0YJ81	13.70265751	13.66153248	13.72599448	13.67731598	13.5751451	13.56273204	13.44040817	13.60615354	13.46748067	13.58515899
HMGB2	P26583	15.75504775	15.8292667	15.80153328	16.13891563	16.00607378	15.96162455	15.72804262	15.50879785	15.85315886	16.00140122
GPR89B	P0CG08	13.31727371	13.48639935	13.42111302	13.65873679	13.59354644	13.51428262	13.56075552	13.49914581	13.5679124	13.65873679
WASH3P	C4AMC7	14.67027288	14.40529565	14.45594381	14.54330183	14.56534601	14.11208253	14.03850526	14.3811947	14.25715891	14.23103558
TMEM238	C9JI98	11.10129426	10.7345223	11.00392939	10.88774575	11.07433194	10.87417455	10.88774575	11.02309029	11.29549748	11.21122733
FAM195B	C9JLW8	13.3410675	13.43956972	13.28378211	13.54213655	13.12788251	13.38101018	13.29872052	13.2322806	13.2366507	13.44603308
NACA	Q13765	15.34981762	15.19553276	15.1876786	15.1623881	15.43560598	15.30166036	15.31224208	15.32458024	15.27493533	15.29865526
NDUFC2-KCTD14	E9PQ53	15.22330752	15.33723387	15.40369933	15.00609576	15.15528258	15.43275145	15.40155209	15.18558945	15.39988023	15.30045993
C11orf98	E9PRG8	17.33590021	17.11018579	16.96406682	17.2222817	17.27572293	16.88553393	16.99742391	16.99742391	17.06516944	17.00799088
CNKSR3	G9CGD6	13.91354038	14.240502	14.22977824	14.01233092	13.88545803	14.03424037	14.12638061	14.14889262	13.99272911	14.06846945
SLC35A4	L0R6Q1	16.26079986	16.34630596	16.44335747	16.30072934	16.18958735	16.47485331	16.48426861	16.29909509	16.51121503	16.41856763
SMCR7L	L0R8F8	15.00734195	14.94972234	15.14813036	14.95963485	15.02417246	15.15695881	15.35532292	15.01000829	15.15695881	15.17744665
DNASE2	O00115	16.58894274	16.86185266	16.73417147	16.44492024	16.64931962	16.8133061	16.82227939	16.76859797	16.67137049	16.65986466
AGPS	O00116	18.39705047	18.47315603	18.55971875	18.48928584	18.45801043	18.59165612	18.59333401	18.55647313	18.56919028	18.58995503
UBXN8	O00124	12.5601415	12.11220952	12.74295001	12.54038904	12.27916251	12.44413355	12.41726676	12.65503649	12.67838198	12.57625192
KIF2A	O00139	17.96991665	17.95995304	17.90893678	17.95916112	17.98490587	17.84074654	17.90456001	17.9472907	17.90052575	18.00255828
TK2	O00142	15.88549923	15.94158852	16.23947141	16.06839368	15.8872214	16.17070415	16.31247513	15.93835476	16.07559203	16.17811864
DDX39A	O00148	17.40211697	17.40509016	17.55660867	17.41729889	17.39048031	17.28923559	17.18468483	17.027595	17.22614154	17.25122605
PDLIM1	O00151	17.22614154	17.2828598	16.92531364	16.97637084	17.00331475	17.0337362	17.20136892	17.28710478	17.05300016	16.87571268
ACOT7	O00154	18.47315603	18.26518664	18.32808339	18.36715131	18.54352317	18.14693096	18.22598033	18.38555065	18.07723739	18.16680032
MYO1C	O00159	19.60626952	19.56938629	19.58180177	19.68794579	19.51895758	19.72961716	19.81458979	19.86161528	19.75088873	19.70560416
SNAP23	O00161	15.98441767	16.1162815	16.28733646	16.05776203	16.16537304	16.15679289	16.18990424	15.98373981	16.23583324	16.14335379
HAX1	O00165	15.31224208	15.39669801	15.60118974	15.46263881	15.57760958	15.70953869	15.74212654	15.87236469	15.77084704	15.74212654
AIP	O00170	16.13942247	15.81213111	15.84322388	15.88367177	15.80532096	15.50545111	15.47169634	15.74021571	15.53288668	15.52101563
GTPBP1	O00178	16.36822092	16.22235209	16.27267609	16.2776638	16.28053977	16.18457197	16.00742948	16.03053798	16.14814373	16.22045678
LGALS9	O00182	16.77772045	16.77944087	16.85184993	16.72692318	16.83508355	16.84973358	17.02212428	16.89202572	17.05152702	16.97354067
STXBP3	O00186	17.13993929	17.02658405	17.13247996	17.13127285	17.0918082	17.23517213	17.30504792	17.19390361	17.24323423	17.16865013
AP4M1	O00189	12.34987075	12.09474209	12.34172517	12.00230026	12.16581577	12.11835252	11.93868098	12.57366686	12.04282441	11.94641599
ARVCF	O00192	14.56189703	13.78176122	14.01345318	14.06591287	14.06407076	13.97202573	13.84580367	14.01147331	13.93836435	13.71530301
SMAP	O00193	14.48060815	14.55976174	14.99885873	14.79322232	15.15465482	15.33681771	15.30527237	15.47084453	15.35974342	15.47776753
RAB27B	O00194	16.25599675	16.19927451	16.34801569	16.11678473	16.12772261	16.23827032	16.1425746	16.13793496	16.3413908	16.16148147
AP3B1	O00203	18.18931022	18.1569709	18.10930804	18.12674738	18.1446051	18.04464403	17.94969886	18.01558054	18.0167871	18.0738885
RHOD	O00212	14.59792316	14.52475709	14.74859797	14.60242099	14.52870101	14.62388838	14.75550253	14.36744156	14.54857269	14.66684086
LGALS8	O00214	13.96688127	14.02450418	14.18007239	13.93249722	14.06591287	14.06002485	14.18874879	14.03306498	14.13512778	14.18495766
NDUFS8	O00217	17.12417485	17.2527568	17.60954732	17.42698042	16.95168882	17.17539209	17.08188377	16.975213	17.06996142	17.19654052
TNFRSF10A	O00220	15.25214696	15.29079613	15.48087011	15.2873849	15.2637388	15.13574139	15.13574139	14.90887107	15.22971906	15.29592603
NFKBIE	O00221	14.30475913	14.3594577	14.11643005	14.15246867	14.16666043	13.84321607	13.83689491	13.81533883	13.90940808	13.82887284
PSMD11	O00231	17.2812206	17.25452042	17.07780126	17.10827485	17.13773772	17.08480641	16.95168882	17.05619464	17.0523047	17.06396964
PSMD12	O00232	17.56895666	17.54937208	17.45524713	17.48500976	17.50545885	17.42808194	17.37483189	17.42698042	17.40326848	17.42843532
PSMD9	O00233	16.6062296	16.55054959	16.4654824	16.55125299	16.63357654	16.21140155	16.11162453	16.2527275	16.16610175	16.21080507
ATOX1	O00244	12.18163648	12.28253836	12.33524822	12.15340999	12.25806347	11.6383065	11.1439822	11.38987957	11.59503204	11.53017984
MEN1	O00255	16.4654824	16.27034105	16.36037084	16.36944753	16.43744188	16.65409553	16.61135824	16.6905251	16.61326463	16.54959039
CBX4	O00257	13.9415307	14.33467681	13.80052913	13.75442032	13.81294431	14.24639506	14.63138105	14.67191181	14.30986925	14.4022549
PGRMC1	O00264	17.75307414	17.84768976	17.96991665	17.83109749	17.7512227	18.01112039	18.03542429	17.92729787	17.98373189	17.96823448
SUPT5H	O00267	17.62616864	17.58401985	17.57243083	17.66376031	17.73440286	17.78998764	17.72452125	17.87824529	17.81481538	17.73311684
