pathway	feature_ids
insulin receptor signaling pathway (GO:0008286)	ist-1
insulin receptor signaling pathway (GO:0008286)	daf-16
insulin receptor signaling pathway (GO:0008286)	unc-64
insulin receptor signaling pathway (GO:0008286)	hlh-13
insulin receptor signaling pathway (GO:0008286)	daf-2
insulin receptor signaling pathway (GO:0008286)	akt-1
insulin receptor signaling pathway (GO:0008286)	dao-5
insulin receptor signaling pathway (GO:0008286)	aap-1
insulin receptor signaling pathway (GO:0008286)	akt-2
insulin receptor signaling pathway (GO:0008286)	ins-6
insulin receptor signaling pathway (GO:0008286)	egl-4
dauer larval development (GO:0040024)	gpa-3
dauer larval development (GO:0040024)	soc-1
dauer larval development (GO:0040024)	strd-1
dauer larval development (GO:0040024)	daf-28
dauer larval development (GO:0040024)	bar-1
dauer larval development (GO:0040024)	age-1
dauer larval development (GO:0040024)	atg-18
dauer larval development (GO:0040024)	daf-22
dauer larval development (GO:0040024)	unc-3
dauer larval development (GO:0040024)	daf-25
dauer larval development (GO:0040024)	ifta-2
dauer larval development (GO:0040024)	nuo-1
dauer larval development (GO:0040024)	dhs-28
dauer larval development (GO:0040024)	blmp-1
dauer larval development (GO:0040024)	kin-29
dauer larval development (GO:0040024)	ogt-1
dauer larval development (GO:0040024)	sca-1
dauer larval development (GO:0040024)	fsn-1
dauer larval development (GO:0040024)	aap-1
dauer larval development (GO:0040024)	unc-51
dauer larval development (GO:0040024)	daf-3
dauer larval development (GO:0040024)	daf-18
dauer larval development (GO:0040024)	daf-4
dauer larval development (GO:0040024)	daf-1
dauer larval development (GO:0040024)	daf-16
dauer larval development (GO:0040024)	pdk-1
dauer larval development (GO:0040024)	tax-6
dauer larval development (GO:0040024)	unc-119
dauer larval development (GO:0040024)	daf-2
dauer larval development (GO:0040024)	ttx-3
dauer larval development (GO:0040024)	hcf-1
dauer larval development (GO:0040024)	daf-11
dauer larval development (GO:0040024)	atp-2
dauer larval development (GO:0040024)	daf-14
dauer larval development (GO:0040024)	lgg-1
dauer larval development (GO:0040024)	daf-15
dauer larval development (GO:0040024)	daf-12
dauer larval development (GO:0040024)	ist-1
dauer larval development (GO:0040024)	srg-36
dauer larval development (GO:0040024)	tph-1
dauer larval development (GO:0040024)	lin-12
dauer larval development (GO:0040024)	daf-9
dauer larval development (GO:0040024)	srg-37
dauer larval development (GO:0040024)	daf-7
dauer larval development (GO:0040024)	daf-8
dauer larval development (GO:0040024)	daf-5
dauer larval development (GO:0040024)	pptr-1
dauer larval development (GO:0040024)	hsp-90
dauer larval development (GO:0040024)	oga-1
dauer larval development (GO:0040024)	osm-5
dauer larval development (GO:0040024)	che-3
dauer larval development (GO:0040024)	che-2
dauer larval development (GO:0040024)	sma-6
dauer larval development (GO:0040024)	ins-3
dauer larval development (GO:0040024)	lag-2
dauer larval development (GO:0040024)	sma-5
dauer larval development (GO:0040024)	lag-1
dauer larval development (GO:0040024)	sma-4
dauer larval development (GO:0040024)	ins-6
dauer larval development (GO:0040024)	ins-5
dauer larval development (GO:0040024)	ins-4
dauer larval development (GO:0040024)	atg-7
dauer larval development (GO:0040024)	hsf-1
dauer larval development (GO:0040024)	hlh-13
dauer larval development (GO:0040024)	tatn-1
dauer larval development (GO:0040024)	sir-2.1
dauer larval development (GO:0040024)	bec-1
dauer larval development (GO:0040024)	pkc-1
dauer larval development (GO:0040024)	fbxl-1
dauer larval development (GO:0040024)	mrp-1
dauer larval development (GO:0040024)	scd-2
dauer larval development (GO:0040024)	che-11
dauer larval development (GO:0040024)	osm-3
dauer larval development (GO:0040024)	ncr-1
dauer larval development (GO:0040024)	ncr-2
dauer larval development (GO:0040024)	osm-1
dauer larval development (GO:0040024)	catp-1
dauer larval development (GO:0040024)	daf-38
dauer larval development (GO:0040024)	natc-2
dauer larval development (GO:0040024)	dyf-11
dauer larval development (GO:0040024)	natc-1
dauer larval development (GO:0040024)	sta-1
dauer larval development (GO:0040024)	eak-4
dauer larval development (GO:0040024)	ins-18
dauer larval development (GO:0040024)	daf-31
dauer larval development (GO:0040024)	srbc-66
dauer larval development (GO:0040024)	eak-6
dauer larval development (GO:0040024)	ins-17
dauer larval development (GO:0040024)	hid-1
dauer larval development (GO:0040024)	daf-37
dauer larval development (GO:0040024)	srbc-64
dauer larval development (GO:0040024)	glp-1
dauer larval development (GO:0040024)	dao-5
dauer larval development (GO:0040024)	ftt-2
dauer larval development (GO:0040024)	hen-1
amino acid transmembrane transport (GO:0003333)	skat-1
amino acid transmembrane transport (GO:0003333)	slc-36.3
amino acid transmembrane transport (GO:0003333)	slc-36.4
amino acid transmembrane transport (GO:0003333)	slc-36.2
amino acid transmembrane transport (GO:0003333)	atgp-1
amino acid transmembrane transport (GO:0003333)	slc-36.5
amino acid transmembrane transport (GO:0003333)	unc-47
amino acid transmembrane transport (GO:0003333)	Y4C6B.2
amino acid transmembrane transport (GO:0003333)	Y32F6A.4
amino acid transmembrane transport (GO:0003333)	aat-1
amino acid transmembrane transport (GO:0003333)	aat-6
amino acid transmembrane transport (GO:0003333)	F21D12.3
amino acid transmembrane transport (GO:0003333)	aat-7
amino acid transmembrane transport (GO:0003333)	aat-8
amino acid transmembrane transport (GO:0003333)	aat-9
amino acid transmembrane transport (GO:0003333)	F13H10.3
amino acid transmembrane transport (GO:0003333)	aat-2
amino acid transmembrane transport (GO:0003333)	aat-3
amino acid transmembrane transport (GO:0003333)	aat-4
amino acid transmembrane transport (GO:0003333)	aat-5
amino acid transmembrane transport (GO:0003333)	R02F2.8
amino acid transmembrane transport (GO:0003333)	Y43F4B.7
amino acid transmembrane transport (GO:0003333)	Y59H11AR.4
amino acid transmembrane transport (GO:0003333)	Y51F10.4
amino acid transmembrane transport (GO:0003333)	atgp-2
amino acid transmembrane transport (GO:0003333)	Y18D10A.23
defense response to Gram-negative bacterium (GO:0050829)	gpa-3
defense response to Gram-negative bacterium (GO:0050829)	gpa-2
defense response to Gram-negative bacterium (GO:0050829)	T19D12.4
defense response to Gram-negative bacterium (GO:0050829)	pgp-3
