pathway	feature_ids
GTP binding (GO:0005525)	CG17819
GTP binding (GO:0005525)	betaTub56D
GTP binding (GO:0005525)	pnut
GTP binding (GO:0005525)	Ns1
GTP binding (GO:0005525)	awd
GTP binding (GO:0005525)	Ns3
GTP binding (GO:0005525)	RhoBTB
GTP binding (GO:0005525)	Arf79F
GTP binding (GO:0005525)	betaTub60D
GTP binding (GO:0005525)	Arf51F
GTP binding (GO:0005525)	RhoL
GTP binding (GO:0005525)	RhoU
GTP binding (GO:0005525)	Ran
GTP binding (GO:0005525)	alphaTub67C
GTP binding (GO:0005525)	RecQ5
GTP binding (GO:0005525)	betaTub85D
GTP binding (GO:0005525)	Mtl
GTP binding (GO:0005525)	Rab26
GTP binding (GO:0005525)	CG7794
GTP binding (GO:0005525)	Sar1
GTP binding (GO:0005525)	gammaTub23C
GTP binding (GO:0005525)	Rho1
GTP binding (GO:0005525)	CG42541
GTP binding (GO:0005525)	eRF3
GTP binding (GO:0005525)	kappaB-Ras
GTP binding (GO:0005525)	Arf102F
GTP binding (GO:0005525)	dnd
GTP binding (GO:0005525)	atl
GTP binding (GO:0005525)	Miro
GTP binding (GO:0005525)	chb
GTP binding (GO:0005525)	Cdc42
GTP binding (GO:0005525)	CG32396
GTP binding (GO:0005525)	Gie
GTP binding (GO:0005525)	betaTub97EF
GTP binding (GO:0005525)	Pu
GTP binding (GO:0005525)	Ttd14
GTP binding (GO:0005525)	Tsr1
GTP binding (GO:0005525)	alphaTub85E
GTP binding (GO:0005525)	Arl6
GTP binding (GO:0005525)	Arl5
GTP binding (GO:0005525)	Arl4
GTP binding (GO:0005525)	gammaTub37C
GTP binding (GO:0005525)	Arl2
GTP binding (GO:0005525)	Arl1
GTP binding (GO:0005525)	Galphao
GTP binding (GO:0005525)	Sep1
GTP binding (GO:0005525)	Rac1
GTP binding (GO:0005525)	Rgk3
GTP binding (GO:0005525)	Rac2
GTP binding (GO:0005525)	alphaTub84D
GTP binding (GO:0005525)	128up
GTP binding (GO:0005525)	Rgk1
GTP binding (GO:0005525)	alphaTub84B
GTP binding (GO:0005525)	Rgk2
GTP binding (GO:0005525)	CG7728
protein heterodimerization activity (GO:0046982)	ftz-f1
protein heterodimerization activity (GO:0046982)	amos
protein heterodimerization activity (GO:0046982)	Ercc1
protein heterodimerization activity (GO:0046982)	kay
protein heterodimerization activity (GO:0046982)	Burs
protein heterodimerization activity (GO:0046982)	RagC-D
protein heterodimerization activity (GO:0046982)	nht
protein heterodimerization activity (GO:0046982)	Jra
protein heterodimerization activity (GO:0046982)	Ggamma30A
protein heterodimerization activity (GO:0046982)	Bro
protein heterodimerization activity (GO:0046982)	Clk
protein heterodimerization activity (GO:0046982)	gce
protein heterodimerization activity (GO:0046982)	DNApol-alpha73
protein heterodimerization activity (GO:0046982)	trpl
protein heterodimerization activity (GO:0046982)	scb
protein heterodimerization activity (GO:0046982)	exd
protein heterodimerization activity (GO:0046982)	Drl-2
protein heterodimerization activity (GO:0046982)	Gbeta76C
protein heterodimerization activity (GO:0046982)	if
protein heterodimerization activity (GO:0046982)	per
