pathway	feature_ids
ABC transporters	abcg4a
ABC transporters	abcg2a
ABC transporters	abcd1
ABC transporters	abcb5
ABC transporters	abcb7
ABC transporters	abcc6a
ABC transporters	abcb6b
ABC transporters	abcb8
ABC transporters	abcb6a
ABC transporters	abca4b
ABC transporters	abcd4
ABC transporters	abcc12
ABC transporters	abcb9
ABC transporters	tap2a
ABC transporters	wu:fb13g09
ABC transporters	abcc10
ABC transporters	abca12
ABC transporters	abcb10
ABC transporters	abcc1
ABC transporters	abcg5
ABC transporters	cftr
ABC transporters	abcg1
ABC transporters	abca5
ABC transporters	abcc8
ABC transporters	abcc9
ABC transporters	abca3b
ABC transporters	abcc2
ABC transporters	abcc3
ABC transporters	abca2
ABC transporters	abcc4
ABC transporters	abca1b
ABC transporters	abcb11b
ABC transporters	abcg8
ABC transporters	abcd3a
ABC transporters	abcb11a
ABC transporters	abcc5
ABC transporters	abca1a
ABC transporters	tap1
AGE-RAGE signaling pathway in diabetic complications	smad3a
AGE-RAGE signaling pathway in diabetic complications	zgc:153993
AGE-RAGE signaling pathway in diabetic complications	plcb4
AGE-RAGE signaling pathway in diabetic complications	fn1a
AGE-RAGE signaling pathway in diabetic complications	pik3cb
AGE-RAGE signaling pathway in diabetic complications	pim1
AGE-RAGE signaling pathway in diabetic complications	pik3ca
AGE-RAGE signaling pathway in diabetic complications	pim2
AGE-RAGE signaling pathway in diabetic complications	stat1b
AGE-RAGE signaling pathway in diabetic complications	plcb2
AGE-RAGE signaling pathway in diabetic complications	plcb3
AGE-RAGE signaling pathway in diabetic complications	stat1a
AGE-RAGE signaling pathway in diabetic complications	prkcaa
AGE-RAGE signaling pathway in diabetic complications	nfkb1
AGE-RAGE signaling pathway in diabetic complications	mapk14a
AGE-RAGE signaling pathway in diabetic complications	nras
AGE-RAGE signaling pathway in diabetic complications	mapk14b
AGE-RAGE signaling pathway in diabetic complications	akt2l
AGE-RAGE signaling pathway in diabetic complications	akt2
AGE-RAGE signaling pathway in diabetic complications	akt1
AGE-RAGE signaling pathway in diabetic complications	agt
AGE-RAGE signaling pathway in diabetic complications	prkcbb
AGE-RAGE signaling pathway in diabetic complications	prkcba
AGE-RAGE signaling pathway in diabetic complications	akt3b
AGE-RAGE signaling pathway in diabetic complications	rela
AGE-RAGE signaling pathway in diabetic complications	vcam1b
AGE-RAGE signaling pathway in diabetic complications	pik3cd
AGE-RAGE signaling pathway in diabetic complications	col1a1b
AGE-RAGE signaling pathway in diabetic complications	akt3a
AGE-RAGE signaling pathway in diabetic complications	col1a1a
AGE-RAGE signaling pathway in diabetic complications	cdk4
AGE-RAGE signaling pathway in diabetic complications	zgc:55558
AGE-RAGE signaling pathway in diabetic complications	tgfb3
AGE-RAGE signaling pathway in diabetic complications	tgfb2
AGE-RAGE signaling pathway in diabetic complications	tgfbr2b
AGE-RAGE signaling pathway in diabetic complications	casp3a
AGE-RAGE signaling pathway in diabetic complications	casp3b
AGE-RAGE signaling pathway in diabetic complications	ccnd1
AGE-RAGE signaling pathway in diabetic complications	serpine1
AGE-RAGE signaling pathway in diabetic complications	prkcdb
AGE-RAGE signaling pathway in diabetic complications	prkcda
AGE-RAGE signaling pathway in diabetic complications	nox1
AGE-RAGE signaling pathway in diabetic complications	zgc:171775
AGE-RAGE signaling pathway in diabetic complications	si:dkey-101k6.5
AGE-RAGE signaling pathway in diabetic complications	egr1
AGE-RAGE signaling pathway in diabetic complications	nox4
AGE-RAGE signaling pathway in diabetic complications	tgfbr1b
AGE-RAGE signaling pathway in diabetic complications	smad2
AGE-RAGE signaling pathway in diabetic complications	tgfbr1a
AGE-RAGE signaling pathway in diabetic complications	mapk12a
AGE-RAGE signaling pathway in diabetic complications	mapk12b
AGE-RAGE signaling pathway in diabetic complications	cybb
AGE-RAGE signaling pathway in diabetic complications	prkceb
AGE-RAGE signaling pathway in diabetic complications	prkcea
AGE-RAGE signaling pathway in diabetic complications	mapk9
AGE-RAGE signaling pathway in diabetic complications	mapk11
AGE-RAGE signaling pathway in diabetic complications	mapk10
AGE-RAGE signaling pathway in diabetic complications	cdkn1bb
AGE-RAGE signaling pathway in diabetic complications	bcl2b
AGE-RAGE signaling pathway in diabetic complications	bcl2a
AGE-RAGE signaling pathway in diabetic complications	mapk1
AGE-RAGE signaling pathway in diabetic complications	foxo1a
AGE-RAGE signaling pathway in diabetic complications	stat5b
AGE-RAGE signaling pathway in diabetic complications	mapk3
AGE-RAGE signaling pathway in diabetic complications	cdkn1ba
AGE-RAGE signaling pathway in diabetic complications	foxo1b
AGE-RAGE signaling pathway in diabetic complications	f3a
AGE-RAGE signaling pathway in diabetic complications	mapk8b
AGE-RAGE signaling pathway in diabetic complications	il6
AGE-RAGE signaling pathway in diabetic complications	vegfab
AGE-RAGE signaling pathway in diabetic complications	f3b
AGE-RAGE signaling pathway in diabetic complications	vegfaa
AGE-RAGE signaling pathway in diabetic complications	si:ch73-374l24.1
AGE-RAGE signaling pathway in diabetic complications	mapk13
AGE-RAGE signaling pathway in diabetic complications	mapk8a
AGE-RAGE signaling pathway in diabetic complications	cdc42
AGE-RAGE signaling pathway in diabetic complications	prkcz
AGE-RAGE signaling pathway in diabetic complications	jak2b
AGE-RAGE signaling pathway in diabetic complications	jak2a
AGE-RAGE signaling pathway in diabetic complications	jun
AGE-RAGE signaling pathway in diabetic complications	pik3r1
AGE-RAGE signaling pathway in diabetic complications	baxa
AGE-RAGE signaling pathway in diabetic complications	hrasa
AGE-RAGE signaling pathway in diabetic complications	hrasb
AGE-RAGE signaling pathway in diabetic complications	plcg1
AGE-RAGE signaling pathway in diabetic complications	plcg2
AGE-RAGE signaling pathway in diabetic complications	edn1
AGE-RAGE signaling pathway in diabetic complications	mmp2
AGE-RAGE signaling pathway in diabetic complications	plcd1b
AGE-RAGE signaling pathway in diabetic complications	plcd1a
AGE-RAGE signaling pathway in diabetic complications	cdc42l2
AGE-RAGE signaling pathway in diabetic complications	col1a2
AGE-RAGE signaling pathway in diabetic complications	kras
AGE-RAGE signaling pathway in diabetic complications	cxcl8b.3
AGE-RAGE signaling pathway in diabetic complications	tgfb1b
AGE-RAGE signaling pathway in diabetic complications	tgfb1a
AGE-RAGE signaling pathway in diabetic complications	plcd4a
