pathway	feature_ids
FATTY ACID ACTIVATION	ACSBG2
FATTY ACID ACTIVATION	ACSL5
FATTY ACID ACTIVATION	ACSL6
FATTY ACID ACTIVATION	ACSBG1
FATTY ACID ACTIVATION	ACSL1
FATTY ACID ACTIVATION	ACSL3
FATTY ACID ACTIVATION	ACSL4
FATTY ACID ACTIVATION	UBC
FATTY ACID ACTIVATION	HSPA1B
FATTY ACID ACTIVATION	HSPA8
FATTY ACID ACTIVATION	HSPA6
FATTY ACID ACTIVATION	HSPA2
FATTY ACID ACTIVATION	NMT2
FATTY ACID ACTIVATION	NMT1
FATTY ACID ACTIVATION	SLC27A5
FATTY ACID ACTIVATION	SLC27A1
FATTY ACID ACTIVATION	SLC27A6
FATTY ACID ACTIVATION	SLC27A2
FATTY ACID ACTIVATION	SLC27A4
FATTY ACID ACTIVATION	PHYH
FATTY ACID ACTIVATION	YES1
FATTY ACID ACTIVATION	LYN
FATTY ACID ACTIVATION	RRAGB
FATTY ACID ACTIVATION	RRAGA
FATTY ACID ACTIVATION	ZNF16
FATTY ACID ACTIVATION	SKP1
FATTY ACID ACTIVATION	SUMO2
FATTY ACID ACTIVATION	UPF2
FATTY ACID ACTIVATION	FMO4
FATTY ACID ACTIVATION	FMO3
FATTY ACID ACTIVATION	FMO5
FATTY ACID ACTIVATION	EPHX1
FATTY ACID ACTIVATION	HSD11B1
FATTY ACID ACTIVATION	PGRMC2
FATTY ACID ACTIVATION	CYP3A4
FATTY ACID ACTIVATION	CYP3A5
FATTY ACID ACTIVATION	CYP3A7
FATTY ACID ACTIVATION	CYB5R2
FATTY ACID ACTIVATION	CYP3A43
FATTY ACID ACTIVATION	PGRMC1
FATTY ACID ACTIVATION	CYB5R3
FATTY ACID ACTIVATION	BCAP31
FATTY ACID ACTIVATION	SPG20
FATTY ACID ACTIVATION	HSPA1L
FATTY ACID ACTIVATION	MINOS1
FATTY ACID ACTIVATION	PSMD14
FATTY ACID ACTIVATION	ATP6V1A
FATTY ACID ACTIVATION	SUMO3
FATTY ACID ACTIVATION	SUMO1
FATTY ACID ACTIVATION	SUMO4
FATTY ACID ACTIVATION	LRRK2
FATTY ACID ACTIVATION	ATP4A
FATTY ACID ACTIVATION	WASL
FATTY ACID ACTIVATION	PSMC3
FATTY ACID ACTIVATION	PSMD2
FATTY ACID ACTIVATION	PARK2
FATTY ACID ACTIVATION	RPSA
FATTY ACID ACTIVATION	NDRG1
FATTY ACID ACTIVATION	SLC2A4
FATTY ACID ACTIVATION	YWHAQ
FATTY ACID ACTIVATION	YWHAZ
FATTY ACID ACTIVATION	HECW2
FATTY ACID ACTIVATION	CALM1
FATTY ACID ACTIVATION	XPO1
FATTY ACID ACTIVATION	TRIM38
FATTY ACID ACTIVATION	PDE9A
FATTY ACID ACTIVATION	RTN3
FATTY ACID ACTIVATION	ZBED1
FATTY ACID ACTIVATION	PAICS
FATTY ACID ACTIVATION	NT5C2
FATTY ACID ACTIVATION	IKZF1
FATTY ACID ACTIVATION	ARL6IP1
FATTY ACID ACTIVATION	BEND7
FATTY ACID ACTIVATION	ZBTB8A
FATTY ACID ACTIVATION	RPGRIP1
FATTY ACID ACTIVATION	RABAC1
FATTY ACID ACTIVATION	UBD
FATTY ACID ACTIVATION	TUBB4A
FATTY ACID ACTIVATION	TUBB
FATTY ACID ACTIVATION	HSPA1A
FATTY ACID ACTIVATION	ATP6V1B1
FATTY ACID ACTIVATION	ATP6V1B2
FATTY ACID ACTIVATION	CAD
FATTY ACID ACTIVATION	EEF1A1
FATTY ACID ACTIVATION	TUBB4B
FATTY ACID ACTIVATION	EEF1A2
FATTY ACID ACTIVATION	TUBB3
FATTY ACID ACTIVATION	TUBB2A
FATTY ACID ACTIVATION	TUBB8
FATTY ACID ACTIVATION	WDR19
FATTY ACID ACTIVATION	GCN1
FATTY ACID ACTIVATION	IFT140
FATTY ACID ACTIVATION	TUBB6
FATTY ACID ACTIVATION	TUBB2B
FATTY ACID ACTIVATION	TUBB1
FATTY ACID ACTIVATION	GMPPB
FATTY ACID ACTIVATION	CLUH
FATTY ACID ACTIVATION	NDC80
FATTY ACID ACTIVATION	HNRNPC
FATTY ACID ACTIVATION	RRM1
FATTY ACID ACTIVATION	CBS
FATTY ACID ACTIVATION	CALCOCO2
FATTY ACID ACTIVATION	SIAH1
FATTY ACID ACTIVATION	MED4
FATTY ACID ACTIVATION	ESRRB
FATTY ACID ACTIVATION	ERBB2
FATTY ACID ACTIVATION	PSMD4
FATTY ACID ACTIVATION	HIST1H4A
FATTY ACID ACTIVATION	HIST1H3A
FATTY ACID ACTIVATION	H3F3A
FATTY ACID ACTIVATION	HIST3H3
FATTY ACID ACTIVATION	H3F3C
FATTY ACID ACTIVATION	HIST2H3A
FATTY ACID ACTIVATION	TMEM173
FATTY ACID ACTIVATION	HIST1H4G
FATTY ACID ACTIVATION	FOXP3
FATTY ACID ACTIVATION	WDR76
FATTY ACID ACTIVATION	SIRT7
FATTY ACID ACTIVATION	IPO7
FATTY ACID ACTIVATION	USP51
FATTY ACID ACTIVATION	STAU1
FATTY ACID ACTIVATION	EGFR
FATTY ACID ACTIVATION	GTF2F2
FATTY ACID ACTIVATION	PPP3CB
FATTY ACID ACTIVATION	DDX6
FATTY ACID ACTIVATION	PPP3CC
FATTY ACID ACTIVATION	CSNK1D
FATTY ACID ACTIVATION	PPP3CA
FATTY ACID ACTIVATION	TAF5
FATTY ACID ACTIVATION	TAF9
FATTY ACID ACTIVATION	KAT2B
FATTY ACID ACTIVATION	TAF9B
FATTY ACID ACTIVATION	USP22
FATTY ACID ACTIVATION	PPP6R2
FATTY ACID ACTIVATION	TADA2A
FATTY ACID ACTIVATION	CREB3
FATTY ACID ACTIVATION	FAM136A
FATTY ACID ACTIVATION	NMES1
FATTY ACID ACTIVATION	H2AFZ
FATTY ACID ACTIVATION	MAPK4
FATTY ACID ACTIVATION	MCM2
FATTY ACID ACTIVATION	H2AFV
FATTY ACID ACTIVATION	HIPK4
FATTY ACID ACTIVATION	PPP6R1
FATTY ACID ACTIVATION	COQ9
FATTY ACID ACTIVATION	GSK3B
FATTY ACID ACTIVATION	ECT2
FATTY ACID ACTIVATION	NDUFA4
FATTY ACID ACTIVATION	TOP2A
FATTY ACID ACTIVATION	TOP2B
FATTY ACID ACTIVATION	ELAVL1
FATTY ACID ACTIVATION	PTPMT1
FATTY ACID ACTIVATION	UVRAG
FATTY ACID ACTIVATION	CUL7
FATTY ACID ACTIVATION	CCDC8
FATTY ACID ACTIVATION	OBSL1
FATTY ACID ACTIVATION	FOXA3
FATTY ACID ACTIVATION	FOXL2
FATTY ACID ACTIVATION	FOXI2
FATTY ACID ACTIVATION	FOXJ1
FATTY ACID ACTIVATION	TUBGCP3
FATTY ACID ACTIVATION	COPS5
FATTY ACID ACTIVATION	TAF1
FATTY ACID ACTIVATION	NTRK1
FATTY ACID ACTIVATION	NR3C2
FATTY ACID ACTIVATION	JUN
FATTY ACID ACTIVATION	TPR
FATTY ACID ACTIVATION	RCC1
FATTY ACID ACTIVATION	CSE1L
FATTY ACID ACTIVATION	EED
FATTY ACID ACTIVATION	TP53
FATTY ACID ACTIVATION	FOXQ1
FATTY ACID ACTIVATION	DSE
FATTY ACID ACTIVATION	APP
FATTY ACID ACTIVATION	HMGCR
FATTY ACID ACTIVATION	TCTN3
FATTY ACID ACTIVATION	EVC2
FATTY ACID ACTIVATION	TMEM17
FATTY ACID ACTIVATION	RHOT2
FATTY ACID ACTIVATION	FAM63B
FATTY ACID ACTIVATION	TCTN2
FATTY ACID ACTIVATION	ACO2
FATTY ACID ACTIVATION	PFDN4
FATTY ACID ACTIVATION	TMEM216
FATTY ACID ACTIVATION	RHOT1
FATTY ACID ACTIVATION	HSPA4L
FATTY ACID ACTIVATION	CANX
FATTY ACID ACTIVATION	HSPA4
FATTY ACID ACTIVATION	SLC25A3
FATTY ACID ACTIVATION	SLC25A35
FATTY ACID ACTIVATION	FAXC
FATTY ACID ACTIVATION	SLC25A34
FATTY ACID ACTIVATION	GUF1
FATTY ACID ACTIVATION	HSPH1
FATTY ACID ACTIVATION	WDR89
FATTY ACID ACTIVATION	TRRAP
FATTY ACID ACTIVATION	POLR3A
FATTY ACID ACTIVATION	GPI
FATTY ACID ACTIVATION	KIF11
FATTY ACID ACTIVATION	DMAP1
FATTY ACID ACTIVATION	POLR1A
FATTY ACID ACTIVATION	ALDH1A1
FATTY ACID ACTIVATION	OTC
FATTY ACID ACTIVATION	GAPDH
FATTY ACID ACTIVATION	HIST1H2AB
FATTY ACID ACTIVATION	ALDH2
FATTY ACID ACTIVATION	SLC25A5
FATTY ACID ACTIVATION	ATP5B
FATTY ACID ACTIVATION	EIF4E
FATTY ACID ACTIVATION	PYGL
FATTY ACID ACTIVATION	P4HB
FATTY ACID ACTIVATION	BPGM
FATTY ACID ACTIVATION	HSP90AA1
FATTY ACID ACTIVATION	GALT
FATTY ACID ACTIVATION	PFKM
FATTY ACID ACTIVATION	HSP90AB1
FATTY ACID ACTIVATION	PDHA1
FATTY ACID ACTIVATION	ENO2
FATTY ACID ACTIVATION	DLD
FATTY ACID ACTIVATION	HIST1H2AG
FATTY ACID ACTIVATION	H2AFB1
FATTY ACID ACTIVATION	H2AFB2
FATTY ACID ACTIVATION	DLAT
FATTY ACID ACTIVATION	HSPD1
FATTY ACID ACTIVATION	HSPA5
FATTY ACID ACTIVATION	PYGB
FATTY ACID ACTIVATION	PYGM
FATTY ACID ACTIVATION	PC
FATTY ACID ACTIVATION	PABPC1
FATTY ACID ACTIVATION	SLC25A4
FATTY ACID ACTIVATION	SLC25A6
FATTY ACID ACTIVATION	EEF2
FATTY ACID ACTIVATION	PDIA4
FATTY ACID ACTIVATION	LCP1
FATTY ACID ACTIVATION	PLS3
FATTY ACID ACTIVATION	ENO3
FATTY ACID ACTIVATION	DARS
FATTY ACID ACTIVATION	PGAM2
FATTY ACID ACTIVATION	H2AFX
FATTY ACID ACTIVATION	CTPS1
FATTY ACID ACTIVATION	PFKL
FATTY ACID ACTIVATION	PGAM1
FATTY ACID ACTIVATION	GNAT2
FATTY ACID ACTIVATION	HK1
FATTY ACID ACTIVATION	EIF2S2
FATTY ACID ACTIVATION	SDS
FATTY ACID ACTIVATION	HIST1H2AD
FATTY ACID ACTIVATION	GART
FATTY ACID ACTIVATION	FECH
FATTY ACID ACTIVATION	ME2
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	TAT
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	FOXA2
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	NR3C1
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	GRN
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	UBE3A
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	CKS2
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	CKS1B
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	COPS5
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	ONECUT1
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	HNF4A
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	SMARCB1
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	AARSD1
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	PKM
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	HSP90AA1
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	HSP90AB1
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	UBC
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	POU2F1
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	NRIP1
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	SMARCA4
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	STAT5B
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	RELA
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	NCOA2
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	MED1
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	NCOA1
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	PELP1
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	CREBBP
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	EPAS1
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	STUB1
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	NCOR1
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	BAG1
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	FKBP4
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	STAT3
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	HSPG2
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	IGFBP1
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	HOXA5
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	HDAC1
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	DNAJA1
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	GRIP1
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	EP300
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	STIP1
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	SORT1
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	HMGB1
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	DNAJA4
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	DNAJA2
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	TP53
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	TSG101
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	UBE2D1
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	RAD23A
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	PSMD4
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	UBE2D2
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	UBE2L3
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	MDM2
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	PDX1
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	PCK2
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	PPARGC1B
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	GATA4
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	PCK1
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	FOXO1
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	POU1F1
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	TLE1
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	CCNB2
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	CDK1
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	CCNB1
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	CCNA2
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	CDK2
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	RPS27A
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	UBA52
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	SKP1
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	RBL2
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	SKP2
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	CUL1
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	UBB
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	CDKN1A
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	CDKN1B
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	COPS8
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	COPS4
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	COPS7B
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	DTL
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	COPS7A
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	COPS3
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	VPRBP
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	TOR1A
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	SMAD7
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	POLR2D
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	JUN
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	ERCC2
4-HYDROXYPHENYLPYRUVATE BIOSYNTHESIS	POLR2C
