pathway	feature_ids
BIOSYNTHESIS OF SEROTONIN AND MELATONIN	TPH2
BIOSYNTHESIS OF SEROTONIN AND MELATONIN	TPH1
BIOSYNTHESIS OF SEROTONIN AND MELATONIN	ASMT
BIOSYNTHESIS OF SEROTONIN AND MELATONIN	DDC
BIOSYNTHESIS OF SEROTONIN AND MELATONIN	AANAT
SEROTONIN AND MELATONIN BIOSYNTHESIS	TPH2
SEROTONIN AND MELATONIN BIOSYNTHESIS	TPH1
SEROTONIN AND MELATONIN BIOSYNTHESIS	ASMT
SEROTONIN AND MELATONIN BIOSYNTHESIS	DDC
SEROTONIN AND MELATONIN BIOSYNTHESIS	AANAT
CATECHOLAMINE BIOSYNTHESIS	PNMT
CATECHOLAMINE BIOSYNTHESIS	TH
CATECHOLAMINE BIOSYNTHESIS	DBH
CATECHOLAMINE BIOSYNTHESIS	DDC
BIOSYNTHESIS OF CORTICOSTEROIDS	G6PD2
BIOSYNTHESIS OF CORTICOSTEROIDS	G6PDX
BIOSYNTHESIS OF CORTICOSTEROIDS	CYP11A1
BIOSYNTHESIS OF CORTICOSTEROIDS	TAGLN
BIOSYNTHESIS OF CORTICOSTEROIDS	NPPA
BIOSYNTHESIS OF CORTICOSTEROIDS	KCNMA1
BIOSYNTHESIS OF CORTICOSTEROIDS	SMAD3
BIOSYNTHESIS OF CORTICOSTEROIDS	CAPRIN1
BIOSYNTHESIS OF CORTICOSTEROIDS	PKM
BIOSYNTHESIS OF PROSTAGLANDINS	PTGS1
BIOSYNTHESIS OF PROSTAGLANDINS	PTGS2
BIOSYNTHESIS OF PROSTAGLANDINS	CBR3
BIOSYNTHESIS OF PROSTAGLANDINS	CBR2
BIOSYNTHESIS OF PROSTAGLANDINS	DHRS4
BIOSYNTHESIS OF PROSTAGLANDINS	PTGIS
BIOSYNTHESIS OF PROSTAGLANDINS	TBXAS1
BIOSYNTHESIS OF PROSTAGLANDINS	PTGDS
BIOSYNTHESIS OF PROSTAGLANDINS	PTGES2
BIOSYNTHESIS OF PROSTAGLANDINS	PTGES3
BIOSYNTHESIS OF PROSTAGLANDINS	PTGES
BIOSYNTHESIS OF PROSTAGLANDINS	IRF1
BIOSYNTHESIS OF PROSTAGLANDINS	IRF2
BIOSYNTHESIS OF PROSTAGLANDINS	NUCB1
BIOSYNTHESIS OF PROSTAGLANDINS	CUZD1
BIOSYNTHESIS OF PROSTAGLANDINS	NOS2
BIOSYNTHESIS OF PROSTAGLANDINS	ELAVL1
BIOSYNTHESIS OF PROSTAGLANDINS	NOS1
BIOSYNTHESIS OF PROSTAGLANDINS	SIRT1
BIOSYNTHESIS OF PROSTAGLANDINS	HIF1A
BIOSYNTHESIS OF PROSTAGLANDINS	YWHAE
BIOSYNTHESIS OF PROSTAGLANDINS	STAT4
BIOSYNTHESIS OF PROSTAGLANDINS	JUN
BIOSYNTHESIS OF PROSTAGLANDINS	SPI1
BIOSYNTHESIS OF PROSTAGLANDINS	CEBPB
BIOSYNTHESIS OF PROSTAGLANDINS	TERT
BIOSYNTHESIS OF PROSTAGLANDINS	DNMT3A
BIOSYNTHESIS OF PROSTAGLANDINS	BAX
BIOSYNTHESIS OF PROSTAGLANDINS	CFTR
BIOSYNTHESIS OF PROSTAGLANDINS	EED
BIOSYNTHESIS OF PROSTAGLANDINS	UBC
BIOSYNTHESIS OF PROSTAGLANDINS	HSP90AB1
BIOSYNTHESIS OF PROSTAGLANDINS	HTT
BIOSYNTHESIS OF PROSTAGLANDINS	CASP7
BIOSYNTHESIS OF PROSTAGLANDINS	CHAF1A
BIOSYNTHESIS OF PROSTAGLANDINS	STAT1
BIOSYNTHESIS OF PROSTAGLANDINS	IRF8
BIOSYNTHESIS OF PROSTAGLANDINS	BCL2
BIOSYNTHESIS OF PROSTAGLANDINS	NFE2L2
BIOSYNTHESIS OF PROSTAGLANDINS	CCL5
BIOSYNTHESIS OF PROSTAGLANDINS	DNMT3L
BIOSYNTHESIS OF PROSTAGLANDINS	EZH2
BIOSYNTHESIS OF PROSTAGLANDINS	CIITA
BIOSYNTHESIS OF PROSTAGLANDINS	IL12B
BIOSYNTHESIS OF PROSTAGLANDINS	MYD88
BIOSYNTHESIS OF PROSTAGLANDINS	FOS
BIOSYNTHESIS OF PROSTAGLANDINS	MAPK8
BIOSYNTHESIS OF PROSTAGLANDINS	BCL2L1
BIOSYNTHESIS OF PROSTAGLANDINS	TRP53
BIOSYNTHESIS OF PROSTAGLANDINS	IKBKG
BIOSYNTHESIS OF PROSTAGLANDINS	NFKB1
BIOSYNTHESIS OF PROSTAGLANDINS	SUZ12
BIOSYNTHESIS OF PROSTAGLANDINS	RIPK1
BIOSYNTHESIS OF PROSTAGLANDINS	VCP
BIOSYNTHESIS OF PROSTAGLANDINS	RELA
BIOSYNTHESIS OF PROSTAGLANDINS	IL12A
BIOSYNTHESIS OF PROSTAGLANDINS	STAT6
BIOSYNTHESIS OF PROSTAGLANDINS	IL27
BIOSYNTHESIS OF PROSTAGLANDINS	IL12A
BIOSYNTHESIS OF PROSTAGLANDINS	VHL
BIOSYNTHESIS OF PROSTAGLANDINS	CEBPA
BIOSYNTHESIS OF PROSTAGLANDINS	HDAC1
BIOSYNTHESIS OF PROSTAGLANDINS	NFKBIA
BIOSYNTHESIS OF PROSTAGLANDINS	SKIL
BIOSYNTHESIS OF PROSTAGLANDINS	SQSTM1
BIOSYNTHESIS OF PROSTAGLANDINS	HDAC7
BIOSYNTHESIS OF PROSTAGLANDINS	NDEL1
BIOSYNTHESIS OF PROSTAGLANDINS	ATF4
BIOSYNTHESIS OF PROSTAGLANDINS	GATA1
BIOSYNTHESIS OF PROSTAGLANDINS	ID2
BIOSYNTHESIS OF PROSTAGLANDINS	EP300
BIOSYNTHESIS OF PROSTAGLANDINS	MCL1
BIOSYNTHESIS OF PROSTAGLANDINS	DNMT1
BIOSYNTHESIS OF PROSTAGLANDINS	IGF1R
BIOSYNTHESIS OF PROSTAGLANDINS	ITPR1
BIOSYNTHESIS OF PROSTAGLANDINS	UCHL1
BIOSYNTHESIS OF PROSTAGLANDINS	PSMD4
BIOSYNTHESIS OF PROSTAGLANDINS	NR3C1
BIOSYNTHESIS OF PROSTAGLANDINS	HDAC6
BIOSYNTHESIS OF PROSTAGLANDINS	TNF
BIOSYNTHESIS OF PROSTAGLANDINS	TAP1
BIOSYNTHESIS OF PROSTAGLANDINS	FOXP3
BIOSYNTHESIS OF PROSTAGLANDINS	FOXP3
BIOSYNTHESIS OF PROSTAGLANDINS	SELL
BIOSYNTHESIS OF PROSTAGLANDINS	IL18
BIOSYNTHESIS OF PROSTAGLANDINS	IFI47
BIOSYNTHESIS OF PROSTAGLANDINS	TRAF3
BIOSYNTHESIS OF PROSTAGLANDINS	POLR2F
BIOSYNTHESIS OF PROSTAGLANDINS	GBP2
BIOSYNTHESIS OF PROSTAGLANDINS	ISG15
BIOSYNTHESIS OF PROSTAGLANDINS	C1RA
BIOSYNTHESIS OF PROSTAGLANDINS	IRF9
BIOSYNTHESIS OF PROSTAGLANDINS	CHUK
BIOSYNTHESIS OF PROSTAGLANDINS	CHUK
BIOSYNTHESIS OF PROSTAGLANDINS	IL23A
BIOSYNTHESIS OF PROSTAGLANDINS	ANKRD1
BIOSYNTHESIS OF PROSTAGLANDINS	IRF8
BIOSYNTHESIS OF PROSTAGLANDINS	TLR3
BIOSYNTHESIS OF PROSTAGLANDINS	IRF2
BIOSYNTHESIS OF PROSTAGLANDINS	NFKB1
BIOSYNTHESIS OF PROSTAGLANDINS	SOCS1
BIOSYNTHESIS OF PROSTAGLANDINS	RSAD2
BIOSYNTHESIS OF PROSTAGLANDINS	PIAS3
BIOSYNTHESIS OF PROSTAGLANDINS	STAT1
BIOSYNTHESIS OF PROSTAGLANDINS	STAT5A
BIOSYNTHESIS OF PROSTAGLANDINS	IL27
BIOSYNTHESIS OF PROSTAGLANDINS	STAT3
BIOSYNTHESIS OF PROSTAGLANDINS	GBP5
BIOSYNTHESIS OF PROSTAGLANDINS	IL12RB1
BIOSYNTHESIS OF PROSTAGLANDINS	CDK9
BIOSYNTHESIS OF PROSTAGLANDINS	BRD4
BIOSYNTHESIS OF PROSTAGLANDINS	AGTR2
BIOSYNTHESIS OF PROSTAGLANDINS	IL15
BIOSYNTHESIS OF PROSTAGLANDINS	TLR9
BIOSYNTHESIS OF PROSTAGLANDINS	UBE2I
BIOSYNTHESIS OF PROSTAGLANDINS	BTK
BIOSYNTHESIS OF PROSTAGLANDINS	TNFRSF14
BIOSYNTHESIS OF PROSTAGLANDINS	SOCS1
BIOSYNTHESIS OF PROSTAGLANDINS	VCAM1
BIOSYNTHESIS OF PROSTAGLANDINS	USP18
BIOSYNTHESIS OF PROSTAGLANDINS	CXCL11
BIOSYNTHESIS OF PROSTAGLANDINS	DMD
BIOSYNTHESIS OF PROSTAGLANDINS	BCL6
BIOSYNTHESIS OF PROSTAGLANDINS	CLOCK
BIOSYNTHESIS OF PROSTAGLANDINS	ARNTL
BIOSYNTHESIS OF PROSTAGLANDINS	PPARGC1A
BIOSYNTHESIS OF PROSTAGLANDINS	PPARG
BIOSYNTHESIS OF PROSTAGLANDINS	SUMO1
BIOSYNTHESIS OF PROSTAGLANDINS	ARNT
BIOSYNTHESIS OF PROSTAGLANDINS	CTNND1
BIOSYNTHESIS OF PROSTAGLANDINS	SYNGAP1
BIOSYNTHESIS OF PROSTAGLANDINS	ZBTB32
BIOSYNTHESIS OF PROSTAGLANDINS	IFNG
BIOSYNTHESIS OF PROSTAGLANDINS	SOCS3
BIOSYNTHESIS OF PROSTAGLANDINS	MAFB
BIOSYNTHESIS OF PROSTAGLANDINS	SNAPC5
BIOSYNTHESIS OF PROSTAGLANDINS	BARX2
BIOSYNTHESIS OF PROSTAGLANDINS	IL1B
BIOSYNTHESIS OF PROSTAGLANDINS	ITCH
BIOSYNTHESIS OF PROSTAGLANDINS	CREBBP
BIOSYNTHESIS OF PROSTAGLANDINS	CDKN2B
BIOSYNTHESIS OF PROSTAGLANDINS	IRF4
BIOSYNTHESIS OF PROSTAGLANDINS	GATA3
BIOSYNTHESIS OF PROSTAGLANDINS	RPS6KA2
BIOSYNTHESIS OF PROSTAGLANDINS	PRDM16
BIOSYNTHESIS OF PROSTAGLANDINS	HMGA1
BIOSYNTHESIS OF PROSTAGLANDINS	RETN
BIOSYNTHESIS OF PROSTAGLANDINS	DAPK1
BIOSYNTHESIS OF PROSTAGLANDINS	LCN2
BIOSYNTHESIS OF PROSTAGLANDINS	BID
BIOSYNTHESIS OF PROSTAGLANDINS	SLC9A3R1
BIOSYNTHESIS OF PROSTAGLANDINS	JARID2
BIOSYNTHESIS OF PROSTAGLANDINS	EZH1
BIOSYNTHESIS OF PROSTAGLANDINS	PHF19
BIOSYNTHESIS OF PROSTAGLANDINS	TBK1
BIOSYNTHESIS OF PROSTAGLANDINS	PSMD2
BIOSYNTHESIS OF PROSTAGLANDINS	RNF123
BIOSYNTHESIS OF PROSTAGLANDINS	PLEC
BIOSYNTHESIS OF PROSTAGLANDINS	CBLB
BIOSYNTHESIS OF PROSTAGLANDINS	KEAP1
BIOSYNTHESIS OF PROSTAGLANDINS	UBE2K
BIOSYNTHESIS OF PROSTAGLANDINS	GATA4
BIOSYNTHESIS OF PROSTAGLANDINS	USP9X
BIOSYNTHESIS OF PROSTAGLANDINS	TAX1BP1
BIOSYNTHESIS OF PROSTAGLANDINS	PSMC2
BIOSYNTHESIS OF PROSTAGLANDINS	HSPA8
BIOSYNTHESIS OF PROSTAGLANDINS	BIRC3
BIOSYNTHESIS OF PROSTAGLANDINS	VIM
BIOSYNTHESIS OF PROSTAGLANDINS	FCHO2
BIOSYNTHESIS OF PROSTAGLANDINS	UIMC1
BIOSYNTHESIS OF PROSTAGLANDINS	SMAD3
BIOSYNTHESIS OF PROSTAGLANDINS	VPS36
BIOSYNTHESIS OF PROSTAGLANDINS	PTEN
BIOSYNTHESIS OF PROSTAGLANDINS	STAM2
BIOSYNTHESIS OF PROSTAGLANDINS	TRAF2
BIOSYNTHESIS OF PROSTAGLANDINS	HUWE1
BIOSYNTHESIS OF PROSTAGLANDINS	OTUB1
BIOSYNTHESIS OF PROSTAGLANDINS	MCL1
BIOSYNTHESIS OF PROSTAGLANDINS	TAB3
BIOSYNTHESIS OF PROSTAGLANDINS	USP8
BIOSYNTHESIS OF PROSTAGLANDINS	RPS3
BIOSYNTHESIS OF PROSTAGLANDINS	FANCD2
BIOSYNTHESIS OF PROSTAGLANDINS	PARP1
BIOSYNTHESIS OF PROSTAGLANDINS	POLI
BIOSYNTHESIS OF PROSTAGLANDINS	TNFAIP3
BIOSYNTHESIS OF PROSTAGLANDINS	UCHL3
BIOSYNTHESIS OF PROSTAGLANDINS	PSMD3
BIOSYNTHESIS OF PROSTAGLANDINS	SMAD2
BIOSYNTHESIS OF PROSTAGLANDINS	AGO2
BIOSYNTHESIS OF PROSTAGLANDINS	UCHL5
BIOSYNTHESIS OF PROSTAGLANDINS	NR3C2
BIOSYNTHESIS OF PROSTAGLANDINS	PSMC1
