term	gene
MITOCHONDRIAL GENE EXPRESSION%WIKIPATHWAYS_20241210%WP1301%RATTUS NORVEGICUS	Gabpb2
MITOCHONDRIAL GENE EXPRESSION%WIKIPATHWAYS_20241210%WP1301%RATTUS NORVEGICUS	Mterf3
MITOCHONDRIAL GENE EXPRESSION%WIKIPATHWAYS_20241210%WP1301%RATTUS NORVEGICUS	Tfam
MITOCHONDRIAL GENE EXPRESSION%WIKIPATHWAYS_20241210%WP1301%RATTUS NORVEGICUS	Pprc1
MITOCHONDRIAL GENE EXPRESSION%WIKIPATHWAYS_20241210%WP1301%RATTUS NORVEGICUS	Polrmt
MITOCHONDRIAL GENE EXPRESSION%WIKIPATHWAYS_20241210%WP1301%RATTUS NORVEGICUS	Ppp3ca
MITOCHONDRIAL GENE EXPRESSION%WIKIPATHWAYS_20241210%WP1301%RATTUS NORVEGICUS	Tfb1m
MITOCHONDRIAL GENE EXPRESSION%WIKIPATHWAYS_20241210%WP1301%RATTUS NORVEGICUS	Tfb2m
MITOCHONDRIAL GENE EXPRESSION%WIKIPATHWAYS_20241210%WP1301%RATTUS NORVEGICUS	Camk4
MITOCHONDRIAL GENE EXPRESSION%WIKIPATHWAYS_20241210%WP1301%RATTUS NORVEGICUS	Prkar1b
MITOCHONDRIAL GENE EXPRESSION%WIKIPATHWAYS_20241210%WP1301%RATTUS NORVEGICUS	Mterf1
MITOCHONDRIAL GENE EXPRESSION%WIKIPATHWAYS_20241210%WP1301%RATTUS NORVEGICUS	Ppargc1a
MITOCHONDRIAL GENE EXPRESSION%WIKIPATHWAYS_20241210%WP1301%RATTUS NORVEGICUS	Nrf1
MITOCHONDRIAL GENE EXPRESSION%WIKIPATHWAYS_20241210%WP1301%RATTUS NORVEGICUS	Ppargc1b
MITOCHONDRIAL GENE EXPRESSION%WIKIPATHWAYS_20241210%WP1301%RATTUS NORVEGICUS	Gabpa
MITOCHONDRIAL GENE EXPRESSION%WIKIPATHWAYS_20241210%WP1301%RATTUS NORVEGICUS	Myef2
MITOCHONDRIAL GENE EXPRESSION%WIKIPATHWAYS_20241210%WP1301%RATTUS NORVEGICUS	Esrra
TNF ALPHA AND MUCUS PRODUCTION IN LUNG EPYTHELIUM%WIKIPATHWAYS_20241210%WP1487%RATTUS NORVEGICUS	Ikbkb
TNF ALPHA AND MUCUS PRODUCTION IN LUNG EPYTHELIUM%WIKIPATHWAYS_20241210%WP1487%RATTUS NORVEGICUS	Shc1
TNF ALPHA AND MUCUS PRODUCTION IN LUNG EPYTHELIUM%WIKIPATHWAYS_20241210%WP1487%RATTUS NORVEGICUS	Mapk1
TNF ALPHA AND MUCUS PRODUCTION IN LUNG EPYTHELIUM%WIKIPATHWAYS_20241210%WP1487%RATTUS NORVEGICUS	Tgfa
TNF ALPHA AND MUCUS PRODUCTION IN LUNG EPYTHELIUM%WIKIPATHWAYS_20241210%WP1487%RATTUS NORVEGICUS	Ikbkg
TNF ALPHA AND MUCUS PRODUCTION IN LUNG EPYTHELIUM%WIKIPATHWAYS_20241210%WP1487%RATTUS NORVEGICUS	Tnf
TNF ALPHA AND MUCUS PRODUCTION IN LUNG EPYTHELIUM%WIKIPATHWAYS_20241210%WP1487%RATTUS NORVEGICUS	Egfr
TNF ALPHA AND MUCUS PRODUCTION IN LUNG EPYTHELIUM%WIKIPATHWAYS_20241210%WP1487%RATTUS NORVEGICUS	Nfkbia
TNF ALPHA AND MUCUS PRODUCTION IN LUNG EPYTHELIUM%WIKIPATHWAYS_20241210%WP1487%RATTUS NORVEGICUS	Rela
TNF ALPHA AND MUCUS PRODUCTION IN LUNG EPYTHELIUM%WIKIPATHWAYS_20241210%WP1487%RATTUS NORVEGICUS	Il6
TNF ALPHA AND MUCUS PRODUCTION IN LUNG EPYTHELIUM%WIKIPATHWAYS_20241210%WP1487%RATTUS NORVEGICUS	Map2k1
TNF ALPHA AND MUCUS PRODUCTION IN LUNG EPYTHELIUM%WIKIPATHWAYS_20241210%WP1487%RATTUS NORVEGICUS	Tnfrsf1a
TNF ALPHA AND MUCUS PRODUCTION IN LUNG EPYTHELIUM%WIKIPATHWAYS_20241210%WP1487%RATTUS NORVEGICUS	Ripk2
TNF ALPHA AND MUCUS PRODUCTION IN LUNG EPYTHELIUM%WIKIPATHWAYS_20241210%WP1487%RATTUS NORVEGICUS	Tradd
TNF ALPHA AND MUCUS PRODUCTION IN LUNG EPYTHELIUM%WIKIPATHWAYS_20241210%WP1487%RATTUS NORVEGICUS	Rps6ka2
TNF ALPHA AND MUCUS PRODUCTION IN LUNG EPYTHELIUM%WIKIPATHWAYS_20241210%WP1487%RATTUS NORVEGICUS	Traf2
TNF ALPHA AND MUCUS PRODUCTION IN LUNG EPYTHELIUM%WIKIPATHWAYS_20241210%WP1487%RATTUS NORVEGICUS	Grb2
TNF ALPHA AND MUCUS PRODUCTION IN LUNG EPYTHELIUM%WIKIPATHWAYS_20241210%WP1487%RATTUS NORVEGICUS	Chuk
TNF ALPHA AND MUCUS PRODUCTION IN LUNG EPYTHELIUM%WIKIPATHWAYS_20241210%WP1487%RATTUS NORVEGICUS	Raf1
TNF ALPHA AND MUCUS PRODUCTION IN LUNG EPYTHELIUM%WIKIPATHWAYS_20241210%WP1487%RATTUS NORVEGICUS	Sos1
TNF ALPHA AND MUCUS PRODUCTION IN LUNG EPYTHELIUM%WIKIPATHWAYS_20241210%WP1487%RATTUS NORVEGICUS	Tlr4
SYNTHESIS AND DEGRADATION OF KETONE BODIES%WIKIPATHWAYS_20241210%WP349%RATTUS NORVEGICUS	Hmgcl
SYNTHESIS AND DEGRADATION OF KETONE BODIES%WIKIPATHWAYS_20241210%WP349%RATTUS NORVEGICUS	Bdh1
SYNTHESIS AND DEGRADATION OF KETONE BODIES%WIKIPATHWAYS_20241210%WP349%RATTUS NORVEGICUS	Oxct1
SYNTHESIS AND DEGRADATION OF KETONE BODIES%WIKIPATHWAYS_20241210%WP349%RATTUS NORVEGICUS	Hmgcs2
AMINO ACID CONJUGATION OF BENZOIC ACID%WIKIPATHWAYS_20241210%WP1287%RATTUS NORVEGICUS	Acss2
AMINO ACID CONJUGATION OF BENZOIC ACID%WIKIPATHWAYS_20241210%WP1287%RATTUS NORVEGICUS	Glyat
GLUTATHIONE METABOLISM%WIKIPATHWAYS_20241210%WP469%RATTUS NORVEGICUS	Ggt5
GLUTATHIONE METABOLISM%WIKIPATHWAYS_20241210%WP469%RATTUS NORVEGICUS	G6pd
GLUTATHIONE METABOLISM%WIKIPATHWAYS_20241210%WP469%RATTUS NORVEGICUS	Gpx3
GLUTATHIONE METABOLISM%WIKIPATHWAYS_20241210%WP469%RATTUS NORVEGICUS	Gss
GLUTATHIONE METABOLISM%WIKIPATHWAYS_20241210%WP469%RATTUS NORVEGICUS	Gsr
GLUTATHIONE METABOLISM%WIKIPATHWAYS_20241210%WP469%RATTUS NORVEGICUS	Anpep
GLUTATHIONE METABOLISM%WIKIPATHWAYS_20241210%WP469%RATTUS NORVEGICUS	Gstm5l
GLUTATHIONE METABOLISM%WIKIPATHWAYS_20241210%WP469%RATTUS NORVEGICUS	Gstm6
GLUTATHIONE METABOLISM%WIKIPATHWAYS_20241210%WP469%RATTUS NORVEGICUS	Gstm3
