pathway	feature_ids
Glycolysis / Gluconeogenesis	ACSS1
Glycolysis / Gluconeogenesis	ACSS2
Glycolysis / Gluconeogenesis	ADH1A
Glycolysis / Gluconeogenesis	ADH1B
Glycolysis / Gluconeogenesis	ADH1C
Glycolysis / Gluconeogenesis	ADH4
Glycolysis / Gluconeogenesis	ADH5
Glycolysis / Gluconeogenesis	ADH6
Glycolysis / Gluconeogenesis	ADH7
Glycolysis / Gluconeogenesis	ADPGK
Glycolysis / Gluconeogenesis	AKR1A1
Glycolysis / Gluconeogenesis	ALDH1A3
Glycolysis / Gluconeogenesis	ALDH1B1
Glycolysis / Gluconeogenesis	ALDH2
Glycolysis / Gluconeogenesis	ALDH3A1
Glycolysis / Gluconeogenesis	ALDH3A2
Glycolysis / Gluconeogenesis	ALDH3B1
Glycolysis / Gluconeogenesis	ALDH3B2
Glycolysis / Gluconeogenesis	ALDH7A1
Glycolysis / Gluconeogenesis	ALDH9A1
Glycolysis / Gluconeogenesis	ALDOA
Glycolysis / Gluconeogenesis	ALDOB
Glycolysis / Gluconeogenesis	ALDOC
Glycolysis / Gluconeogenesis	BPGM
Glycolysis / Gluconeogenesis	DLAT
Glycolysis / Gluconeogenesis	DLD
Glycolysis / Gluconeogenesis	ENO1
Glycolysis / Gluconeogenesis	ENO2
Glycolysis / Gluconeogenesis	ENO3
Glycolysis / Gluconeogenesis	FBP1
Glycolysis / Gluconeogenesis	FBP2
Glycolysis / Gluconeogenesis	G6PC
Glycolysis / Gluconeogenesis	G6PC2
Glycolysis / Gluconeogenesis	GALM
Glycolysis / Gluconeogenesis	GAPDH
Glycolysis / Gluconeogenesis	GAPDHS
Glycolysis / Gluconeogenesis	GCK
Glycolysis / Gluconeogenesis	GPI
Glycolysis / Gluconeogenesis	HK1
Glycolysis / Gluconeogenesis	HK2
Glycolysis / Gluconeogenesis	HK3
Glycolysis / Gluconeogenesis	HKDC1
Glycolysis / Gluconeogenesis	LDHA
Glycolysis / Gluconeogenesis	LDHAL6A
Glycolysis / Gluconeogenesis	LDHAL6B
Glycolysis / Gluconeogenesis	LDHB
Glycolysis / Gluconeogenesis	LDHC
Glycolysis / Gluconeogenesis	PCK1
Glycolysis / Gluconeogenesis	PCK2
Glycolysis / Gluconeogenesis	PDHA1
Glycolysis / Gluconeogenesis	PDHA2
Glycolysis / Gluconeogenesis	PDHB
Glycolysis / Gluconeogenesis	PFKL
Glycolysis / Gluconeogenesis	PFKM
Glycolysis / Gluconeogenesis	PFKP
Glycolysis / Gluconeogenesis	PGAM1
Glycolysis / Gluconeogenesis	PGAM2
Glycolysis / Gluconeogenesis	PGAM4
Glycolysis / Gluconeogenesis	PGK1
Glycolysis / Gluconeogenesis	PGK2
Glycolysis / Gluconeogenesis	PGM1
Glycolysis / Gluconeogenesis	PGM2
Glycolysis / Gluconeogenesis	PKLR
Glycolysis / Gluconeogenesis	PKM2
Glycolysis / Gluconeogenesis	TPI1
Citrate cycle (TCA cycle)	ACLY
Citrate cycle (TCA cycle)	ACO1
Citrate cycle (TCA cycle)	ACO2
Citrate cycle (TCA cycle)	CS
Citrate cycle (TCA cycle)	DLAT
Citrate cycle (TCA cycle)	DLD
Citrate cycle (TCA cycle)	DLST
Citrate cycle (TCA cycle)	FH
Citrate cycle (TCA cycle)	IDH1
Citrate cycle (TCA cycle)	IDH2
Citrate cycle (TCA cycle)	IDH3A
Citrate cycle (TCA cycle)	IDH3B
Citrate cycle (TCA cycle)	IDH3G
Citrate cycle (TCA cycle)	MDH1
Citrate cycle (TCA cycle)	MDH2
Citrate cycle (TCA cycle)	OGDH
Citrate cycle (TCA cycle)	OGDHL
Citrate cycle (TCA cycle)	PC
Citrate cycle (TCA cycle)	PCK1
Citrate cycle (TCA cycle)	PCK2
Citrate cycle (TCA cycle)	PDHA1
Citrate cycle (TCA cycle)	PDHA2
Citrate cycle (TCA cycle)	PDHB
Citrate cycle (TCA cycle)	SDHA
Citrate cycle (TCA cycle)	SDHB
Citrate cycle (TCA cycle)	SDHC
Citrate cycle (TCA cycle)	SDHD
Citrate cycle (TCA cycle)	SUCLA2
Citrate cycle (TCA cycle)	SUCLG1
Citrate cycle (TCA cycle)	SUCLG2
Pentose phosphate pathway	ALDOA
Pentose phosphate pathway	ALDOB
Pentose phosphate pathway	ALDOC
Pentose phosphate pathway	DERA
Pentose phosphate pathway	FBP1
Pentose phosphate pathway	FBP2
Pentose phosphate pathway	G6PD
Pentose phosphate pathway	GPI
Pentose phosphate pathway	H6PD
Pentose phosphate pathway	PFKL
Pentose phosphate pathway	PFKM
Pentose phosphate pathway	PFKP
Pentose phosphate pathway	PGD
Pentose phosphate pathway	PGLS
Pentose phosphate pathway	PGM1
Pentose phosphate pathway	PGM2
Pentose phosphate pathway	PRPS1
Pentose phosphate pathway	PRPS1L1
Pentose phosphate pathway	PRPS2
Pentose phosphate pathway	RBKS
Pentose phosphate pathway	RGN
Pentose phosphate pathway	RPE
Pentose phosphate pathway	RPIA
Pentose phosphate pathway	TALDO1
Pentose phosphate pathway	TKT
Pentose phosphate pathway	TKTL1
Pentose phosphate pathway	TKTL2
Pentose and glucuronate interconversions	AKR1B1
Pentose and glucuronate interconversions	ALDH1B1
Pentose and glucuronate interconversions	ALDH2
Pentose and glucuronate interconversions	ALDH3A2
Pentose and glucuronate interconversions	CRYL1
Pentose and glucuronate interconversions	DCXR
Pentose and glucuronate interconversions	DHDH
Pentose and glucuronate interconversions	GUSB
Pentose and glucuronate interconversions	KL
Pentose and glucuronate interconversions	RPE
Pentose and glucuronate interconversions	UGDH
Pentose and glucuronate interconversions	UGP2
Pentose and glucuronate interconversions	UGT1A1
Pentose and glucuronate interconversions	UGT1A10
Pentose and glucuronate interconversions	UGT1A3
Pentose and glucuronate interconversions	UGT1A4
Pentose and glucuronate interconversions	UGT1A5
Pentose and glucuronate interconversions	UGT1A6
Pentose and glucuronate interconversions	UGT1A7
Pentose and glucuronate interconversions	UGT1A8
Pentose and glucuronate interconversions	UGT1A9
Pentose and glucuronate interconversions	UGT2A1
Pentose and glucuronate interconversions	UGT2A2
Pentose and glucuronate interconversions	UGT2A3
Pentose and glucuronate interconversions	UGT2B10
Pentose and glucuronate interconversions	UGT2B11
Pentose and glucuronate interconversions	UGT2B15
Pentose and glucuronate interconversions	UGT2B17
Pentose and glucuronate interconversions	UGT2B28
Pentose and glucuronate interconversions	UGT2B4
Pentose and glucuronate interconversions	UGT2B7
Pentose and glucuronate interconversions	XYLB
Fructose and mannose metabolism	AKR1B1
Fructose and mannose metabolism	AKR1B10
Fructose and mannose metabolism	ALDOA
Fructose and mannose metabolism	ALDOB
Fructose and mannose metabolism	ALDOC
Fructose and mannose metabolism	C12orf5
Fructose and mannose metabolism	FBP1
Fructose and mannose metabolism	FBP2
Fructose and mannose metabolism	FPGT
Fructose and mannose metabolism	FUK
Fructose and mannose metabolism	GMDS
Fructose and mannose metabolism	GMPPA
Fructose and mannose metabolism	GMPPB
Fructose and mannose metabolism	HK1
Fructose and mannose metabolism	HK2
