pathway	feature_ids
DNA damage checkpoint (GO:0000077)	mus201
DNA damage checkpoint (GO:0000077)	mof
DNA damage checkpoint (GO:0000077)	RfC4
DNA damage checkpoint (GO:0000077)	grp
DNA damage checkpoint (GO:0000077)	14-3-3epsilon
DNA damage checkpoint (GO:0000077)	lok
DNA damage checkpoint (GO:0000077)	gpp
DNA damage checkpoint (GO:0000077)	mei-41
DNA damage checkpoint (GO:0000077)	Hus1-like
DNA damage checkpoint (GO:0000077)	PhKgamma
DNA damage checkpoint (GO:0000077)	Rad17
DNA damage checkpoint (GO:0000077)	mus304
DNA damage checkpoint (GO:0000077)	Gen
DNA damage checkpoint (GO:0000077)	timeout
DNA damage checkpoint (GO:0000077)	CG9578
DNA damage checkpoint (GO:0000077)	Rad1
DNA damage checkpoint (GO:0000077)	PR-Set7
imaginal disc development (GO:0007444)	kay
imaginal disc development (GO:0007444)	Idgf2
imaginal disc development (GO:0007444)	grp
imaginal disc development (GO:0007444)	Idgf1
imaginal disc development (GO:0007444)	sav
imaginal disc development (GO:0007444)	Idgf6
imaginal disc development (GO:0007444)	Idgf5
imaginal disc development (GO:0007444)	ple
imaginal disc development (GO:0007444)	Idgf4
imaginal disc development (GO:0007444)	dlt
imaginal disc development (GO:0007444)	Idgf3
imaginal disc development (GO:0007444)	Egfr
imaginal disc development (GO:0007444)	Apc
imaginal disc development (GO:0007444)	fray
imaginal disc development (GO:0007444)	ewg
imaginal disc development (GO:0007444)	Nup154
imaginal disc development (GO:0007444)	hui
imaginal disc development (GO:0007444)	RpS28a
imaginal disc development (GO:0007444)	Amun
imaginal disc development (GO:0007444)	CG2767
imaginal disc development (GO:0007444)	CG16884
imaginal disc development (GO:0007444)	hh
imaginal disc development (GO:0007444)	puf
imaginal disc development (GO:0007444)	Nrg
imaginal disc development (GO:0007444)	aos
imaginal disc development (GO:0007444)	csw
imaginal disc development (GO:0007444)	zfh2
imaginal disc development (GO:0007444)	bowl
imaginal disc development (GO:0007444)	frc
imaginal disc development (GO:0007444)	CG13366
imaginal disc development (GO:0007444)	jar
imaginal disc development (GO:0007444)	ctp
imaginal disc development (GO:0007444)	holn1
imaginal disc development (GO:0007444)	al
imaginal disc development (GO:0007444)	mus304
imaginal disc development (GO:0007444)	ap
imaginal disc development (GO:0007444)	SelD
imaginal disc development (GO:0007444)	B4
imaginal disc development (GO:0007444)	chinmo
imaginal disc development (GO:0007444)	eyg
imaginal disc development (GO:0007444)	Duox
imaginal disc development (GO:0007444)	CG11893
imaginal disc development (GO:0007444)	Ser
imaginal disc development (GO:0007444)	dop
imaginal disc development (GO:0007444)	14-3-3epsilon
imaginal disc development (GO:0007444)	dos
imaginal disc development (GO:0007444)	Set2
imaginal disc development (GO:0007444)	Arl1
imaginal disc development (GO:0007444)	Irk1
imaginal disc development (GO:0007444)	N
imaginal disc development (GO:0007444)	Irk2
imaginal disc development (GO:0007444)	tws
imaginal disc development (GO:0007444)	sd
imaginal disc development (GO:0007444)	pico
imaginal disc development (GO:0007444)	bs
imaginal disc development (GO:0007444)	Wnk
imaginal disc development (GO:0007444)	Irk3
imaginal disc development (GO:0007444)	CHOp24
imaginal disc development (GO:0007444)	ppan
imaginal disc development (GO:0007444)	btl
imaginal disc development (GO:0007444)	Sox15
imaginal disc development (GO:0007444)	Mbs
imaginal disc development (GO:0007444)	toy
imaginal disc development (GO:0007444)	Skp2
imaginal disc development (GO:0007444)	dpp
imaginal disc development (GO:0007444)	d
imaginal disc development (GO:0007444)	LIMK1
imaginal disc development (GO:0007444)	lace
imaginal disc development (GO:0007444)	ci
imaginal disc development (GO:0007444)	Dad
imaginal disc development (GO:0007444)	Sin3A
imaginal disc development (GO:0007444)	Rack1
imaginal disc development (GO:0007444)	ebi
imaginal disc development (GO:0007444)	Bx42
imaginal disc development (GO:0007444)	Sb
imaginal disc development (GO:0007444)	hyd
imaginal disc development (GO:0007444)	Bx
imaginal disc development (GO:0007444)	Abd-B
imaginal disc development (GO:0007444)	esg
imaginal disc development (GO:0007444)	elB
imaginal disc development (GO:0007444)	pyd
imaginal disc development (GO:0007444)	CtBP
imaginal disc development (GO:0007444)	Mcm10
imaginal disc development (GO:0007444)	CG2604
imaginal disc development (GO:0007444)	scaf
imaginal disc development (GO:0007444)	eca
imaginal disc development (GO:0007444)	dac
imaginal disc development (GO:0007444)	Pax
imaginal disc development (GO:0007444)	mei-41
imaginal disc development (GO:0007444)	pic
imaginal disc development (GO:0007444)	Nop60B
imaginal disc development (GO:0007444)	lin
imaginal disc development (GO:0007444)	CG5446
imaginal disc development (GO:0007444)	cpa
imaginal disc development (GO:0007444)	Snx3
imaginal disc development (GO:0007444)	dx
imaginal disc development (GO:0007444)	wge
imaginal disc development (GO:0007444)	cpb
imaginal disc development (GO:0007444)	ash2
imaginal disc development (GO:0007444)	vito
imaginal disc development (GO:0007444)	sxc
imaginal disc development (GO:0007444)	bnl
imaginal disc development (GO:0007444)	Apc2
imaginal disc development (GO:0007444)	ida
imaginal disc development (GO:0007444)	Caf1-180
imaginal disc development (GO:0007444)	C15
imaginal disc development (GO:0007444)	en
imaginal disc development (GO:0007444)	Invadolysin
imaginal disc development (GO:0007444)	Nos
imaginal disc development (GO:0007444)	vg
imaginal disc development (GO:0007444)	dally
imaginal disc development (GO:0007444)	Notum
imaginal disc development (GO:0007444)	E2f1
imaginal disc development (GO:0007444)	E2f2
imaginal disc development (GO:0007444)	CG14204
imaginal disc development (GO:0007444)	lama
imaginal disc development (GO:0007444)	noc
imaginal disc development (GO:0007444)	Pp2B-14D
imaginal disc development (GO:0007444)	Dll
imaginal disc development (GO:0007444)	Ddc
imaginal disc development (GO:0007444)	pygo
imaginal disc development (GO:0007444)	cad
imaginal disc development (GO:0007444)	Rab5
imaginal disc development (GO:0007444)	dsx
imaginal disc development (GO:0007444)	tsh
imaginal disc development (GO:0007444)	Ndfip
imaginal disc development (GO:0007444)	ft
imaginal disc development (GO:0007444)	wg
imaginal disc development (GO:0007444)	G9a
imaginal disc development (GO:0007444)	Dsp1
imaginal disc development (GO:0007444)	Ipk2
imaginal disc development (GO:0007444)	Fkbp14
imaginal disc development (GO:0007444)	Awh
imaginal disc development (GO:0007444)	Sep5
imaginal disc development (GO:0007444)	Rabex-5
imaginal disc development (GO:0007444)	Sep2
imaginal disc development (GO:0007444)	Cyp9f2
imaginal disc development (GO:0007444)	CG30069
imaginal disc development (GO:0007444)	tkv
regulation of mitotic nuclear division (GO:0007088)	dpn
regulation of mitotic nuclear division (GO:0007088)	kni
regulation of mitotic nuclear division (GO:0007088)	fzy
regulation of mitotic nuclear division (GO:0007088)	cdc14
regulation of mitotic nuclear division (GO:0007088)	Rca1
regulation of mitotic nuclear division (GO:0007088)	dgt6
regulation of mitotic nuclear division (GO:0007088)	dgt5
regulation of mitotic nuclear division (GO:0007088)	dgt4
regulation of mitotic nuclear division (GO:0007088)	knrl
