pathway	feature_ids
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	ATPCL
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	STUM
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	CG10137
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	CG14253
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	CG13454
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	CG11486
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	L(1)G0020
ACETYL-COA BIOSYNTHESIS (FROM PYRUVATE)	MUC
ACETYL-COA BIOSYNTHESIS (FROM PYRUVATE)	E3
ACETYL-COA BIOSYNTHESIS (FROM PYRUVATE)	PDHA
ACETYL-COA BIOSYNTHESIS (FROM PYRUVATE)	DMEL\CG7024
ACETYL-COA BIOSYNTHESIS (FROM PYRUVATE)	PDHB
ACETYL-COA BIOSYNTHESIS (FROM PYRUVATE)	CG7430
ACETYL-COA BIOSYNTHESIS (FROM PYRUVATE)	CG10494
ACETYL-COA BIOSYNTHESIS (FROM PYRUVATE)	CG6576
ACETYL-COA BIOSYNTHESIS (FROM PYRUVATE)	ATU
TCA CYCLE VARIATION III (EUKARYOTIC)	FUM1
TCA CYCLE VARIATION III (EUKARYOTIC)	IRP-1A
TCA CYCLE VARIATION III (EUKARYOTIC)	IRP-1B
TCA CYCLE VARIATION III (EUKARYOTIC)	IDH3B
TCA CYCLE VARIATION III (EUKARYOTIC)	DMEL\CG5028
TCA CYCLE VARIATION III (EUKARYOTIC)	L(1)G0156
TCA CYCLE VARIATION III (EUKARYOTIC)	SDHAL
TCA CYCLE VARIATION III (EUKARYOTIC)	SDHBL
TCA CYCLE VARIATION III (EUKARYOTIC)	SDHC
TCA CYCLE VARIATION III (EUKARYOTIC)	SDHA
TCA CYCLE VARIATION III (EUKARYOTIC)	SDHB
TCA CYCLE VARIATION III (EUKARYOTIC)	SCSBETAA
TCA CYCLE VARIATION III (EUKARYOTIC)	MDH1
TCA CYCLE VARIATION III (EUKARYOTIC)	DMEL\CG10749
TCA CYCLE VARIATION III (EUKARYOTIC)	MDH2
TCA CYCLE VARIATION III (EUKARYOTIC)	DMEL\CG10748
TCA CYCLE VARIATION III (EUKARYOTIC)	CG10748-RA
TCA CYCLE VARIATION III (EUKARYOTIC)	XPORT-A
TCA CYCLE VARIATION III (EUKARYOTIC)	CG17999
TCA CYCLE VARIATION III (EUKARYOTIC)	CG9083
TCA CYCLE VARIATION III (EUKARYOTIC)	NULL
TCA CYCLE VARIATION III (EUKARYOTIC)	TM2
TCA CYCLE VARIATION III (EUKARYOTIC)	CG2025
TCA CYCLE VARIATION III (EUKARYOTIC)	CG17290
TCA CYCLE VARIATION III (EUKARYOTIC)	FAS2
TCA CYCLE VARIATION III (EUKARYOTIC)	FADD
TCA CYCLE VARIATION III (EUKARYOTIC)	CG16947
TCA CYCLE VARIATION III (EUKARYOTIC)	UQCR-C2
TCA CYCLE VARIATION III (EUKARYOTIC)	GLT
TCA CYCLE VARIATION III (EUKARYOTIC)	CHC
TCA CYCLE VARIATION III (EUKARYOTIC)	OSTDELTA
TCA CYCLE VARIATION III (EUKARYOTIC)	BOCA
TCA CYCLE VARIATION III (EUKARYOTIC)	TCP-1ETA
TCA CYCLE VARIATION III (EUKARYOTIC)	CG10425
TCA CYCLE VARIATION III (EUKARYOTIC)	KARYBETA3
TCA CYCLE VARIATION III (EUKARYOTIC)	CG31729
TCA CYCLE VARIATION III (EUKARYOTIC)	RPT6
TCA CYCLE VARIATION III (EUKARYOTIC)	OST48
TCA CYCLE VARIATION III (EUKARYOTIC)	VND
TCA CYCLE VARIATION III (EUKARYOTIC)	ATL
TCA CYCLE VARIATION III (EUKARYOTIC)	CG2064
TCA CYCLE VARIATION III (EUKARYOTIC)	PI3K68D
TCA CYCLE VARIATION III (EUKARYOTIC)	CG3008
TCA CYCLE VARIATION III (EUKARYOTIC)	CG12262
TCA CYCLE VARIATION III (EUKARYOTIC)	CG8258
