pathway	feature_ids
intercalated disc (GO:0014704)	cdh2
intercalated disc (GO:0014704)	ank1b
intercalated disc (GO:0014704)	fermt2
intercalated disc (GO:0014704)	pkp2
intercalated disc (GO:0014704)	pgm5
intercalated disc (GO:0014704)	ankrd9
intercalated disc (GO:0014704)	lims1
intercalated disc (GO:0014704)	zgc:112001
intercalated disc (GO:0014704)	dspa
intercalated disc (GO:0014704)	obscna
intercalated disc (GO:0014704)	wu:fi04e12
intercalated disc (GO:0014704)	ctnnb1
intercalated disc (GO:0014704)	cx43
mitochondrial small ribosomal subunit (GO:0005763)	mrps9
mitochondrial small ribosomal subunit (GO:0005763)	mrps15
mitochondrial small ribosomal subunit (GO:0005763)	dap3
mitochondrial small ribosomal subunit (GO:0005763)	mrps14
mitochondrial small ribosomal subunit (GO:0005763)	mrps24
mitochondrial small ribosomal subunit (GO:0005763)	mrps35
mitochondrial small ribosomal subunit (GO:0005763)	mrps28
mitochondrial small ribosomal subunit (GO:0005763)	mrps17
mitochondrial small ribosomal subunit (GO:0005763)	mrps16
mitochondrial small ribosomal subunit (GO:0005763)	mrps6
mitochondrial small ribosomal subunit (GO:0005763)	mrps5
mitochondrial small ribosomal subunit (GO:0005763)	mrps7
mitochondrial small ribosomal subunit (GO:0005763)	mrps22
mitochondrial small ribosomal subunit (GO:0005763)	mrps2
mitochondrial small ribosomal subunit (GO:0005763)	mrps11
mitochondrial small ribosomal subunit (GO:0005763)	mrps10
mitochondrial small ribosomal subunit (GO:0005763)	mrps18c
mitochondrial small ribosomal subunit (GO:0005763)	mrps18a
cytosol (GO:0005829)	mvk
cytosol (GO:0005829)	osbpl3b
cytosol (GO:0005829)	sb:cb81
cytosol (GO:0005829)	mtap
cytosol (GO:0005829)	si:ch211-106a19
cytosol (GO:0005829)	map1sa
cytosol (GO:0005829)	hspa4a
cytosol (GO:0005829)	map1sb
cytosol (GO:0005829)	hspa4b
cytosol (GO:0005829)	btbd3b
cytosol (GO:0005829)	btbd3a
cytosol (GO:0005829)	nfatc3a
cytosol (GO:0005829)	osbpl3a
cytosol (GO:0005829)	nfatc3b
cytosol (GO:0005829)	prmt9
cytosol (GO:0005829)	lrrc23
cytosol (GO:0005829)	ppp2r2cb
cytosol (GO:0005829)	prmt7
cytosol (GO:0005829)	dnajb1a
cytosol (GO:0005829)	atg3
cytosol (GO:0005829)	hspa4l
cytosol (GO:0005829)	dnajb1b
cytosol (GO:0005829)	prmt6
cytosol (GO:0005829)	prmt5
cytosol (GO:0005829)	akap7
cytosol (GO:0005829)	prmt3
cytosol (GO:0005829)	si:dkey-4p15
cytosol (GO:0005829)	prmt2
cytosol (GO:0005829)	prmt1
cytosol (GO:0005829)	araf
cytosol (GO:0005829)	pask
cytosol (GO:0005829)	rilpl1
cytosol (GO:0005829)	gapdh
cytosol (GO:0005829)	osbpl2a
cytosol (GO:0005829)	osbpl2b
cytosol (GO:0005829)	arcn1a
cytosol (GO:0005829)	pacrg
cytosol (GO:0005829)	lrguk
cytosol (GO:0005829)	dhdhl
cytosol (GO:0005829)	si:ch211-131k2
cytosol (GO:0005829)	prkar2ab
cytosol (GO:0005829)	mvda
cytosol (GO:0005829)	arcn1b
cytosol (GO:0005829)	dusp16
cytosol (GO:0005829)	prkar2aa
cytosol (GO:0005829)	LOC556054
cytosol (GO:0005829)	dnajb13
cytosol (GO:0005829)	haus1
cytosol (GO:0005829)	aldh1l1
cytosol (GO:0005829)	pdxp
cytosol (GO:0005829)	qars
cytosol (GO:0005829)	golph3
cytosol (GO:0005829)	snrnp48
cytosol (GO:0005829)	cdab
cytosol (GO:0005829)	ppp2r2aa
cytosol (GO:0005829)	camk1db
cytosol (GO:0005829)	g3bp1
cytosol (GO:0005829)	g3bp2
cytosol (GO:0005829)	ppp2r2ab
cytosol (GO:0005829)	si:ch1073-67j19
cytosol (GO:0005829)	ompb
cytosol (GO:0005829)	hsc70
cytosol (GO:0005829)	pex5lb
cytosol (GO:0005829)	pex5la
cytosol (GO:0005829)	pabpc1l
cytosol (GO:0005829)	btbd2a
cytosol (GO:0005829)	pabpc1a
