pathway	feature_ids
Exercise-induced Circadian Regulation_WP562	ppp1r3cb
Exercise-induced Circadian Regulation_WP562	vapal
Exercise-induced Circadian Regulation_WP562	pigf
Exercise-induced Circadian Regulation_WP562	sumo1
Exercise-induced Circadian Regulation_WP562	cbx3a
Exercise-induced Circadian Regulation_WP562	g0s2
Exercise-induced Circadian Regulation_WP562	cry2
Exercise-induced Circadian Regulation_WP562	gstp1
Exercise-induced Circadian Regulation_WP562	gstm.1
Exercise-induced Circadian Regulation_WP562	ugp2b
Exercise-induced Circadian Regulation_WP562	arntl1a
Exercise-induced Circadian Regulation_WP562	cldn5a
Exercise-induced Circadian Regulation_WP562	ncoa4
Exercise-induced Circadian Regulation_WP562	si:busm1-160c18.6
Exercise-induced Circadian Regulation_WP562	sf3a3
Exercise-induced Circadian Regulation_WP562	sumo3b
Exercise-induced Circadian Regulation_WP562	idi1
Exercise-induced Circadian Regulation_WP562	per1b
Exercise-induced Circadian Regulation_WP562	qki2
Exercise-induced Circadian Regulation_WP562	herpud1
Exercise-induced Circadian Regulation_WP562	tubb4b
Exercise-induced Circadian Regulation_WP562	hist1h2ba
Exercise-induced Circadian Regulation_WP562	tob1a
Exercise-induced Circadian Regulation_WP562	per2
Exercise-induced Circadian Regulation_WP562	azin1b
Exercise-induced Circadian Regulation_WP562	klf9
Exercise-induced Circadian Regulation_WP562	dnaja1
Exercise-induced Circadian Regulation_WP562	zfr
Exercise-induced Circadian Regulation_WP562	clocka
Exercise-induced Circadian Regulation_WP562	cry1aa
Exercise-induced Circadian Regulation_WP562	myf6
Exercise-induced Circadian Regulation_WP562	cry1ab
Exercise-induced Circadian Regulation_WP562	tab2
Exercise-induced Circadian Regulation_WP562	gfra1b
Exercise-induced Circadian Regulation_WP562	puraa
Exercise-induced Circadian Regulation_WP562	cast
Exercise-induced Circadian Regulation_WP562	nckap1
Exercise-induced Circadian Regulation_WP562	dazap2
Exercise-induced Circadian Regulation_WP562	cebpb
Exercise-induced Circadian Regulation_WP562	hspa8
Exercise-induced Circadian Regulation_WP562	nr1d2b
Exercise-induced Circadian Regulation_WP562	btg1
Exercise-induced Circadian Regulation_WP562	psma4
Exercise-induced Circadian Regulation_WP562	eif4g2b
Exercise-induced Circadian Regulation_WP562	ppp2cb
Hypertrophy Model_WP1327	zeb1a
Hypertrophy Model_WP1327	nr4a3
Hypertrophy Model_WP1327	ankrd1b
Hypertrophy Model_WP1327	myog
Hypertrophy Model_WP1327	jund
Hypertrophy Model_WP1327	atf3
Hypertrophy Model_WP1327	vegfab
Hypertrophy Model_WP1327	ifrd1
Hypertrophy Model_WP1327	mstnb
Hypertrophy Model_WP1327	adam10a
Hypertrophy Model_WP1327	hbegfa
Hypertrophy Model_WP1327	dusp14
Hypertrophy Model_WP1327	eif4ea
Hypertrophy Model_WP1327	cyr61
p38 MAPK Signaling Pathway_WP1363	max
p38 MAPK Signaling Pathway_WP1363	pla2g4aa
p38 MAPK Signaling Pathway_WP1363	elk1
p38 MAPK Signaling Pathway_WP1363	grb2a
p38 MAPK Signaling Pathway_WP1363	mapkapk5
p38 MAPK Signaling Pathway_WP1363	stat1a
p38 MAPK Signaling Pathway_WP1363	tgfb2
p38 MAPK Signaling Pathway_WP1363	si:ch211-234p18.3
p38 MAPK Signaling Pathway_WP1363	tradd
p38 MAPK Signaling Pathway_WP1363	map3k1
p38 MAPK Signaling Pathway_WP1363	shc1
p38 MAPK Signaling Pathway_WP1363	creb1b
p38 MAPK Signaling Pathway_WP1363	myca
p38 MAPK Signaling Pathway_WP1363	hspb1
p38 MAPK Signaling Pathway_WP1363	mapk14a
p38 MAPK Signaling Pathway_WP1363	mknk1
p38 MAPK Signaling Pathway_WP1363	map3k7
p38 MAPK Signaling Pathway_WP1363	ripk1l
p38 MAPK Signaling Pathway_WP1363	mapkapk2a
p38 MAPK Signaling Pathway_WP1363	map3k5
p38 MAPK Signaling Pathway_WP1363	map2k6
p38 MAPK Signaling Pathway_WP1363	hrasa
p38 MAPK Signaling Pathway_WP1363	rps6ka5
p38 MAPK Signaling Pathway_WP1363	map2k4a
p38 MAPK Signaling Pathway_WP1363	map3k9
p38 MAPK Signaling Pathway_WP1363	mef2d
p38 MAPK Signaling Pathway_WP1363	rac1b
p38 MAPK Signaling Pathway_WP1363	daxx
p38 MAPK Signaling Pathway_WP1363	tgfbr1a
p38 MAPK Signaling Pathway_WP1363	atf2
p38 MAPK Signaling Pathway_WP1363	ddit3
p38 MAPK Signaling Pathway_WP1363	cdc42l2
Electron Transport Chain_WP1339	slc25a6
Electron Transport Chain_WP1339	uqcr10
