pathway	feature_ids
Hepatitis B infection	YWHAZ
Hepatitis B infection	TGFBR1
Hepatitis B infection	TIRAP
Hepatitis B infection	DDB2
Hepatitis B infection	TGFBR2
Hepatitis B infection	DDB1
Hepatitis B infection	CREB3
Hepatitis B infection	CREB1
Hepatitis B infection	IRF3
Hepatitis B infection	TRAF3
Hepatitis B infection	TRAF6
Hepatitis B infection	IRF7
Hepatitis B infection	BIRC5
Hepatitis B infection	SOS1
Hepatitis B infection	TLR4
Hepatitis B infection	SOS2
Hepatitis B infection	TLR3
Hepatitis B infection	CREB5
Hepatitis B infection	PCNA
Hepatitis B infection	ATF6B
Hepatitis B infection	SRC
Hepatitis B infection	RELA
Hepatitis B infection	MAPK9
Hepatitis B infection	MAPK8
Hepatitis B infection	NRAS
Hepatitis B infection	STAT4
Hepatitis B infection	MAPK1
Hepatitis B infection	PTK2B
Hepatitis B infection	MAPK3
Hepatitis B infection	MAP3K1
Hepatitis B infection	STAT1
Hepatitis B infection	BAD
Hepatitis B infection	STAT2
Hepatitis B infection	STAT3
Hepatitis B infection	MAPK14
Hepatitis B infection	MAPK13
Hepatitis B infection	MAPK10
Hepatitis B infection	MAP3K7IP1
Hepatitis B infection	MAPK11
Hepatitis B infection	FAS
Hepatitis B infection	BAX
Hepatitis B infection	KRAS
Hepatitis B infection	ATF2
Hepatitis B infection	hCG_16983
Hepatitis B infection	ARAF
Hepatitis B infection	TNF
Hepatitis B infection	TBK1
Hepatitis B infection	CREB3L3
Hepatitis B infection	CREB3L4
Hepatitis B infection	MYC
Hepatitis B infection	AKT3
Hepatitis B infection	EP300
Hepatitis B infection	DKFZp686N2325
Hepatitis B infection	MAP3K7
Hepatitis B infection	MAP2K3
Hepatitis B infection	MAP2K4
Hepatitis B infection	MAP2K1
Hepatitis B infection	IFNA13
Hepatitis B infection	TICAM2
Hepatitis B infection	MAP2K2
Hepatitis B infection	IFNA14
Hepatitis B infection	PRKCB
Hepatitis B infection	PRKCA
Hepatitis B infection	TICAM1
Hepatitis B infection	HSPG2
Hepatitis B infection	VDAC3
Hepatitis B infection	RAF1
Hepatitis B infection	ATF4
Hepatitis B infection	IFNAR1
Hepatitis B infection	PIK3R3
Hepatitis B infection	PIK3R2
Hepatitis B infection	PIK3R1
Hepatitis B infection	IRAK1
Hepatitis B infection	FADD
Hepatitis B infection	IF1AA3
Hepatitis B infection	IF1AA1
Hepatitis B infection	MAP2K6
Hepatitis B infection	SMAD2
Hepatitis B infection	STAT5B
Hepatitis B infection	IF1AA6
Hepatitis B infection	JUN
Hepatitis B infection	IF1AA5
Hepatitis B infection	EGR2
Hepatitis B infection	SMAD4
Hepatitis B infection	IF1AA4
Hepatitis B infection	TGFB1
Hepatitis B infection	IF1AA9
Hepatitis B infection	IF1AA8
Hepatitis B infection	NFATC3
Hepatitis B infection	NFATC2
Hepatitis B infection	BRAF
Hepatitis B infection	NFATC1
Hepatitis B infection	NFKB1
Hepatitis B infection	NFATC4
Hepatitis B infection	MAVS
Hepatitis B infection	IL6
