pathway	feature_ids
integral component of endoplasmic reticulum membrane (GO:0030176)	fce-1
integral component of endoplasmic reticulum membrane (GO:0030176)	marc-6
integral component of endoplasmic reticulum membrane (GO:0030176)	nstp-1
integral component of endoplasmic reticulum membrane (GO:0030176)	nstp-2
integral component of endoplasmic reticulum membrane (GO:0030176)	sec-12
integral component of endoplasmic reticulum membrane (GO:0030176)	fce-2
integral component of endoplasmic reticulum membrane (GO:0030176)	F44B9.5
integral component of endoplasmic reticulum membrane (GO:0030176)	Y56A3A.36
integral component of endoplasmic reticulum membrane (GO:0030176)	R10E4.9
integral component of endoplasmic reticulum membrane (GO:0030176)	fitm-2
integral component of endoplasmic reticulum membrane (GO:0030176)	ret-1
integral component of endoplasmic reticulum membrane (GO:0030176)	erv-46
integral component of endoplasmic reticulum membrane (GO:0030176)	cnx-1
integral component of endoplasmic reticulum membrane (GO:0030176)	sms-3
integral component of endoplasmic reticulum membrane (GO:0030176)	C34B2.10
integral component of endoplasmic reticulum membrane (GO:0030176)	sms-2
integral component of endoplasmic reticulum membrane (GO:0030176)	R151.6
integral component of endoplasmic reticulum membrane (GO:0030176)	sms-1
integral component of endoplasmic reticulum membrane (GO:0030176)	W07E6.3
integral component of endoplasmic reticulum membrane (GO:0030176)	hpo-8
integral component of endoplasmic reticulum membrane (GO:0030176)	ire-1
integral component of endoplasmic reticulum membrane (GO:0030176)	F53B1.2
integral component of endoplasmic reticulum membrane (GO:0030176)	C18B12.6
integral component of endoplasmic reticulum membrane (GO:0030176)	elo-1
integral component of endoplasmic reticulum membrane (GO:0030176)	imp-2
integral component of endoplasmic reticulum membrane (GO:0030176)	fat-6
integral component of endoplasmic reticulum membrane (GO:0030176)	imp-3
integral component of endoplasmic reticulum membrane (GO:0030176)	elo-4
integral component of endoplasmic reticulum membrane (GO:0030176)	elo-5
integral component of endoplasmic reticulum membrane (GO:0030176)	elo-2
integral component of endoplasmic reticulum membrane (GO:0030176)	elo-3
integral component of endoplasmic reticulum membrane (GO:0030176)	elo-8
integral component of endoplasmic reticulum membrane (GO:0030176)	dhcr-7
integral component of endoplasmic reticulum membrane (GO:0030176)	elo-9
integral component of endoplasmic reticulum membrane (GO:0030176)	elo-6
integral component of endoplasmic reticulum membrane (GO:0030176)	abu-1
integral component of endoplasmic reticulum membrane (GO:0030176)	elo-7
integral component of endoplasmic reticulum membrane (GO:0030176)	pst-1
integral component of endoplasmic reticulum membrane (GO:0030176)	imp-1
integral component of endoplasmic reticulum membrane (GO:0030176)	pign-1
integral component of endoplasmic reticulum membrane (GO:0030176)	pst-2
integral component of endoplasmic reticulum membrane (GO:0030176)	R01B10.6
integral component of endoplasmic reticulum membrane (GO:0030176)	mom-1
integral component of endoplasmic reticulum membrane (GO:0030176)	hut-1
integral component of endoplasmic reticulum membrane (GO:0030176)	F26F2.7
integral component of endoplasmic reticulum membrane (GO:0030176)	F28C6.4
cytosol (GO:0005829)	ZC123.4
cytosol (GO:0005829)	atg-13
cytosol (GO:0005829)	rps-1
cytosol (GO:0005829)	ubxn-2
cytosol (GO:0005829)	vars-1
cytosol (GO:0005829)	atg-18
cytosol (GO:0005829)	T08H10.1
cytosol (GO:0005829)	smd-1
cytosol (GO:0005829)	pmk-1
cytosol (GO:0005829)	crtc-1
cytosol (GO:0005829)	ahcy-1
cytosol (GO:0005829)	abcf-3
cytosol (GO:0005829)	nmrk-1
cytosol (GO:0005829)	ssu-1
cytosol (GO:0005829)	ltah-1.1
cytosol (GO:0005829)	pie-1
cytosol (GO:0005829)	ipla-1
cytosol (GO:0005829)	mvb-12
cytosol (GO:0005829)	cuc-1
cytosol (GO:0005829)	acly-1
cytosol (GO:0005829)	exc-7
cytosol (GO:0005829)	D2005.3
cytosol (GO:0005829)	djr-1.1
cytosol (GO:0005829)	acly-2
cytosol (GO:0005829)	djr-1.2
cytosol (GO:0005829)	C56G3.2
cytosol (GO:0005829)	guk-1
cytosol (GO:0005829)	otpl-2
cytosol (GO:0005829)	epg-6
cytosol (GO:0005829)	ced-4
cytosol (GO:0005829)	phip-1
cytosol (GO:0005829)	C45G9.2
cytosol (GO:0005829)	moe-3
cytosol (GO:0005829)	fbp-1
cytosol (GO:0005829)	R07H5.8
cytosol (GO:0005829)	gpd-2
cytosol (GO:0005829)	gpd-1
cytosol (GO:0005829)	pab-2
cytosol (GO:0005829)	pab-1
cytosol (GO:0005829)	pcm-1
cytosol (GO:0005829)	B0303.3
cytosol (GO:0005829)	C01G5.5
cytosol (GO:0005829)	pmt-1
cytosol (GO:0005829)	K09H11.7
cytosol (GO:0005829)	pgk-1
cytosol (GO:0005829)	Y55F3AM.9
cytosol (GO:0005829)	nprt-1
cytosol (GO:0005829)	K10D2.7
cytosol (GO:0005829)	K08E4.2
cytosol (GO:0005829)	dbt-1
cytosol (GO:0005829)	ZK1290.5
cytosol (GO:0005829)	ogdh-1
cytosol (GO:0005829)	R05D3.8
cytosol (GO:0005829)	Y105C5A.24
cytosol (GO:0005829)	copd-1
cytosol (GO:0005829)	ogdh-2
cytosol (GO:0005829)	iars-2
cytosol (GO:0005829)	vps-37
cytosol (GO:0005829)	B0228.7
cytosol (GO:0005829)	pph-5
cytosol (GO:0005829)	Y39G8B.2
cytosol (GO:0005829)	Y39G8B.1
cytosol (GO:0005829)	F39B2.3
cytosol (GO:0005829)	gpd-4
cytosol (GO:0005829)	C45E5.1
cytosol (GO:0005829)	usp-5
cytosol (GO:0005829)	gpd-3
cytosol (GO:0005829)	kin-2
cytosol (GO:0005829)	R05F9.6
cytosol (GO:0005829)	Y54G11A.9
cytosol (GO:0005829)	bar-1
cytosol (GO:0005829)	cdd-1
cytosol (GO:0005829)	cdd-2
cytosol (GO:0005829)	Y71H2AR.1
cytosol (GO:0005829)	uev-1
cytosol (GO:0005829)	C53A3.2
cytosol (GO:0005829)	dsh-2
cytosol (GO:0005829)	dsh-1
cytosol (GO:0005829)	nubp-1
cytosol (GO:0005829)	F27D4.4
cytosol (GO:0005829)	F35F10.1
