pathway	feature_ids
FATTY ACID ACTIVATION	FAA4
FATTY ACID ACTIVATION	FAA2
FATTY ACID ACTIVATION	FAA3
FATTY ACID ACTIVATION	FAA1
FATTY ACID ACTIVATION	TOP2
FATTY ACID ACTIVATION	FAT1
FATTY ACID ACTIVATION	GCN1
FATTY ACID ACTIVATION	RVB1
FATTY ACID ACTIVATION	SUP35
FATTY ACID ACTIVATION	RPN11
FATTY ACID ACTIVATION	GCD7
FATTY ACID ACTIVATION	MDH2
FATTY ACID ACTIVATION	HHT1
FATTY ACID ACTIVATION	NMT1
FATTY ACID ACTIVATION	CNA1
FATTY ACID ACTIVATION	PTC3
FATTY ACID ACTIVATION	ADA2
FATTY ACID ACTIVATION	PEX19
FATTY ACID ACTIVATION	URA2
FATTY ACID ACTIVATION	RPC82
FATTY ACID ACTIVATION	UTP5
FATTY ACID ACTIVATION	DSS4
FATTY ACID ACTIVATION	SAC6
FATTY ACID ACTIVATION	CSE4
FATTY ACID ACTIVATION	GCN5
FATTY ACID ACTIVATION	SGF73
FATTY ACID ACTIVATION	OM14
FATTY ACID ACTIVATION	PDC1
FATTY ACID ACTIVATION	SGF29
FATTY ACID ACTIVATION	ACO1
FATTY ACID ACTIVATION	PSR2
FATTY ACID ACTIVATION	SIT4
FATTY ACID ACTIVATION	SPT7
FATTY ACID ACTIVATION	HHF1
FATTY ACID ACTIVATION	BRE5
FATTY ACID ACTIVATION	UBI4
FATTY ACID ACTIVATION	TAF5
FATTY ACID ACTIVATION	DSN1
FATTY ACID ACTIVATION	TEM1
FATTY ACID ACTIVATION	VAM6
FATTY ACID ACTIVATION	NFI1
FATTY ACID ACTIVATION	NMD2
FATTY ACID ACTIVATION	CLU1
FATTY ACID ACTIVATION	RVB2
FATTY ACID ACTIVATION	TAF9
FATTY ACID ACTIVATION	SPL2
FATTY ACID ACTIVATION	PEX17
FATTY ACID ACTIVATION	URN1
FATTY ACID ACTIVATION	PGC1
FATTY ACID ACTIVATION	SSE1
FATTY ACID ACTIVATION	CDC33
FATTY ACID ACTIVATION	HRT1
FATTY ACID ACTIVATION	RLP7
FATTY ACID ACTIVATION	HSC82
FATTY ACID ACTIVATION	RPN1
FATTY ACID ACTIVATION	SSB2
FATTY ACID ACTIVATION	CMR1
FATTY ACID ACTIVATION	AIM4
FATTY ACID ACTIVATION	MMS22
FATTY ACID ACTIVATION	RPN10
FATTY ACID ACTIVATION	GTR1
FATTY ACID ACTIVATION	LEU2
FATTY ACID ACTIVATION	MET6
FATTY ACID ACTIVATION	YPK3
FATTY ACID ACTIVATION	CHA4
FATTY ACID ACTIVATION	RNR1
FATTY ACID ACTIVATION	SSA1
FATTY ACID ACTIVATION	SWI5
FATTY ACID ACTIVATION	BCK1
FATTY ACID ACTIVATION	CDC25
FATTY ACID ACTIVATION	TPO3
FATTY ACID ACTIVATION	FRK1
FATTY ACID ACTIVATION	RPS0A
