pathway	feature_ids
protein kinase binding (GO:0019901)	atg-13
protein kinase binding (GO:0019901)	R09D1.12
protein kinase binding (GO:0019901)	R09D1.13
protein kinase binding (GO:0019901)	cya-2
protein kinase binding (GO:0019901)	cya-1
protein kinase binding (GO:0019901)	max-2
protein kinase binding (GO:0019901)	ver-3
protein kinase binding (GO:0019901)	ver-4
protein kinase binding (GO:0019901)	nipi-3
protein kinase binding (GO:0019901)	ver-1
protein kinase binding (GO:0019901)	kin-30
protein kinase binding (GO:0019901)	cyb-2.2
protein kinase binding (GO:0019901)	cdf-1
protein kinase binding (GO:0019901)	rho-1
protein kinase binding (GO:0019901)	pmk-3
protein kinase binding (GO:0019901)	cyb-2.1
protein kinase binding (GO:0019901)	atf-7
protein kinase binding (GO:0019901)	axl-1
protein kinase binding (GO:0019901)	cye-1
protein kinase binding (GO:0019901)	F09G2.1
protein kinase binding (GO:0019901)	B0252.1
protein kinase binding (GO:0019901)	mkk-4
protein kinase binding (GO:0019901)	goa-1
protein kinase binding (GO:0019901)	spd-2
protein kinase binding (GO:0019901)	epg-9
protein kinase binding (GO:0019901)	epg-7
protein kinase binding (GO:0019901)	egg-5
protein kinase binding (GO:0019901)	egg-4
protein kinase binding (GO:0019901)	tap-1
protein kinase binding (GO:0019901)	mel-26
protein kinase binding (GO:0019901)	F37A4.2
protein kinase binding (GO:0019901)	let-23
protein kinase binding (GO:0019901)	T01G5.1
protein kinase binding (GO:0019901)	F11E6.8
protein kinase binding (GO:0019901)	lin-18
protein kinase binding (GO:0019901)	Y71G12B.27
protein kinase binding (GO:0019901)	zen-4
protein kinase binding (GO:0019901)	chw-1
protein kinase binding (GO:0019901)	nsy-1
protein kinase binding (GO:0019901)	sek-1
protein kinase binding (GO:0019901)	F09A5.2
protein kinase binding (GO:0019901)	cyd-1
protein kinase binding (GO:0019901)	scd-2
protein kinase binding (GO:0019901)	mlk-1
protein kinase binding (GO:0019901)	svh-2
protein kinase binding (GO:0019901)	old-1
protein kinase binding (GO:0019901)	old-2
protein kinase binding (GO:0019901)	Y71H2AM.12
protein kinase binding (GO:0019901)	tpxl-1
protein kinase binding (GO:0019901)	sel-10
protein kinase binding (GO:0019901)	par-6
protein kinase binding (GO:0019901)	gsy-1
protein kinase binding (GO:0019901)	cam-1
protein kinase binding (GO:0019901)	shc-1
protein kinase binding (GO:0019901)	aakb-2
protein kinase binding (GO:0019901)	aakb-1
protein kinase binding (GO:0019901)	mak-2
protein kinase binding (GO:0019901)	let-756
protein kinase binding (GO:0019901)	mak-1
protein kinase binding (GO:0019901)	par-2
protein kinase binding (GO:0019901)	mig-2
protein kinase binding (GO:0019901)	tpa-1
protein kinase binding (GO:0019901)	strd-1
protein kinase binding (GO:0019901)	W03A5.1
