pathway	feature_ids
calcium sensitive guanylate cyclase activator activity (GO:0008048)	guca1g
calcium sensitive guanylate cyclase activator activity (GO:0008048)	guca1a
calcium sensitive guanylate cyclase activator activity (GO:0008048)	guca1d
calcium sensitive guanylate cyclase activator activity (GO:0008048)	guca1e
calcium sensitive guanylate cyclase activator activity (GO:0008048)	guca1b
calcium sensitive guanylate cyclase activator activity (GO:0008048)	guca1c
galanin receptor activity (GO:0004966)	galr2a
galanin receptor activity (GO:0004966)	galr1a
galanin receptor activity (GO:0004966)	galr2b
galanin receptor activity (GO:0004966)	cysltr1
galanin receptor activity (GO:0004966)	galn
galanin receptor activity (GO:0004966)	cysltr2b
galanin receptor activity (GO:0004966)	ltb4r2b
galanin receptor activity (GO:0004966)	cysltr2a
galanin receptor activity (GO:0004966)	ltb4r2a
galanin receptor activity (GO:0004966)	rxfp3
galanin receptor activity (GO:0004966)	galr1b
galanin receptor activity (GO:0004966)	si:dkey-148a17
galanin receptor activity (GO:0004966)	ltb4r
gap junction channel activity (GO:0005243)	panx1a
gap junction channel activity (GO:0005243)	gja3
gap junction channel activity (GO:0005243)	gjd2b
gap junction channel activity (GO:0005243)	gja5a
gap junction channel activity (GO:0005243)	gja5b
gap junction channel activity (GO:0005243)	cx36
gap junction channel activity (GO:0005243)	gja8b
gap junction channel activity (GO:0005243)	cx55
gap junction channel activity (GO:0005243)	cx23
gap junction channel activity (GO:0005243)	cx43
gap junction channel activity (GO:0005243)	cx40
gap junction channel activity (GO:0005243)	cx52
gap junction channel activity (GO:0005243)	cx30
oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor (GO:0016653)	nos2a
oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor (GO:0016653)	nos2b
oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor (GO:0016653)	xgb
oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor (GO:0016653)	cygb1
oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor (GO:0016653)	mtrr
oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor (GO:0016653)	cox15
oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor (GO:0016653)	pora
oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor (GO:0016653)	ndor1
oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor (GO:0016653)	porb
oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor (GO:0016653)	cygb2
oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor (GO:0016653)	nos1
transcription regulatory region sequence-specific DNA binding (GO:0000976)	LOC100329723
transcription regulatory region sequence-specific DNA binding (GO:0000976)	zgc:174696
transcription regulatory region sequence-specific DNA binding (GO:0000976)	LOC100534765
transcription regulatory region sequence-specific DNA binding (GO:0000976)	znf1002
transcription regulatory region sequence-specific DNA binding (GO:0000976)	znf1005
transcription regulatory region sequence-specific DNA binding (GO:0000976)	nr5a1b
transcription regulatory region sequence-specific DNA binding (GO:0000976)	prdm13
transcription regulatory region sequence-specific DNA binding (GO:0000976)	znf1008
transcription regulatory region sequence-specific DNA binding (GO:0000976)	mier2
transcription regulatory region sequence-specific DNA binding (GO:0000976)	prdm14
transcription regulatory region sequence-specific DNA binding (GO:0000976)	si:dkey-240n22
transcription regulatory region sequence-specific DNA binding (GO:0000976)	prdm11
transcription regulatory region sequence-specific DNA binding (GO:0000976)	mef2ca
transcription regulatory region sequence-specific DNA binding (GO:0000976)	foxh1
transcription regulatory region sequence-specific DNA binding (GO:0000976)	prdm1c
transcription regulatory region sequence-specific DNA binding (GO:0000976)	prdm1a
transcription regulatory region sequence-specific DNA binding (GO:0000976)	prdm1b
transcription regulatory region sequence-specific DNA binding (GO:0000976)	zgc:113295
transcription regulatory region sequence-specific DNA binding (GO:0000976)	zgc:113294
transcription regulatory region sequence-specific DNA binding (GO:0000976)	LOC100534892
transcription regulatory region sequence-specific DNA binding (GO:0000976)	LOC101884850
transcription regulatory region sequence-specific DNA binding (GO:0000976)	LOC101883642
transcription regulatory region sequence-specific DNA binding (GO:0000976)	mier3b
transcription regulatory region sequence-specific DNA binding (GO:0000976)	setx
transcription regulatory region sequence-specific DNA binding (GO:0000976)	mier3a
transcription regulatory region sequence-specific DNA binding (GO:0000976)	LOC108183429
transcription regulatory region sequence-specific DNA binding (GO:0000976)	im:7141269
transcription regulatory region sequence-specific DNA binding (GO:0000976)	fezf2
transcription regulatory region sequence-specific DNA binding (GO:0000976)	prdm2a
transcription regulatory region sequence-specific DNA binding (GO:0000976)	prdm2b
transcription regulatory region sequence-specific DNA binding (GO:0000976)	LOC101884528
transcription regulatory region sequence-specific DNA binding (GO:0000976)	znf1144
transcription regulatory region sequence-specific DNA binding (GO:0000976)	six1b
transcription regulatory region sequence-specific DNA binding (GO:0000976)	znf1147
transcription regulatory region sequence-specific DNA binding (GO:0000976)	six1a
transcription regulatory region sequence-specific DNA binding (GO:0000976)	LOC108183430
transcription regulatory region sequence-specific DNA binding (GO:0000976)	LOC572670
transcription regulatory region sequence-specific DNA binding (GO:0000976)	prdm12b
