term	gene
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Cradd
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Bak1
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Cflar
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Bid
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Mcl1
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Casp8
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Nfkbib
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Casp7
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Tnfrsf21
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Nfkbie
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Jun
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Casp9
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Bad
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Casp4
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Casp3
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Trp53
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Tnfrsf25
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Casp6
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Igf2
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Casp2
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Casp1
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Ripk1
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Igf1
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Nfkbia
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Map2k4
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Diablo
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Bax
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Bcl2
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Mdm2
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Fas
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Chuk
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Igf1r
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Dffa
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Mapk10
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Dffb
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Hrk
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Ikbkb
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Traf3
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Birc3
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Birc2
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Ikbkg
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Prf1
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Tnf
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Birc5
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Tnfrsf1b
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Hells
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Bcl2l11
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Tnfrsf1a
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Myc
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Tradd
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Akt1
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Nfkb1
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Traf2
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Trp63
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Traf1
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Bok
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Bcl2l1
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Bcl2l2
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Xiap
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Tnfsf10
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Rela
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Map3k1
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Bnip3l
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Irf3
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Apaf1
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Irf4
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Irf1
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Scaf11
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Tnfrsf10b
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Irf2
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Pmaip1
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Lta
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Irf7
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Irf5
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Fadd
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Irf6
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Trp73
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Pik3r1
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Gzmc
APOPTOSIS%WIKIPATHWAYS_20250210%WP1254%MUS MUSCULUS	Fasl
LEPTIN INSULIN SIGNALING OVERLAP%WIKIPATHWAYS_20250210%WP578%MUS MUSCULUS	Akt1
LEPTIN INSULIN SIGNALING OVERLAP%WIKIPATHWAYS_20250210%WP578%MUS MUSCULUS	Socs1
LEPTIN INSULIN SIGNALING OVERLAP%WIKIPATHWAYS_20250210%WP578%MUS MUSCULUS	Ins1
LEPTIN INSULIN SIGNALING OVERLAP%WIKIPATHWAYS_20250210%WP578%MUS MUSCULUS	Socs3
LEPTIN INSULIN SIGNALING OVERLAP%WIKIPATHWAYS_20250210%WP578%MUS MUSCULUS	Socs2
LEPTIN INSULIN SIGNALING OVERLAP%WIKIPATHWAYS_20250210%WP578%MUS MUSCULUS	Irs1
LEPTIN INSULIN SIGNALING OVERLAP%WIKIPATHWAYS_20250210%WP578%MUS MUSCULUS	Insr
LEPTIN INSULIN SIGNALING OVERLAP%WIKIPATHWAYS_20250210%WP578%MUS MUSCULUS	Irs4
LEPTIN INSULIN SIGNALING OVERLAP%WIKIPATHWAYS_20250210%WP578%MUS MUSCULUS	Irs2
LEPTIN INSULIN SIGNALING OVERLAP%WIKIPATHWAYS_20250210%WP578%MUS MUSCULUS	Irs3
LEPTIN INSULIN SIGNALING OVERLAP%WIKIPATHWAYS_20250210%WP578%MUS MUSCULUS	Dgkz
LEPTIN INSULIN SIGNALING OVERLAP%WIKIPATHWAYS_20250210%WP578%MUS MUSCULUS	Pdpk1
LEPTIN INSULIN SIGNALING OVERLAP%WIKIPATHWAYS_20250210%WP578%MUS MUSCULUS	Lep
LEPTIN INSULIN SIGNALING OVERLAP%WIKIPATHWAYS_20250210%WP578%MUS MUSCULUS	Stat3
LEPTIN INSULIN SIGNALING OVERLAP%WIKIPATHWAYS_20250210%WP578%MUS MUSCULUS	Pik3cg
LEPTIN INSULIN SIGNALING OVERLAP%WIKIPATHWAYS_20250210%WP578%MUS MUSCULUS	Jak2
LEPTIN INSULIN SIGNALING OVERLAP%WIKIPATHWAYS_20250210%WP578%MUS MUSCULUS	Lepr
ALANINE AND ASPARTATE METABOLISM%WIKIPATHWAYS_20250210%WP240%MUS MUSCULUS	Agxt
ALANINE AND ASPARTATE METABOLISM%WIKIPATHWAYS_20250210%WP240%MUS MUSCULUS	Dars1
ALANINE AND ASPARTATE METABOLISM%WIKIPATHWAYS_20250210%WP240%MUS MUSCULUS	Crat
ALANINE AND ASPARTATE METABOLISM%WIKIPATHWAYS_20250210%WP240%MUS MUSCULUS	Adsl
ALANINE AND ASPARTATE METABOLISM%WIKIPATHWAYS_20250210%WP240%MUS MUSCULUS	Pcx
ALANINE AND ASPARTATE METABOLISM%WIKIPATHWAYS_20250210%WP240%MUS MUSCULUS	Got1
ALANINE AND ASPARTATE METABOLISM%WIKIPATHWAYS_20250210%WP240%MUS MUSCULUS	Gad1
ALANINE AND ASPARTATE METABOLISM%WIKIPATHWAYS_20250210%WP240%MUS MUSCULUS	Got2
ALANINE AND ASPARTATE METABOLISM%WIKIPATHWAYS_20250210%WP240%MUS MUSCULUS	Gad2
ALANINE AND ASPARTATE METABOLISM%WIKIPATHWAYS_20250210%WP240%MUS MUSCULUS	Gpt
ALANINE AND ASPARTATE METABOLISM%WIKIPATHWAYS_20250210%WP240%MUS MUSCULUS	Abat
ALANINE AND ASPARTATE METABOLISM%WIKIPATHWAYS_20250210%WP240%MUS MUSCULUS	Ass1
ALANINE AND ASPARTATE METABOLISM%WIKIPATHWAYS_20250210%WP240%MUS MUSCULUS	Carns1
ALANINE AND ASPARTATE METABOLISM%WIKIPATHWAYS_20250210%WP240%MUS MUSCULUS	Asl
ALANINE AND ASPARTATE METABOLISM%WIKIPATHWAYS_20250210%WP240%MUS MUSCULUS	Aspa
AMINO ACID METABOLISM%WIKIPATHWAYS_20250210%WP662%MUS MUSCULUS	Pck1
AMINO ACID METABOLISM%WIKIPATHWAYS_20250210%WP662%MUS MUSCULUS	Gclm
AMINO ACID METABOLISM%WIKIPATHWAYS_20250210%WP662%MUS MUSCULUS	Aoc3
AMINO ACID METABOLISM%WIKIPATHWAYS_20250210%WP662%MUS MUSCULUS	Hmgcl
AMINO ACID METABOLISM%WIKIPATHWAYS_20250210%WP662%MUS MUSCULUS	Fh
AMINO ACID METABOLISM%WIKIPATHWAYS_20250210%WP662%MUS MUSCULUS	Pnmt
AMINO ACID METABOLISM%WIKIPATHWAYS_20250210%WP662%MUS MUSCULUS	Mdh1
AMINO ACID METABOLISM%WIKIPATHWAYS_20250210%WP662%MUS MUSCULUS	Mdh2
