pathway	feature_ids
chromosome (GO:0005694)	RpS13
chromosome (GO:0005694)	RpS11
chromosome (GO:0005694)	Sse
chromosome (GO:0005694)	RpL36
chromosome (GO:0005694)	Parp
chromosome (GO:0005694)	ttk
chromosome (GO:0005694)	RpS18
chromosome (GO:0005694)	Hmr
chromosome (GO:0005694)	RpS15
chromosome (GO:0005694)	Cdk12
chromosome (GO:0005694)	RpL32
chromosome (GO:0005694)	polybromo
chromosome (GO:0005694)	Topors
chromosome (GO:0005694)	Scm
chromosome (GO:0005694)	RecQ4
chromosome (GO:0005694)	RecQ5
chromosome (GO:0005694)	egg
chromosome (GO:0005694)	Skeletor
chromosome (GO:0005694)	pch2
chromosome (GO:0005694)	timeout
chromosome (GO:0005694)	vig
chromosome (GO:0005694)	east
chromosome (GO:0005694)	RpII215
chromosome (GO:0005694)	Myb
chromosome (GO:0005694)	scf
chromosome (GO:0005694)	tef
chromosome (GO:0005694)	XNP
chromosome (GO:0005694)	Cdc27
chromosome (GO:0005694)	Hmt4-20
chromosome (GO:0005694)	stg
chromosome (GO:0005694)	kto
chromosome (GO:0005694)	Incenp
chromosome (GO:0005694)	Pof
chromosome (GO:0005694)	HP4
chromosome (GO:0005694)	Su(var)205
chromosome (GO:0005694)	Dsor1
chromosome (GO:0005694)	HP6
chromosome (GO:0005694)	glu
chromosome (GO:0005694)	Ada2b
chromosome (GO:0005694)	RpL8
chromosome (GO:0005694)	Rm62
chromosome (GO:0005694)	wapl
chromosome (GO:0005694)	CG6664
chromosome (GO:0005694)	Ino80
chromosome (GO:0005694)	MBD-R2
chromosome (GO:0005694)	Pp1-87B
chromosome (GO:0005694)	SMC1
chromosome (GO:0005694)	mip130
chromosome (GO:0005694)	fkh
chromosome (GO:0005694)	jumu
chromosome (GO:0005694)	14-3-3epsilon
chromosome (GO:0005694)	mamo
chromosome (GO:0005694)	Set1
chromosome (GO:0005694)	Xpd
chromosome (GO:0005694)	SMC2
chromosome (GO:0005694)	asf1
chromosome (GO:0005694)	pita
chromosome (GO:0005694)	Rcc1
chromosome (GO:0005694)	RpL41
chromosome (GO:0005694)	B52
chromosome (GO:0005694)	bab2
chromosome (GO:0005694)	mip120
chromosome (GO:0005694)	vig2
chromosome (GO:0005694)	D1
chromosome (GO:0005694)	abo
chromosome (GO:0005694)	Lint-1
chromosome (GO:0005694)	SuUR
chromosome (GO:0005694)	Cp190
chromosome (GO:0005694)	elB
chromosome (GO:0005694)	CtBP
chromosome (GO:0005694)	piwi
chromosome (GO:0005694)	thoc5
chromosome (GO:0005694)	bur
chromosome (GO:0005694)	Mi-2
chromosome (GO:0005694)	CG8677
chromosome (GO:0005694)	tim
chromosome (GO:0005694)	ash2
chromosome (GO:0005694)	ash1
chromosome (GO:0005694)	mei-S332
chromosome (GO:0005694)	mod(mdg4)
chromosome (GO:0005694)	Hsf
chromosome (GO:0005694)	Df31
chromosome (GO:0005694)	Fancd2
chromosome (GO:0005694)	mle
chromosome (GO:0005694)	akirin
chromosome (GO:0005694)	Nipped-B
chromosome (GO:0005694)	Nipped-A
chromosome (GO:0005694)	Nup98-96
chromosome (GO:0005694)	Su(var)2-10
chromosome (GO:0005694)	Hcs
chromosome (GO:0005694)	Cap-G
chromosome (GO:0005694)	sktl
chromosome (GO:0005694)	RpL11
chromosome (GO:0005694)	Yeti
chromosome (GO:0005694)	ZIPIC
chromosome (GO:0005694)	Phf7
chromosome (GO:0005694)	E(Pc)
chromosome (GO:0005694)	Dsp1
chromosome (GO:0005694)	barr
chromosome (GO:0005694)	Caf1-55
chromosome (GO:0005694)	EloC
chromosome (GO:0005694)	pds5
chromosome (GO:0005694)	His3
chromosome (GO:0005694)	corto
chromosome (GO:0005694)	Fign
chromosome (GO:0005694)	Usp7
chromosome (GO:0005694)	RpS2
chromosome (GO:0005694)	Rpt1
chromosome (GO:0005694)	mof
chromosome (GO:0005694)	stwl
chromosome (GO:0005694)	MEP-1
chromosome (GO:0005694)	Atxn7
chromosome (GO:0005694)	Rpb4
chromosome (GO:0005694)	peb
chromosome (GO:0005694)	lin-52
chromosome (GO:0005694)	NSD
chromosome (GO:0005694)	upSET
chromosome (GO:0005694)	su(sable)
chromosome (GO:0005694)	mei-W68
chromosome (GO:0005694)	JIL-1
chromosome (GO:0005694)	Tctp
chromosome (GO:0005694)	wde
chromosome (GO:0005694)	Smr
chromosome (GO:0005694)	Cap-D2
chromosome (GO:0005694)	CycG
chromosome (GO:0005694)	Kat60
chromosome (GO:0005694)	spas
chromosome (GO:0005694)	Fcp1
chromosome (GO:0005694)	Blm
chromosome (GO:0005694)	RpS9
chromosome (GO:0005694)	Eip93F
chromosome (GO:0005694)	Deaf1
chromosome (GO:0005694)	Rif1
chromosome (GO:0005694)	tbrd-2
chromosome (GO:0005694)	Jarid2
chromosome (GO:0005694)	tbrd-3
chromosome (GO:0005694)	Lpt
chromosome (GO:0005694)	tbrd-1
chromosome (GO:0005694)	EcR
chromosome (GO:0005694)	Bap170
chromosome (GO:0005694)	CG31917
chromosome (GO:0005694)	lolal
chromosome (GO:0005694)	tou
chromosome (GO:0005694)	mam
chromosome (GO:0005694)	Su(Tpl)
chromosome (GO:0005694)	Chro
chromosome (GO:0005694)	Gcn5
chromosome (GO:0005694)	sens
chromosome (GO:0005694)	D12
chromosome (GO:0005694)	spel1
chromosome (GO:0005694)	Sin3A
chromosome (GO:0005694)	l(3)mbt
chromosome (GO:0005694)	ebi
chromosome (GO:0005694)	uri
chromosome (GO:0005694)	Ada3
chromosome (GO:0005694)	Cdk9
chromosome (GO:0005694)	CrebA
chromosome (GO:0005694)	Dlip3
chromosome (GO:0005694)	esc
chromosome (GO:0005694)	pho
chromosome (GO:0005694)	Iswi
chromosome (GO:0005694)	Top2
chromosome (GO:0005694)	e(y)3
chromosome (GO:0005694)	Top1
chromosome (GO:0005694)	Su(H)
chromosome (GO:0005694)	CycT
chromosome (GO:0005694)	Trf
chromosome (GO:0005694)	Hel25E
chromosome (GO:0005694)	Trl
chromosome (GO:0005694)	His2Av
chromosome (GO:0005694)	Su(var)2-HP2
chromosome (GO:0005694)	usp
chromosome (GO:0005694)	nej
chromosome (GO:0005694)	pip
chromosome (GO:0005694)	MBD-like
chromosome (GO:0005694)	Utx
chromosome (GO:0005694)	Spt5
chromosome (GO:0005694)	pzg
chromosome (GO:0005694)	PR-Set7
chromosome (GO:0005694)	Charon
chromosome (GO:0005694)	Dref
chromosome (GO:0005694)	Kah
chromosome (GO:0005694)	trr
chromosome (GO:0005694)	RpS5a
chromosome (GO:0005694)	trx
chromosome (GO:0005694)	HDAC1
chromosome (GO:0005694)	Trf2
chromosome (GO:0005694)	ADD1
chromosome (GO:0005694)	su(Hw)
chromosome (GO:0005694)	Sbf
chromosome (GO:0005694)	rad50
chromosome (GO:0005694)	msl-1
chromosome (GO:0005694)	msl-3
chromosome (GO:0005694)	sage
chromosome (GO:0005694)	msl-2
nucleus (GO:0005634)	cbc
nucleus (GO:0005634)	CG10949
nucleus (GO:0005634)	CG10947
nucleus (GO:0005634)	Cdk12
nucleus (GO:0005634)	cbt
nucleus (GO:0005634)	flfl
nucleus (GO:0005634)	Ran
nucleus (GO:0005634)	zf30C
nucleus (GO:0005634)	Skeletor
nucleus (GO:0005634)	disco
nucleus (GO:0005634)	Nnp-1
nucleus (GO:0005634)	gkt
nucleus (GO:0005634)	DNApol-alpha73
nucleus (GO:0005634)	Adf1
nucleus (GO:0005634)	RpII215
nucleus (GO:0005634)	Rbf
nucleus (GO:0005634)	Myb
nucleus (GO:0005634)	Prosbeta4R2
nucleus (GO:0005634)	Myc
nucleus (GO:0005634)	Tgs1
nucleus (GO:0005634)	Prosbeta4R1
nucleus (GO:0005634)	CG5808
nucleus (GO:0005634)	CG17568
nucleus (GO:0005634)	CG11811
nucleus (GO:0005634)	kto
nucleus (GO:0005634)	cdc14
nucleus (GO:0005634)	tey
nucleus (GO:0005634)	salr
nucleus (GO:0005634)	Phax
nucleus (GO:0005634)	glu
nucleus (GO:0005634)	HLH54F
nucleus (GO:0005634)	CG1894
nucleus (GO:0005634)	Nsun2
nucleus (GO:0005634)	l(3)72Ab
nucleus (GO:0005634)	salm
nucleus (GO:0005634)	SF1
nucleus (GO:0005634)	CG17598
nucleus (GO:0005634)	SF2
nucleus (GO:0005634)	hng2
nucleus (GO:0005634)	schlank
nucleus (GO:0005634)	hng3
nucleus (GO:0005634)	Rrp6
nucleus (GO:0005634)	D
nucleus (GO:0005634)	Nufip
nucleus (GO:0005634)	H
nucleus (GO:0005634)	Rrp1
nucleus (GO:0005634)	CG10959
nucleus (GO:0005634)	halo
nucleus (GO:0005634)	CG42526
nucleus (GO:0005634)	N
nucleus (GO:0005634)	CycB3
nucleus (GO:0005634)	p38a
nucleus (GO:0005634)	tgo
nucleus (GO:0005634)	CG31875
nucleus (GO:0005634)	Hsc70-3
nucleus (GO:0005634)	Hsc70-4
nucleus (GO:0005634)	RpL41
nucleus (GO:0005634)	CG4936
nucleus (GO:0005634)	Hsc70-1
nucleus (GO:0005634)	p38c
nucleus (GO:0005634)	RpL40
nucleus (GO:0005634)	p38b
nucleus (GO:0005634)	hng1
nucleus (GO:0005634)	CG31441
nucleus (GO:0005634)	CG32772
nucleus (GO:0005634)	Acf
nucleus (GO:0005634)	h
nucleus (GO:0005634)	CG11839
nucleus (GO:0005634)	Acn
nucleus (GO:0005634)	E(spl)m8-HLH
nucleus (GO:0005634)	Adi1
nucleus (GO:0005634)	AGO2
nucleus (GO:0005634)	AGO1
nucleus (GO:0005634)	Rel
nucleus (GO:0005634)	z
nucleus (GO:0005634)	GATAe
nucleus (GO:0005634)	GATAd
nucleus (GO:0005634)	CtBP
nucleus (GO:0005634)	CG18467
nucleus (GO:0005634)	l(2)dtl
nucleus (GO:0005634)	hang
nucleus (GO:0005634)	gol
nucleus (GO:0005634)	Mi-2
nucleus (GO:0005634)	Rpn13
nucleus (GO:0005634)	MED17
nucleus (GO:0005634)	TfIIA-L
nucleus (GO:0005634)	MED18
nucleus (GO:0005634)	MED15
nucleus (GO:0005634)	CHES-1-like
nucleus (GO:0005634)	TfIIA-S
nucleus (GO:0005634)	Mettl3
nucleus (GO:0005634)	MED11
nucleus (GO:0005634)	Ets96B
nucleus (GO:0005634)	tim
nucleus (GO:0005634)	Rpn10
nucleus (GO:0005634)	MED10
nucleus (GO:0005634)	tio
nucleus (GO:0005634)	tin
nucleus (GO:0005634)	pan
nucleus (GO:0005634)	chb
nucleus (GO:0005634)	CG5846
nucleus (GO:0005634)	Rfx
nucleus (GO:0005634)	Ubi-p5E
nucleus (GO:0005634)	RpII33
nucleus (GO:0005634)	pav
nucleus (GO:0005634)	chm
nucleus (GO:0005634)	gpp
