pathway	feature_ids
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	COQ7
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP2B6
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP26B1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP26A1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP2A6
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	COQ6
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	DDX23
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	HOMER2
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	COQ3
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	POLDIP2
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	COQ4
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	GMPPB
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CHCHD2
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	NRDC
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	DNAJA2
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	COQ9
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	PMPCB
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	UBC
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	ESD
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	HSPD1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	IDE
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	PRKACA
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	HNF1A
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	TAF1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	PRKACG
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	PRKACB
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	DNAJA1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	ATP5C1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	HSPA9
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	PRKX
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	ATP5E
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	SRP54
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYCS
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	C1QBP
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	PMPCA
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	ECH1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	BOLA3
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	COQ5
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	PITRM1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	GLRX5
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	HOMER1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	GPSM1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	SLC9A9
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	PPTC7
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	ADCK3
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	PTPMT1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	DNAJA4
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	SLC9A6
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	ADCK4
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP3A5
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP2A7
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP7A1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP3A7
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP2F1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP2C18
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP2C19
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	HNF4A
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP2J2
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP4F2
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP4F8
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP27A1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP24A1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP4F3
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP1B1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP2A13
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP51A1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP27C1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP4F22
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP20A1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP26C1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP2R1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP4V2
