pathway	feature_ids
nucleus (GO:0005634)	RME1
nucleus (GO:0005634)	STP4
nucleus (GO:0005634)	STP3
nucleus (GO:0005634)	STP2
nucleus (GO:0005634)	STP1
nucleus (GO:0005634)	YJL113W
nucleus (GO:0005634)	FAR1
nucleus (GO:0005634)	FAP7
nucleus (GO:0005634)	STO1
nucleus (GO:0005634)	SGV1
nucleus (GO:0005634)	RDS1
nucleus (GO:0005634)	LCB5
nucleus (GO:0005634)	RMD5
nucleus (GO:0005634)	TRM82
nucleus (GO:0005634)	YIH1
nucleus (GO:0005634)	OYE2
nucleus (GO:0005634)	RDS2
nucleus (GO:0005634)	CMR1
nucleus (GO:0005634)	ENV11
nucleus (GO:0005634)	URH1
nucleus (GO:0005634)	STR3
nucleus (GO:0005634)	STR2
nucleus (GO:0005634)	PET309
nucleus (GO:0005634)	ACE2
nucleus (GO:0005634)	CIK1
nucleus (GO:0005634)	VHR1
nucleus (GO:0005634)	CMS1
nucleus (GO:0005634)	VHR2
nucleus (GO:0005634)	STS1
nucleus (GO:0005634)	YNL162W-A
nucleus (GO:0005634)	LCD1
nucleus (GO:0005634)	POP6
nucleus (GO:0005634)	PKH2
nucleus (GO:0005634)	POP8
nucleus (GO:0005634)	POP3
nucleus (GO:0005634)	MFG1
nucleus (GO:0005634)	MUS81
nucleus (GO:0005634)	TOD6
nucleus (GO:0005634)	SLA1
nucleus (GO:0005634)	MSA1
nucleus (GO:0005634)	MSA2
nucleus (GO:0005634)	PSY4
nucleus (GO:0005634)	PSY3
nucleus (GO:0005634)	PSY2
nucleus (GO:0005634)	ATG5
nucleus (GO:0005634)	SLD2
nucleus (GO:0005634)	APA1
nucleus (GO:0005634)	APA2
nucleus (GO:0005634)	SLD3
nucleus (GO:0005634)	TOG1
nucleus (GO:0005634)	RMI1
nucleus (GO:0005634)	HPM1
nucleus (GO:0005634)	SLD7
nucleus (GO:0005634)	TOF1
nucleus (GO:0005634)	VHS1
nucleus (GO:0005634)	RPL40A
nucleus (GO:0005634)	RPL40B
nucleus (GO:0005634)	CIN8
nucleus (GO:0005634)	CIN5
nucleus (GO:0005634)	YML053C
nucleus (GO:0005634)	YDR018C
nucleus (GO:0005634)	APC4
nucleus (GO:0005634)	APC1
nucleus (GO:0005634)	RIC1
nucleus (GO:0005634)	DLS1
nucleus (GO:0005634)	TRM10
nucleus (GO:0005634)	YKR018C
nucleus (GO:0005634)	YVH1
nucleus (GO:0005634)	YLR035C-A
nucleus (GO:0005634)	CEG1
nucleus (GO:0005634)	GID8
nucleus (GO:0005634)	GID7
nucleus (GO:0005634)	TRM13
nucleus (GO:0005634)	TSR3
nucleus (GO:0005634)	SPO1
nucleus (GO:0005634)	TSR2
nucleus (GO:0005634)	TSR1
nucleus (GO:0005634)	GZF3
nucleus (GO:0005634)	YKL091C
nucleus (GO:0005634)	RIB1
nucleus (GO:0005634)	URK1
nucleus (GO:0005634)	APD1
nucleus (GO:0005634)	RIB4
nucleus (GO:0005634)	GIC1
nucleus (GO:0005634)	YOR338W
nucleus (GO:0005634)	DDC1
nucleus (GO:0005634)	SPN1
nucleus (GO:0005634)	CIP1
nucleus (GO:0005634)	APC5
nucleus (GO:0005634)	YRB2
nucleus (GO:0005634)	RIE1
nucleus (GO:0005634)	BLM10
nucleus (GO:0005634)	APE2
nucleus (GO:0005634)	MSH2
nucleus (GO:0005634)	YNL035C
nucleus (GO:0005634)	YRB1
nucleus (GO:0005634)	YDR365W-B
nucleus (GO:0005634)	MSH3
nucleus (GO:0005634)	MSH5
nucleus (GO:0005634)	MSH6
nucleus (GO:0005634)	NEJ1
nucleus (GO:0005634)	DUG2
nucleus (GO:0005634)	QNS1
nucleus (GO:0005634)	LCL3
nucleus (GO:0005634)	YRA2
nucleus (GO:0005634)	YMR111C
nucleus (GO:0005634)	NIP7
nucleus (GO:0005634)	URM1
nucleus (GO:0005634)	CTF19
nucleus (GO:0005634)	CAB4
nucleus (GO:0005634)	CAB2
nucleus (GO:0005634)	CAB1
nucleus (GO:0005634)	ACL4
nucleus (GO:0005634)	MSG5
nucleus (GO:0005634)	RDH54
nucleus (GO:0005634)	URN1
nucleus (GO:0005634)	SPP1
nucleus (GO:0005634)	MBF1
nucleus (GO:0005634)	NOP13
nucleus (GO:0005634)	NOP15
nucleus (GO:0005634)	NOP16
nucleus (GO:0005634)	NOP19
nucleus (GO:0005634)	YLR157C-B
nucleus (GO:0005634)	LTO1
nucleus (GO:0005634)	GAL83
nucleus (GO:0005634)	GAL80
nucleus (GO:0005634)	CAC2
nucleus (GO:0005634)	PTC1
nucleus (GO:0005634)	MOB2
nucleus (GO:0005634)	PTC3
nucleus (GO:0005634)	YMR027W
nucleus (GO:0005634)	PTC2
nucleus (GO:0005634)	ACM1
nucleus (GO:0005634)	SPS1
nucleus (GO:0005634)	RMP1
nucleus (GO:0005634)	HTZ1
nucleus (GO:0005634)	UNG1
nucleus (GO:0005634)	NAB2
nucleus (GO:0005634)	CRF1
nucleus (GO:0005634)	NAB3
nucleus (GO:0005634)	RIF1
nucleus (GO:0005634)	WTM1
nucleus (GO:0005634)	MSI1
nucleus (GO:0005634)	WTM2
nucleus (GO:0005634)	YOR289W
nucleus (GO:0005634)	TBS1
nucleus (GO:0005634)	SYC1
nucleus (GO:0005634)	NRD1
nucleus (GO:0005634)	CAD1
nucleus (GO:0005634)	TOM1
nucleus (GO:0005634)	NIS1
nucleus (GO:0005634)	SPT8
nucleus (GO:0005634)	YMR114C
nucleus (GO:0005634)	NRG1
nucleus (GO:0005634)	MSL5
nucleus (GO:0005634)	NRG2
nucleus (GO:0005634)	CDC55
nucleus (GO:0005634)	MOD5
nucleus (GO:0005634)	SYF2
nucleus (GO:0005634)	SYF1
nucleus (GO:0005634)	NAF1
nucleus (GO:0005634)	YAE1
nucleus (GO:0005634)	TOP3
nucleus (GO:0005634)	TOP2
nucleus (GO:0005634)	TOP1
nucleus (GO:0005634)	RMR1
nucleus (GO:0005634)	ISW1
nucleus (GO:0005634)	POL12
nucleus (GO:0005634)	HPT1
nucleus (GO:0005634)	ISW2
nucleus (GO:0005634)	ALB1
nucleus (GO:0005634)	LTP1
nucleus (GO:0005634)	APJ1
nucleus (GO:0005634)	CDC73
nucleus (GO:0005634)	YHR112C
nucleus (GO:0005634)	RVB1
nucleus (GO:0005634)	RVB2
nucleus (GO:0005634)	SPT6
nucleus (GO:0005634)	SPT5
nucleus (GO:0005634)	SPT2
nucleus (GO:0005634)	SPT3
nucleus (GO:0005634)	MSN5
nucleus (GO:0005634)	MSN1
nucleus (GO:0005634)	MSN2
nucleus (GO:0005634)	MSN4
nucleus (GO:0005634)	CDC33
nucleus (GO:0005634)	CDC34
nucleus (GO:0005634)	CDC36
nucleus (GO:0005634)	CDC39
nucleus (GO:0005634)	SHG1
nucleus (GO:0005634)	NOP53
nucleus (GO:0005634)	TOR2
nucleus (GO:0005634)	RMT2
nucleus (GO:0005634)	TOR1
nucleus (GO:0005634)	NOP56
nucleus (GO:0005634)	ECM22
nucleus (GO:0005634)	POL30
nucleus (GO:0005634)	POL31
nucleus (GO:0005634)	POL32
nucleus (GO:0005634)	YEN1
nucleus (GO:0005634)	YGR161W-B
nucleus (GO:0005634)	IKI3
nucleus (GO:0005634)	IKI1
nucleus (GO:0005634)	CDC45
nucleus (GO:0005634)	YAF9
nucleus (GO:0005634)	EXO1
nucleus (GO:0005634)	CDC48
nucleus (GO:0005634)	EXO5
nucleus (GO:0005634)	ECM29
nucleus (GO:0005634)	ECM11
nucleus (GO:0005634)	GIN4
nucleus (GO:0005634)	HDA3
nucleus (GO:0005634)	HDA2
nucleus (GO:0005634)	APM2
nucleus (GO:0005634)	PTI1
nucleus (GO:0005634)	CDC20
nucleus (GO:0005634)	YOR283W
nucleus (GO:0005634)	CDC14
nucleus (GO:0005634)	SUB2
nucleus (GO:0005634)	CDC16
nucleus (GO:0005634)	YDR316W-B
nucleus (GO:0005634)	SUB1
nucleus (GO:0005634)	REF2
nucleus (GO:0005634)	PCH2
nucleus (GO:0005634)	ECM15
nucleus (GO:0005634)	TKL2
nucleus (GO:0005634)	TKL1
nucleus (GO:0005634)	ACS2
nucleus (GO:0005634)	RNA14
nucleus (GO:0005634)	MSO1
nucleus (GO:0005634)	ALF1
nucleus (GO:0005634)	APN2
nucleus (GO:0005634)	MOG1
nucleus (GO:0005634)	APN1
nucleus (GO:0005634)	CDC31
nucleus (GO:0005634)	SUA7
nucleus (GO:0005634)	KDX1
nucleus (GO:0005634)	CDC24
nucleus (GO:0005634)	DUN1
nucleus (GO:0005634)	CDC25
nucleus (GO:0005634)	CDC26
nucleus (GO:0005634)	CDC28
nucleus (GO:0005634)	YOR343W-B
nucleus (GO:0005634)	HUB1
nucleus (GO:0005634)	YDR210C-D
nucleus (GO:0005634)	CAJ1
nucleus (GO:0005634)	TOS4
nucleus (GO:0005634)	NRM1
nucleus (GO:0005634)	XBP1
nucleus (GO:0005634)	TAH11
nucleus (GO:0005634)	YAK1
nucleus (GO:0005634)	PTK1
nucleus (GO:0005634)	CRM1
nucleus (GO:0005634)	PTK2
nucleus (GO:0005634)	YRM1
nucleus (GO:0005634)	CAK1
nucleus (GO:0005634)	LTV1
nucleus (GO:0005634)	RPC17
nucleus (GO:0005634)	SDA1
nucleus (GO:0005634)	YDL144C
nucleus (GO:0005634)	YBR012W-B
nucleus (GO:0005634)	RPC10
nucleus (GO:0005634)	MBP1
nucleus (GO:0005634)	YBL100W-B
nucleus (GO:0005634)	RIO1
nucleus (GO:0005634)	RIO2
nucleus (GO:0005634)	PRM15
nucleus (GO:0005634)	SDD4
nucleus (GO:0005634)	BOL2
nucleus (GO:0005634)	DUS1
nucleus (GO:0005634)	DUS3
nucleus (GO:0005634)	PCL1
nucleus (GO:0005634)	YNG2
nucleus (GO:0005634)	DMC1
nucleus (GO:0005634)	PCL7
nucleus (GO:0005634)	PCL2
nucleus (GO:0005634)	PCL5
nucleus (GO:0005634)	CAM1
nucleus (GO:0005634)	GIS1
nucleus (GO:0005634)	DDP1
nucleus (GO:0005634)	MSS4
nucleus (GO:0005634)	JJJ2
nucleus (GO:0005634)	JJJ3
nucleus (GO:0005634)	SDS22
nucleus (GO:0005634)	SLT2
nucleus (GO:0005634)	CRP1
nucleus (GO:0005634)	SDS23
nucleus (GO:0005634)	FSH1
nucleus (GO:0005634)	FSH3
nucleus (GO:0005634)	FSH2
nucleus (GO:0005634)	OPI10
nucleus (GO:0005634)	SDD2
nucleus (GO:0005634)	NAM8
nucleus (GO:0005634)	YLR126C
nucleus (GO:0005634)	HHO1
nucleus (GO:0005634)	UFD4
nucleus (GO:0005634)	AHC2
nucleus (GO:0005634)	NUP192
