pathway	feature_ids
Rad51B-Rad51C-Rad51D-XRCC2 complex	Rad51c
Rad51B-Rad51C-Rad51D-XRCC2 complex	Rad51b
Rad51B-Rad51C-Rad51D-XRCC2 complex	Xrcc2
mitochondrial fatty acid beta-oxidation multienzyme complex	Hadha
mitochondrial fatty acid beta-oxidation multienzyme complex	Hadhb
mitochondrial fatty acid beta-oxidation multienzyme complex	Acacb
endoplasmic reticulum tubular network	Reep1
endoplasmic reticulum tubular network	Reep4
endoplasmic reticulum tubular network	Reep5
endoplasmic reticulum tubular network	Atl3
endoplasmic reticulum tubular network	Atl2
endoplasmic reticulum tubular network	Atl1
endoplasmic reticulum tubular network	Reep3
endoplasmic reticulum tubular network	Kpnb1
endoplasmic reticulum tubular network	Rtn4
endoplasmic reticulum tubular network	Retreg3
endoplasmic reticulum tubular network	Parp6
endoplasmic reticulum tubular network	Arv1
endoplasmic reticulum tubular network	Asph
endoplasmic reticulum tubular network	Parp8
endoplasmic reticulum tubular network	Emd
endoplasmic reticulum tubular network	Stimate
endoplasmic reticulum tubular network	Rab10
endoplasmic reticulum tubular network	Parp16
endoplasmic reticulum tubular network	Arl6ip1
endoplasmic reticulum tubular network	C2cd2l
endoplasmic reticulum tubular network	Stim1
endoplasmic reticulum tubular network	Rab18
endoplasmic reticulum tubular network	Rab3gap1
endoplasmic reticulum tubular network	Rnf41
endoplasmic reticulum tubular network	Lnpk
endoplasmic reticulum tubular network	Zfyve27
dendritic spine head	Fmr1
dendritic spine head	Ppp1r9b
dendritic spine head	Rgs7bp
dendritic spine head	Nrgn
dendritic spine head	Dnm3
dendritic spine head	Ppp1r1b
dendritic spine head	Gria2
dendritic spine head	Cacna1s
dendritic spine head	Drd1
dendritic spine head	Syne1
dendritic spine head	Grip1
dendritic spine head	Srgap2
dendritic spine head	Hpca
dendritic spine head	Fus
dendritic spine head	Gper1
dendritic spine head	Atp1a3
aggresome	Prkn
aggresome	Hspa1b
aggresome	Trim37
aggresome	Hspa1a
aggresome	Ucma
aggresome	Eps15
aggresome	Clu
aggresome	Ubqln1
aggresome	Trim50
aggresome	Sqstm1
aggresome	Psap
aggresome	Ubd
aggresome	Psen1
aggresome	Hdac6
aggresome	Rnf32
macropinosome	Appl2
macropinosome	Clip1
macropinosome	Mmp14
macropinosome	Carmil1
macropinosome	Carmil2
macropinosome	Anxa2
macropinosome	Ankfy1
macropinosome	Appl1
nuclear stress granule	Rbfox1
nuclear stress granule	Tia1
nuclear stress granule	Hsf1
nuclear stress granule	Sumo1
nuclear stress granule	Dhx9
nuclear stress granule	Sympk
Derlin-1 retrotranslocation complex	Vcp
Derlin-1 retrotranslocation complex	Sel1l
Derlin-1 retrotranslocation complex	Hm13
Derlin-1 retrotranslocation complex	Rnf139
Derlin-1 retrotranslocation complex	Selenos
Derlin-1 retrotranslocation complex	Amfr
Derlin-1 retrotranslocation complex	Syvn1
Derlin-1 retrotranslocation complex	Derl1
actin cytoskeleton	Ppp1r9b
actin cytoskeleton	Carmil1
actin cytoskeleton	Carmil2
actin cytoskeleton	Dhx9
actin cytoskeleton	Myl12b
actin cytoskeleton	Synpo2l
actin cytoskeleton	Mprip
actin cytoskeleton	Msrb1
actin cytoskeleton	Xirp2
actin cytoskeleton	Xirp1
actin cytoskeleton	Dctn5
actin cytoskeleton	Dctn6
actin cytoskeleton	Dctn2
actin cytoskeleton	Dctn3
actin cytoskeleton	Dctn4
actin cytoskeleton	Crmp1
actin cytoskeleton	Clcn2
actin cytoskeleton	Cd2ap
actin cytoskeleton	Cldn5
actin cytoskeleton	Acta1
actin cytoskeleton	Acta2
actin cytoskeleton	Daam1
actin cytoskeleton	Avil
actin cytoskeleton	Pdxp
actin cytoskeleton	Tnni3
actin cytoskeleton	Tnni2
actin cytoskeleton	Tnni1
Vps18	Arhgap6
Vps18	Myl4
Vps18	Tfpt
Vps18	Wipf1
Vps18	Myl6
Vps18	Bin3
Vps18	Bin2
Vps18	Prkcb
Vps18	Dapk1
Vps18	Myl1
Vps18	Myl2
Vps18	Myl3
Vps18	Dapk3
Vps18	Gabarap
Vps18	Aif1l
Vps18	Myl9
Vps18	Snca
Vps18	Rab22a
Vps18	Trip6
Vps18	Nebl
Vps18	Vps11
Vps18	Flot2
Vps18	Flot1
Vps18	Vps16
Vps18	Myh7b
Vps18	Limch1
Vps18	Myo6
Jup	Rdx
Jup	Stk38l
Jup	Sptbn1
Jup	Sptbn2
Jup	Mylk
Jup	Sptbn5
Jup	Septin11
Jup	Snap25
Jup	Sptbn4
Jup	Gjb6
Jup	Nox4
Jup	Catip
Jup	Stk17b
Jup	Mical1
Jup	Pawr
Jup	Fmn2
Jup	Cryab
Jup	Tnnc2
Jup	Tnnc1
Jup	LOC120093525
Jup	Adcy8
Jup	Med28
Jup	Itpka
Jup	Apc2
Jup	Lrrc7
Jup	Flii
Jup	LOC100302465
Hcls1	Sptan1
Hcls1	Cit
Hcls1	Ptges3
Hcls1	Ahnak
Hcls1	Gas2
Hcls1	Mical2
Hcls1	Afap1
Hcls1	Gas7
Hcls1	Baiap2l1
Hcls1	Dmtn
Hcls1	Whrn
Hcls1	Actr10
Hcls1	Cgnl1
Hcls1	Fhod1
Hcls1	Fkbp15
Hcls1	Sipa1l3
Hcls1	Jam3
Hcls1	Kat2b
Hcls1	Gsn
Hcls1	Taok2
Hcls1	Rapgef3
Hcls1	Abi2
Hcls1	Zyx
Hcls1	Rflna
Hcls1	Ocm
Hcls1	Rflnb
Hcls1	Eef1a1
Fscn2	Fscn3
Fscn2	Kncn
Fscn2	Lurap1
Fscn2	Utrn
Fscn2	Gas2l3
Fscn2	Cdh2
Fscn2	Cdh1
Fscn2	Pls3
Fscn2	Pls1
Fscn2	Tpm4
Fscn2	Tpm3
Fscn2	Tpm2
Fscn2	Akap13
Fscn2	Tpm1
Fscn2	Cfl1
Fscn2	Cfl2
Fscn2	Gas2l1
Fscn2	Gas2l2
Fscn2	Pvalb
Fscn2	Map3k1
