pathway	feature_ids
ABC transporters	CG10226
ABC transporters	CG31792
ABC transporters	CG9270
ABC transporters	CG1718
ABC transporters	ABCB7
ABC transporters	CG42816
ABC transporters	MRP
ABC transporters	CG6052
ABC transporters	Mrp4
ABC transporters	CG7627
ABC transporters	Pmp70
ABC transporters	Mdr49
ABC transporters	CG4562
ABC transporters	Mdr65
ABC transporters	CG3156
ABC transporters	CG1824
ABC transporters	Mdr50
ABC transporters	l(2)03659
ABC transporters	Hmt-1
ABC transporters	CG7806
ABC transporters	CG31213
AGE-RAGE signaling pathway in diabetic complications	Cdc42
AGE-RAGE signaling pathway in diabetic complications	Pi3K21B
AGE-RAGE signaling pathway in diabetic complications	Col4a1
AGE-RAGE signaling pathway in diabetic complications	norpA
AGE-RAGE signaling pathway in diabetic complications	babo
AGE-RAGE signaling pathway in diabetic complications	Med
AGE-RAGE signaling pathway in diabetic complications	Pkc53E
AGE-RAGE signaling pathway in diabetic complications	Stat92E
AGE-RAGE signaling pathway in diabetic complications	RhoL
AGE-RAGE signaling pathway in diabetic complications	Cdk4
AGE-RAGE signaling pathway in diabetic complications	Pkcdelta
AGE-RAGE signaling pathway in diabetic complications	bsk
AGE-RAGE signaling pathway in diabetic complications	rl
AGE-RAGE signaling pathway in diabetic complications	Rel
AGE-RAGE signaling pathway in diabetic complications	Jra
AGE-RAGE signaling pathway in diabetic complications	Smox
AGE-RAGE signaling pathway in diabetic complications	Mtl
AGE-RAGE signaling pathway in diabetic complications	Pkc98E
AGE-RAGE signaling pathway in diabetic complications	hop
AGE-RAGE signaling pathway in diabetic complications	Pi3K92E
AGE-RAGE signaling pathway in diabetic complications	vkg
AGE-RAGE signaling pathway in diabetic complications	inaC
AGE-RAGE signaling pathway in diabetic complications	p38a
AGE-RAGE signaling pathway in diabetic complications	sl
AGE-RAGE signaling pathway in diabetic complications	Akt1
AGE-RAGE signaling pathway in diabetic complications	Rac1
AGE-RAGE signaling pathway in diabetic complications	Ras85D
AGE-RAGE signaling pathway in diabetic complications	Rac2
AGE-RAGE signaling pathway in diabetic complications	p38c
AGE-RAGE signaling pathway in diabetic complications	Plc21C
AGE-RAGE signaling pathway in diabetic complications	p38b
Alanine, aspartate and glutamate metabolism	Prat2
Alanine, aspartate and glutamate metabolism	b
Alanine, aspartate and glutamate metabolism	Ssadh
Alanine, aspartate and glutamate metabolism	Gs2
Alanine, aspartate and glutamate metabolism	Got2
Alanine, aspartate and glutamate metabolism	Gs1
Alanine, aspartate and glutamate metabolism	Got1
Alanine, aspartate and glutamate metabolism	Gfat1
Alanine, aspartate and glutamate metabolism	Gad1
Alanine, aspartate and glutamate metabolism	Gfat2
Alanine, aspartate and glutamate metabolism	AsnS
Alanine, aspartate and glutamate metabolism	CG8132
Alanine, aspartate and glutamate metabolism	r
Alanine, aspartate and glutamate metabolism	Prat
Alanine, aspartate and glutamate metabolism	bb8
Alanine, aspartate and glutamate metabolism	CG1315
Alanine, aspartate and glutamate metabolism	AdSS
Alanine, aspartate and glutamate metabolism	P5CDh1
Alanine, aspartate and glutamate metabolism	CG12338
Alanine, aspartate and glutamate metabolism	AdSL
Alanine, aspartate and glutamate metabolism	CG6661
Alanine, aspartate and glutamate metabolism	Spat
Alanine, aspartate and glutamate metabolism	CG9510
Alanine, aspartate and glutamate metabolism	CG9674
Alanine, aspartate and glutamate metabolism	Gdh
Alanine, aspartate and glutamate metabolism	GLS
Alanine, aspartate and glutamate metabolism	Gabat
Alanine, aspartate and glutamate metabolism	CG1640
Alanine, aspartate and glutamate metabolism	CG11241
Amino sugar and nucleotide sugar metabolism	Galt
Amino sugar and nucleotide sugar metabolism	Csas
Amino sugar and nucleotide sugar metabolism	CG10202
Amino sugar and nucleotide sugar metabolism	Cht2
Amino sugar and nucleotide sugar metabolism	Cht4
Amino sugar and nucleotide sugar metabolism	Cht5
Amino sugar and nucleotide sugar metabolism	Gfat1
Amino sugar and nucleotide sugar metabolism	Cht6
Amino sugar and nucleotide sugar metabolism	Gfat2
Amino sugar and nucleotide sugar metabolism	Cht7
Amino sugar and nucleotide sugar metabolism	Pmm2
Amino sugar and nucleotide sugar metabolism	Cht8
Amino sugar and nucleotide sugar metabolism	Cht9
Amino sugar and nucleotide sugar metabolism	Hex-t2
Amino sugar and nucleotide sugar metabolism	Hex-t1
Amino sugar and nucleotide sugar metabolism	Pgi
Amino sugar and nucleotide sugar metabolism	CG8207
Amino sugar and nucleotide sugar metabolism	Pgm
Amino sugar and nucleotide sugar metabolism	Hexo1
Amino sugar and nucleotide sugar metabolism	Hexo2
Amino sugar and nucleotide sugar metabolism	CG11257
Amino sugar and nucleotide sugar metabolism	UGP
Amino sugar and nucleotide sugar metabolism	CG15771
Amino sugar and nucleotide sugar metabolism	CG7914
Amino sugar and nucleotide sugar metabolism	Hex-A
Amino sugar and nucleotide sugar metabolism	CS-2
Amino sugar and nucleotide sugar metabolism	Cht10
Amino sugar and nucleotide sugar metabolism	Uxs
Amino sugar and nucleotide sugar metabolism	Cht12
Amino sugar and nucleotide sugar metabolism	nst
Amino sugar and nucleotide sugar metabolism	Cht11
Amino sugar and nucleotide sugar metabolism	CG6218
Amino sugar and nucleotide sugar metabolism	CG17065
Amino sugar and nucleotide sugar metabolism	CG8417
Amino sugar and nucleotide sugar metabolism	NANS
Amino sugar and nucleotide sugar metabolism	Gmer
Amino sugar and nucleotide sugar metabolism	Gale
Amino sugar and nucleotide sugar metabolism	kkv
Amino sugar and nucleotide sugar metabolism	sgl
Amino sugar and nucleotide sugar metabolism	Hex-C
Amino sugar and nucleotide sugar metabolism	mmy
Amino sugar and nucleotide sugar metabolism	Pmm45A
Amino sugar and nucleotide sugar metabolism	CG1969
Amino sugar and nucleotide sugar metabolism	Gmd
Amino sugar and nucleotide sugar metabolism	Oscillin
Amino sugar and nucleotide sugar metabolism	CG1129
Amino sugar and nucleotide sugar metabolism	CG5946
Aminoacyl-tRNA biosynthesis	trnG
Aminoacyl-tRNA biosynthesis	trnH
Aminoacyl-tRNA biosynthesis	LeuRS
Aminoacyl-tRNA biosynthesis	trnE
Aminoacyl-tRNA biosynthesis	trnF
Aminoacyl-tRNA biosynthesis	trnC
Aminoacyl-tRNA biosynthesis	trnD
Aminoacyl-tRNA biosynthesis	trnA
Aminoacyl-tRNA biosynthesis	trnP
Aminoacyl-tRNA biosynthesis	trnM
Aminoacyl-tRNA biosynthesis	trnN
Aminoacyl-tRNA biosynthesis	trnK
Aminoacyl-tRNA biosynthesis	trnI
Aminoacyl-tRNA biosynthesis	CG1750
Aminoacyl-tRNA biosynthesis	AlaRS
Aminoacyl-tRNA biosynthesis	alpha-PheRS
Aminoacyl-tRNA biosynthesis	beta-PheRS
Aminoacyl-tRNA biosynthesis	trnS1
Aminoacyl-tRNA biosynthesis	Slimp
Aminoacyl-tRNA biosynthesis	trnS2
Aminoacyl-tRNA biosynthesis	MetRS-m
Aminoacyl-tRNA biosynthesis	TyrRS-m
Aminoacyl-tRNA biosynthesis	LysRS
Aminoacyl-tRNA biosynthesis	TrpRS
Aminoacyl-tRNA biosynthesis	IleRS-m
Aminoacyl-tRNA biosynthesis	SerRS-m
Aminoacyl-tRNA biosynthesis	CysRS-m
Aminoacyl-tRNA biosynthesis	trnL1
Aminoacyl-tRNA biosynthesis	GluRS-m
Aminoacyl-tRNA biosynthesis	trnL2
Aminoacyl-tRNA biosynthesis	ProRS-m
Aminoacyl-tRNA biosynthesis	GlnRS
Aminoacyl-tRNA biosynthesis	LeuRS-m
Aminoacyl-tRNA biosynthesis	AsnRS-m
Aminoacyl-tRNA biosynthesis	CG12788
Aminoacyl-tRNA biosynthesis	GluProRS
Aminoacyl-tRNA biosynthesis	GatB
Aminoacyl-tRNA biosynthesis	GatA
Aminoacyl-tRNA biosynthesis	ValRS
Aminoacyl-tRNA biosynthesis	GatC
Aminoacyl-tRNA biosynthesis	AlaRS-m
Aminoacyl-tRNA biosynthesis	TyrRS
Aminoacyl-tRNA biosynthesis	IleRS
Aminoacyl-tRNA biosynthesis	CysRS
