pathway	feature_ids
chondroitin sulfate proteoglycan metabolic process (GO:0050654)	extl3
chondroitin sulfate proteoglycan metabolic process (GO:0050654)	chsy1
chondroitin sulfate proteoglycan metabolic process (GO:0050654)	pxylp1
chondroitin sulfate proteoglycan metabolic process (GO:0050654)	csgalnact2
chondroitin sulfate proteoglycan metabolic process (GO:0050654)	dcn
chondroitin sulfate proteoglycan metabolic process (GO:0050654)	b3gat3
chondroitin sulfate proteoglycan metabolic process (GO:0050654)	csgalnact1a
chondroitin sulfate proteoglycan metabolic process (GO:0050654)	b3gat2
chondroitin sulfate proteoglycan metabolic process (GO:0050654)	uxs1
chondroitin sulfate proteoglycan metabolic process (GO:0050654)	b3gat1b
chondroitin sulfate proteoglycan metabolic process (GO:0050654)	b3gat1a
chondroitin sulfate proteoglycan metabolic process (GO:0050654)	ext2
inner ear receptor stereocilium organization (GO:0060122)	ift88
inner ear receptor stereocilium organization (GO:0060122)	pacsin1b
inner ear receptor stereocilium organization (GO:0060122)	cdh2
inner ear receptor stereocilium organization (GO:0060122)	cdh23
inner ear receptor stereocilium organization (GO:0060122)	whrnb
inner ear receptor stereocilium organization (GO:0060122)	foxj1b
inner ear receptor stereocilium organization (GO:0060122)	whrna
inner ear receptor stereocilium organization (GO:0060122)	emx2
inner ear receptor stereocilium organization (GO:0060122)	myo7aa
inner ear receptor stereocilium organization (GO:0060122)	pdzd7b
inner ear receptor stereocilium organization (GO:0060122)	tomt
inner ear receptor stereocilium organization (GO:0060122)	cobl
inner ear receptor stereocilium organization (GO:0060122)	ush1c
inner ear receptor stereocilium organization (GO:0060122)	pdzd7a
BMP signaling pathway (GO:0030509)	bmp4
BMP signaling pathway (GO:0030509)	LOC101885590
BMP signaling pathway (GO:0030509)	bmp5
BMP signaling pathway (GO:0030509)	bmpr1aa
BMP signaling pathway (GO:0030509)	bmpr1ab
BMP signaling pathway (GO:0030509)	fcho1
BMP signaling pathway (GO:0030509)	spaw
BMP signaling pathway (GO:0030509)	bmp2a
BMP signaling pathway (GO:0030509)	bmp2b
BMP signaling pathway (GO:0030509)	scube1
BMP signaling pathway (GO:0030509)	bmp15
BMP signaling pathway (GO:0030509)	bmp16
BMP signaling pathway (GO:0030509)	lef1
BMP signaling pathway (GO:0030509)	hjv
BMP signaling pathway (GO:0030509)	inppl1a
BMP signaling pathway (GO:0030509)	bmp8a
BMP signaling pathway (GO:0030509)	bmp10
BMP signaling pathway (GO:0030509)	grem2b
BMP signaling pathway (GO:0030509)	rgmb
BMP signaling pathway (GO:0030509)	rgma
BMP signaling pathway (GO:0030509)	bmp6
BMP signaling pathway (GO:0030509)	rgmd
BMP signaling pathway (GO:0030509)	tob1a
BMP signaling pathway (GO:0030509)	tob1b
BMP signaling pathway (GO:0030509)	bmpr1bb
BMP signaling pathway (GO:0030509)	bmpr1ba
BMP signaling pathway (GO:0030509)	ndr2
BMP signaling pathway (GO:0030509)	ndr1
BMP signaling pathway (GO:0030509)	acvr1l
BMP signaling pathway (GO:0030509)	gdf6a
BMP signaling pathway (GO:0030509)	gdf6b
BMP signaling pathway (GO:0030509)	smad5
BMP signaling pathway (GO:0030509)	tdgf1
BMP signaling pathway (GO:0030509)	bmpr2b
BMP signaling pathway (GO:0030509)	bmpr2a
BMP signaling pathway (GO:0030509)	smad1
BMP signaling pathway (GO:0030509)	bmp7a
BMP signaling pathway (GO:0030509)	bmp7b
BMP signaling pathway (GO:0030509)	gdf2
BMP signaling pathway (GO:0030509)	gdf3
BMP signaling pathway (GO:0030509)	gdf5
BMP signaling pathway (GO:0030509)	wisp3
