pathway	feature_ids
Wnt signaling in kidney disease	Wnt2
Wnt signaling in kidney disease	Wnt1
Wnt signaling in kidney disease	Wnt4
Wnt signaling in kidney disease	Wnt10b
Wnt signaling in kidney disease	Wnt3
Wnt signaling in kidney disease	Fzd1
Wnt signaling in kidney disease	Invs
Wnt signaling in kidney disease	Fzd3
Wnt signaling in kidney disease	Fzd2
Wnt signaling in kidney disease	Kitlg
Wnt signaling in kidney disease	Fzd5
Wnt signaling in kidney disease	Fzd4
Wnt signaling in kidney disease	Fzd7
Wnt signaling in kidney disease	Fzd6
Wnt signaling in kidney disease	Fzd9
Wnt signaling in kidney disease	Fzd8
Wnt signaling in kidney disease	Nlrp3
Wnt signaling in kidney disease	Wnt2b
Wnt signaling in kidney disease	Gsk3b
Wnt signaling in kidney disease	Apc
Wnt signaling in kidney disease	Axin1
Wnt signaling in kidney disease	Btrc
Wnt signaling in kidney disease	Mapk10
Wnt signaling in kidney disease	Wnt16
Wnt signaling in kidney disease	Mapk9
Wnt signaling in kidney disease	Wnt11
Wnt signaling in kidney disease	Mapk8
Wnt signaling in kidney disease	Csnk1a1
Wnt signaling in kidney disease	Ctnnb1
Wnt signaling in kidney disease	Lrp4
Wnt signaling in kidney disease	Rhoa
Wnt signaling in kidney disease	Lrp5
Wnt signaling in kidney disease	Wnt6
Wnt signaling in kidney disease	Wnt5a
Wnt signaling in kidney disease	Wnt7b
Wnt signaling in kidney disease	Wnt3a
Wnt signaling in kidney disease	Dvl1
Wnt signaling in kidney disease	Wnt5b
Wnt signaling in kidney disease	Dvl2
Wnt signaling in kidney disease	Wnt7a
Wnt signaling in kidney disease	Wnt9b
Wnt signaling in kidney disease	Wnt10a
Homologous recombination	Mre11a
Homologous recombination	Nbn
Homologous recombination	Atm
Homologous recombination	Rad54b
Homologous recombination	Pold2
Homologous recombination	Pold1
Homologous recombination	Rad50
Homologous recombination	Brca2
Homologous recombination	Rad52
Homologous recombination	Pold4
Homologous recombination	Pold3
Homologous recombination	Rpa1
Cytokines and inflammatory response	Il10
Cytokines and inflammatory response	Il11
Cytokines and inflammatory response	H2-Eb1
Cytokines and inflammatory response	Il15
Cytokines and inflammatory response	Il13
Cytokines and inflammatory response	Il12b
Cytokines and inflammatory response	Il12a
Cytokines and inflammatory response	Tnf
Cytokines and inflammatory response	Il2
Cytokines and inflammatory response	Il4
Cytokines and inflammatory response	Il3
Cytokines and inflammatory response	Tgfb1
Cytokines and inflammatory response	Cd4
Cytokines and inflammatory response	Il6
Cytokines and inflammatory response	Il5
Cytokines and inflammatory response	Ifnb1
Cytokines and inflammatory response	Ifng
Cytokines and inflammatory response	Il7
Cytokines and inflammatory response	Pdgfa
Cytokines and inflammatory response	Cxcl1
Cytokines and inflammatory response	Cxcl3
Cytokines and inflammatory response	Il1a
Cytokines and inflammatory response	Ifna1
Cytokines and inflammatory response	Il1b
Cytokines and inflammatory response	Csf1
Cytokines and inflammatory response	Csf2
Cytokines and inflammatory response	Csf3
p53 signaling	Rrm2b
p53 signaling	Ccne2
p53 signaling	Zmat3
p53 signaling	Bbc3
p53 signaling	Ddb2
p53 signaling	Serpinb5
p53 signaling	Cdkn2a
p53 signaling	Shisa5
p53 signaling	Ccnb2
p53 signaling	Ccnb3
p53 signaling	Ccnb1
p53 signaling	Cd82
p53 signaling	Ei24
p53 signaling	Cycs
p53 signaling	Cyct
p53 signaling	Tsc2
p53 signaling	Apaf1
p53 signaling	Perp
p53 signaling	Pmaip1
p53 signaling	Siah1b
p53 signaling	Serpine1
p53 signaling	Siah1a
p53 signaling	Trp73
p53 signaling	Thbs1
p53 signaling	Rprm
p53 signaling	Gadd45g
p53 signaling	Sesn2
p53 signaling	Sesn1
p53 signaling	Ccng1
p53 signaling	Chek1
p53 signaling	Ccng2
p53 signaling	Chek2
p53 signaling	Sesn3
p53 signaling	Gadd45b
p53 signaling	Gadd45a
p53 signaling	Igfbp3
p53 signaling	Steap3
p53 signaling	Sfn
p53 signaling	Bid
p53 signaling	Casp8
p53 signaling	Pidd1
p53 signaling	Adgrb1
p53 signaling	Ccnd2
p53 signaling	Ccnd3
p53 signaling	Rrm2
p53 signaling	Casp9
p53 signaling	Casp3
p53 signaling	Trp53
p53 signaling	Ccnd1
p53 signaling	Igf1
p53 signaling	Pten
p53 signaling	Gtse1
p53 signaling	Cdk6
p53 signaling	Cdk2
p53 signaling	Bax
p53 signaling	Cdk1
p53 signaling	Fas
p53 signaling	Mdm4
p53 signaling	Ppm1d
p53 signaling	Cdkn1a
p53 signaling	Atr
p53 signaling	Atm
p53 signaling	Ccne1
Tyrobp causal network in microglia	Adap2
Tyrobp causal network in microglia	Ncf2
Tyrobp causal network in microglia	Il18
Tyrobp causal network in microglia	Itgax
Tyrobp causal network in microglia	Sft2d2
Tyrobp causal network in microglia	Cytl1
Tyrobp causal network in microglia	Tnfrsf1b
Tyrobp causal network in microglia	Tmem106a
Tyrobp causal network in microglia	Itgam
Tyrobp causal network in microglia	Rgs1
Tyrobp causal network in microglia	Lyl1
Tyrobp causal network in microglia	Dpyd
Tyrobp causal network in microglia	Il13ra1
Tyrobp causal network in microglia	Cd84
Tyrobp causal network in microglia	Gpx1
Tyrobp causal network in microglia	Nckap1l
Tyrobp causal network in microglia	Hcls1
Tyrobp causal network in microglia	Kcne3
Tyrobp causal network in microglia	Abcc4
Tyrobp causal network in microglia	Maf
Tyrobp causal network in microglia	Bin2
Tyrobp causal network in microglia	Npc2
Tyrobp causal network in microglia	Elf4
Tyrobp causal network in microglia	Lhfpl2
Tyrobp causal network in microglia	Rps6ka1
Tyrobp causal network in microglia	Itgb2
Tyrobp causal network in microglia	Cd37
Tyrobp causal network in microglia	Samsn1
Tyrobp causal network in microglia	Tyrobp
Tyrobp causal network in microglia	Creb3l2
Tyrobp causal network in microglia	Ppp1r18
Tyrobp causal network in microglia	Il10ra
Tyrobp causal network in microglia	Zfp36l2
Tyrobp causal network in microglia	Apbb1ip
Tyrobp causal network in microglia	C3
Tyrobp causal network in microglia	Rbm47
Tyrobp causal network in microglia	Fkbp15
Tyrobp causal network in microglia	Hlx
Tyrobp causal network in microglia	Rnase6
Tyrobp causal network in microglia	Tcirg1
Tyrobp causal network in microglia	Spp1
Tyrobp causal network in microglia	Slc1a5
Tyrobp causal network in microglia	Runx3
Tyrobp causal network in microglia	Loxl3
Tyrobp causal network in microglia	Gapt
Tyrobp causal network in microglia	Slc7a7
Tyrobp causal network in microglia	Pycard
Tyrobp causal network in microglia	Plek
Tyrobp causal network in microglia	Capg
Tyrobp causal network in microglia	Sh2b3
Tyrobp causal network in microglia	Igsf6
Tyrobp causal network in microglia	Cd4
Tyrobp causal network in microglia	Stat5a
Tyrobp causal network in microglia	Nrros
Tyrobp causal network in microglia	Gal3st4
