pathway	feature_ids
FATTY ACID ACTIVATION	ACSBG2
FATTY ACID ACTIVATION	ACSL5
FATTY ACID ACTIVATION	ACSL6
FATTY ACID ACTIVATION	ACSBG1
FATTY ACID ACTIVATION	ACSL1
FATTY ACID ACTIVATION	ACSL3
FATTY ACID ACTIVATION	ACSL4
FATTY ACID ACTIVATION	COPS5
FATTY ACID ACTIVATION	TRRAP
FATTY ACID ACTIVATION	PGRMC1
FATTY ACID ACTIVATION	TRIM38
FATTY ACID ACTIVATION	NDC80
FATTY ACID ACTIVATION	POLR3A
FATTY ACID ACTIVATION	PHYH
FATTY ACID ACTIVATION	PGRMC2
FATTY ACID ACTIVATION	CREB3
FATTY ACID ACTIVATION	COQ9
FATTY ACID ACTIVATION	PDE9A
FATTY ACID ACTIVATION	RTN3
FATTY ACID ACTIVATION	ZBED1
FATTY ACID ACTIVATION	CYB5R3
FATTY ACID ACTIVATION	GPI
FATTY ACID ACTIVATION	EPHX1
FATTY ACID ACTIVATION	HNRNPC
FATTY ACID ACTIVATION	CYP3A4
FATTY ACID ACTIVATION	UBC
FATTY ACID ACTIVATION	HSPA1B
FATTY ACID ACTIVATION	HSPA8
FATTY ACID ACTIVATION	SLC2A4
FATTY ACID ACTIVATION	HSPA6
FATTY ACID ACTIVATION	CYP3A5
FATTY ACID ACTIVATION	TAF1
FATTY ACID ACTIVATION	PAICS
FATTY ACID ACTIVATION	RRM1
FATTY ACID ACTIVATION	CYP3A7
FATTY ACID ACTIVATION	HSD11B1
FATTY ACID ACTIVATION	FMO4
FATTY ACID ACTIVATION	FMO3
FATTY ACID ACTIVATION	HSPA1L
FATTY ACID ACTIVATION	CBS
FATTY ACID ACTIVATION	ATP6V1A
FATTY ACID ACTIVATION	FMO5
FATTY ACID ACTIVATION	NT5C2
FATTY ACID ACTIVATION	BCAP31
FATTY ACID ACTIVATION	KIF11
FATTY ACID ACTIVATION	HSPA2
FATTY ACID ACTIVATION	CALCOCO2
FATTY ACID ACTIVATION	IKZF1
FATTY ACID ACTIVATION	ARL6IP1
FATTY ACID ACTIVATION	LRRK2
FATTY ACID ACTIVATION	CYB5R2
FATTY ACID ACTIVATION	SIAH1
FATTY ACID ACTIVATION	BEND7
FATTY ACID ACTIVATION	ZBTB8A
FATTY ACID ACTIVATION	FAM136A
FATTY ACID ACTIVATION	RPGRIP1
FATTY ACID ACTIVATION	CYP3A43
FATTY ACID ACTIVATION	DMAP1
FATTY ACID ACTIVATION	MED4
FATTY ACID ACTIVATION	RABAC1
FATTY ACID ACTIVATION	ZNF16
FATTY ACID ACTIVATION	APP
FATTY ACID ACTIVATION	GSK3B
FATTY ACID ACTIVATION	CALM1
FATTY ACID ACTIVATION	SUMO2
FATTY ACID ACTIVATION	NMES1
FATTY ACID ACTIVATION	ECT2
FATTY ACID ACTIVATION	NDUFA4
FATTY ACID ACTIVATION	UBD
FATTY ACID ACTIVATION	PARK2
FATTY ACID ACTIVATION	NTRK1
FATTY ACID ACTIVATION	NR3C2
FATTY ACID ACTIVATION	ATP4A
FATTY ACID ACTIVATION	POLR1A
FATTY ACID ACTIVATION	ESRRB
FATTY ACID ACTIVATION	HSPA4L
FATTY ACID ACTIVATION	STAU1
FATTY ACID ACTIVATION	ALDH1A1
FATTY ACID ACTIVATION	OTC
FATTY ACID ACTIVATION	EGFR
FATTY ACID ACTIVATION	HMGCR
FATTY ACID ACTIVATION	TUBB4A
FATTY ACID ACTIVATION	GAPDH
FATTY ACID ACTIVATION	ERBB2
FATTY ACID ACTIVATION	HIST1H2AB
FATTY ACID ACTIVATION	ALDH2
FATTY ACID ACTIVATION	SLC25A5
FATTY ACID ACTIVATION	JUN
FATTY ACID ACTIVATION	ATP5B
FATTY ACID ACTIVATION	EIF4E
FATTY ACID ACTIVATION	PYGL
FATTY ACID ACTIVATION	P4HB
FATTY ACID ACTIVATION	TUBB
FATTY ACID ACTIVATION	BPGM
FATTY ACID ACTIVATION	HSP90AA1
FATTY ACID ACTIVATION	GALT
FATTY ACID ACTIVATION	YES1
FATTY ACID ACTIVATION	LYN
FATTY ACID ACTIVATION	PFKM
FATTY ACID ACTIVATION	HSP90AB1
FATTY ACID ACTIVATION	PDHA1
FATTY ACID ACTIVATION	RPSA
FATTY ACID ACTIVATION	ENO2
FATTY ACID ACTIVATION	DLD
FATTY ACID ACTIVATION	H2AFZ
FATTY ACID ACTIVATION	HIST1H2AG
FATTY ACID ACTIVATION	H2AFB1
FATTY ACID ACTIVATION	H2AFB2
FATTY ACID ACTIVATION	HSPA1A
FATTY ACID ACTIVATION	DLAT
FATTY ACID ACTIVATION	HSPD1
FATTY ACID ACTIVATION	HSPA5
FATTY ACID ACTIVATION	PYGB
FATTY ACID ACTIVATION	PYGM
FATTY ACID ACTIVATION	TOP2A
FATTY ACID ACTIVATION	PC
FATTY ACID ACTIVATION	PABPC1
FATTY ACID ACTIVATION	SLC25A4
FATTY ACID ACTIVATION	SLC25A6
FATTY ACID ACTIVATION	TPR
FATTY ACID ACTIVATION	EEF2
FATTY ACID ACTIVATION	PDIA4
FATTY ACID ACTIVATION	LCP1
FATTY ACID ACTIVATION	PLS3
FATTY ACID ACTIVATION	ENO3
FATTY ACID ACTIVATION	GTF2F2
FATTY ACID ACTIVATION	DARS
FATTY ACID ACTIVATION	PGAM2
FATTY ACID ACTIVATION	ATP6V1B1
FATTY ACID ACTIVATION	H2AFX
FATTY ACID ACTIVATION	PPP3CB
FATTY ACID ACTIVATION	CTPS1
FATTY ACID ACTIVATION	PFKL
FATTY ACID ACTIVATION	PSMC3
FATTY ACID ACTIVATION	PGAM1
FATTY ACID ACTIVATION	RCC1
FATTY ACID ACTIVATION	GNAT2
FATTY ACID ACTIVATION	HK1
FATTY ACID ACTIVATION	EIF2S2
FATTY ACID ACTIVATION	SDS
FATTY ACID ACTIVATION	HIST1H2AD
FATTY ACID ACTIVATION	ATP6V1B2
FATTY ACID ACTIVATION	GART
FATTY ACID ACTIVATION	FECH
FATTY ACID ACTIVATION	ME2
FATTY ACID ACTIVATION	AHCY
FATTY ACID ACTIVATION	ATP5A1
FATTY ACID ACTIVATION	DDX6
FATTY ACID ACTIVATION	VARS
FATTY ACID ACTIVATION	EEF1G
FATTY ACID ACTIVATION	CAD
FATTY ACID ACTIVATION	CANX
FATTY ACID ACTIVATION	PDHA2
FATTY ACID ACTIVATION	PDIA3
FATTY ACID ACTIVATION	NMT1
FATTY ACID ACTIVATION	ALDH1B1
FATTY ACID ACTIVATION	POLR2B
FATTY ACID ACTIVATION	MAPK4
FATTY ACID ACTIVATION	MAT2A
FATTY ACID ACTIVATION	RRM2
FATTY ACID ACTIVATION	DNAJA1
FATTY ACID ACTIVATION	PYCR1
FATTY ACID ACTIVATION	HSPA4
FATTY ACID ACTIVATION	RFC4
FATTY ACID ACTIVATION	GCK
FATTY ACID ACTIVATION	COPB2
FATTY ACID ACTIVATION	ATP5C1
FATTY ACID ACTIVATION	PGM1
FATTY ACID ACTIVATION	DLST
FATTY ACID ACTIVATION	HSPA9
FATTY ACID ACTIVATION	CCT6A
FATTY ACID ACTIVATION	MDH2
FATTY ACID ACTIVATION	EIF2S3
FATTY ACID ACTIVATION	RANBP1
FATTY ACID ACTIVATION	PSMC4
FATTY ACID ACTIVATION	ALDH1A3
FATTY ACID ACTIVATION	PPP3CC
FATTY ACID ACTIVATION	CSNK1D
FATTY ACID ACTIVATION	MCM2
FATTY ACID ACTIVATION	EIF2B2
FATTY ACID ACTIVATION	IDH3A
FATTY ACID ACTIVATION	CCT8
FATTY ACID ACTIVATION	IDH3G
FATTY ACID ACTIVATION	PSMD7
FATTY ACID ACTIVATION	CLTCL1
FATTY ACID ACTIVATION	PRKAA2
FATTY ACID ACTIVATION	PSMD4
FATTY ACID ACTIVATION	CSE1L
FATTY ACID ACTIVATION	VCP
FATTY ACID ACTIVATION	ADK
FATTY ACID ACTIVATION	SUMO3
FATTY ACID ACTIVATION	ACTB
FATTY ACID ACTIVATION	EIF4A1
FATTY ACID ACTIVATION	RAB8A
FATTY ACID ACTIVATION	RAB10
FATTY ACID ACTIVATION	ACTR2
FATTY ACID ACTIVATION	YWHAE
FATTY ACID ACTIVATION	PSMC6
FATTY ACID ACTIVATION	ACTA2
FATTY ACID ACTIVATION	HIST1H4A
FATTY ACID ACTIVATION	RAB1A
FATTY ACID ACTIVATION	RAN
FATTY ACID ACTIVATION	RBX1
FATTY ACID ACTIVATION	RPS27A
FATTY ACID ACTIVATION	UBA52
FATTY ACID ACTIVATION	SUMO1
FATTY ACID ACTIVATION	SKP1
FATTY ACID ACTIVATION	EIF5A
FATTY ACID ACTIVATION	ACTG1
FATTY ACID ACTIVATION	ACTG2
FATTY ACID ACTIVATION	ACTC1
FATTY ACID ACTIVATION	EEF1A1
FATTY ACID ACTIVATION	ACTA1
FATTY ACID ACTIVATION	TUBA1B
FATTY ACID ACTIVATION	TUBA4A
FATTY ACID ACTIVATION	TUBB4B
FATTY ACID ACTIVATION	HIST1H3A
FATTY ACID ACTIVATION	H3F3A
FATTY ACID ACTIVATION	MAT1A
FATTY ACID ACTIVATION	SLC25A3
FATTY ACID ACTIVATION	CLTC
FATTY ACID ACTIVATION	REEP5
FATTY ACID ACTIVATION	GALK2
FATTY ACID ACTIVATION	PFKP
FATTY ACID ACTIVATION	OGDH
FATTY ACID ACTIVATION	TOP2B
FATTY ACID ACTIVATION	EEF1A2
FATTY ACID ACTIVATION	GFPT1
FATTY ACID ACTIVATION	PPP3CA
FATTY ACID ACTIVATION	PPID
FATTY ACID ACTIVATION	ACACA
FATTY ACID ACTIVATION	EIF2B5
FATTY ACID ACTIVATION	PSMD2
FATTY ACID ACTIVATION	PABPC4
FATTY ACID ACTIVATION	TUBB3
FATTY ACID ACTIVATION	CUL1
FATTY ACID ACTIVATION	CUL2
FATTY ACID ACTIVATION	TUBA3C
FATTY ACID ACTIVATION	TUBB2A
FATTY ACID ACTIVATION	BYSL
FATTY ACID ACTIVATION	EIF2B1
FATTY ACID ACTIVATION	EIF4A2
FATTY ACID ACTIVATION	PLS1
FATTY ACID ACTIVATION	CUL7
FATTY ACID ACTIVATION	WDR43
FATTY ACID ACTIVATION	PGM5
FATTY ACID ACTIVATION	TAF5
FATTY ACID ACTIVATION	TAF9
FATTY ACID ACTIVATION	HIST3H3
FATTY ACID ACTIVATION	HIST2H2AC
FATTY ACID ACTIVATION	TIGD6
FATTY ACID ACTIVATION	SLC25A35
FATTY ACID ACTIVATION	TUBB8
FATTY ACID ACTIVATION	PABPC1L
FATTY ACID ACTIVATION	PYCRL
FATTY ACID ACTIVATION	NOM1
FATTY ACID ACTIVATION	PABPC1L2A
FATTY ACID ACTIVATION	FAXC
FATTY ACID ACTIVATION	RRAGB
FATTY ACID ACTIVATION	SUMO4
FATTY ACID ACTIVATION	HIST2H2AA3
FATTY ACID ACTIVATION	EIF5AL1
FATTY ACID ACTIVATION	TCTN3
FATTY ACID ACTIVATION	H3F3C
FATTY ACID ACTIVATION	SLC27A4
FATTY ACID ACTIVATION	SLC27A1
FATTY ACID ACTIVATION	TUBA3E
FATTY ACID ACTIVATION	SLC25A34
FATTY ACID ACTIVATION	VPS13C
FATTY ACID ACTIVATION	USP51
FATTY ACID ACTIVATION	HIST2H3A
FATTY ACID ACTIVATION	TUBA1A
FATTY ACID ACTIVATION	H2AFV
FATTY ACID ACTIVATION	RRAGA
FATTY ACID ACTIVATION	GET4
FATTY ACID ACTIVATION	HIST3H2A
FATTY ACID ACTIVATION	MOB1B
FATTY ACID ACTIVATION	RRM2B
FATTY ACID ACTIVATION	EVC2
FATTY ACID ACTIVATION	TMEM173
FATTY ACID ACTIVATION	TMEM17
FATTY ACID ACTIVATION	HIST2H2AB
FATTY ACID ACTIVATION	RHOT2
FATTY ACID ACTIVATION	RHOT1
FATTY ACID ACTIVATION	SPG20
FATTY ACID ACTIVATION	PGAM4
FATTY ACID ACTIVATION	GUF1
FATTY ACID ACTIVATION	SPATA5
FATTY ACID ACTIVATION	FAM63B
FATTY ACID ACTIVATION	HIPK4
FATTY ACID ACTIVATION	WDR19
FATTY ACID ACTIVATION	IPO4
FATTY ACID ACTIVATION	DNAJA4
FATTY ACID ACTIVATION	CCT6B
FATTY ACID ACTIVATION	NDRG1
FATTY ACID ACTIVATION	HSPH1
FATTY ACID ACTIVATION	GCN1
FATTY ACID ACTIVATION	KAT2B
FATTY ACID ACTIVATION	PMM1
FATTY ACID ACTIVATION	ERCC4
FATTY ACID ACTIVATION	RAB8B
FATTY ACID ACTIVATION	TNPO1
FATTY ACID ACTIVATION	HIST1H2AC
FATTY ACID ACTIVATION	SKA1
FATTY ACID ACTIVATION	PYCR2
FATTY ACID ACTIVATION	PABPC5
FATTY ACID ACTIVATION	DNAJA3
FATTY ACID ACTIVATION	WDR89
FATTY ACID ACTIVATION	SDSL
FATTY ACID ACTIVATION	TCTN2
FATTY ACID ACTIVATION	HIST1H2AH
FATTY ACID ACTIVATION	KIF20B
FATTY ACID ACTIVATION	HIST1H2AA
FATTY ACID ACTIVATION	VPS13A
FATTY ACID ACTIVATION	IFT140
FATTY ACID ACTIVATION	MMS19
FATTY ACID ACTIVATION	PSMD1
FATTY ACID ACTIVATION	HIST1H4G
FATTY ACID ACTIVATION	ACO2
FATTY ACID ACTIVATION	HIST1H2AJ
FATTY ACID ACTIVATION	AGPAT1
FATTY ACID ACTIVATION	H2AFJ
FATTY ACID ACTIVATION	DOHH
FATTY ACID ACTIVATION	TUBB6
FATTY ACID ACTIVATION	TUBB2B
FATTY ACID ACTIVATION	GTPBP4
FATTY ACID ACTIVATION	FOXP3
FATTY ACID ACTIVATION	WDR12
FATTY ACID ACTIVATION	CTDSP1
FATTY ACID ACTIVATION	EIF5A2
FATTY ACID ACTIVATION	SLC25A31
FATTY ACID ACTIVATION	RAB1B
FATTY ACID ACTIVATION	CCDC8
FATTY ACID ACTIVATION	PABPC3
FATTY ACID ACTIVATION	TUBB1
FATTY ACID ACTIVATION	MOB1A
FATTY ACID ACTIVATION	WDR76
FATTY ACID ACTIVATION	UPF2
FATTY ACID ACTIVATION	TAF9B
FATTY ACID ACTIVATION	GPN1
FATTY ACID ACTIVATION	PFDN4
FATTY ACID ACTIVATION	MYO5C
FATTY ACID ACTIVATION	EIF2B3
FATTY ACID ACTIVATION	SIRT7
FATTY ACID ACTIVATION	CTPS2
FATTY ACID ACTIVATION	RASSF1
FATTY ACID ACTIVATION	SACM1L
FATTY ACID ACTIVATION	OLA1
FATTY ACID ACTIVATION	MDN1
FATTY ACID ACTIVATION	GAR1
FATTY ACID ACTIVATION	TUBA8
FATTY ACID ACTIVATION	TMEM216
FATTY ACID ACTIVATION	LARS
FATTY ACID ACTIVATION	PISD
FATTY ACID ACTIVATION	EIF2B4
FATTY ACID ACTIVATION	MRTO4
FATTY ACID ACTIVATION	OGDHL
FATTY ACID ACTIVATION	MYO5B
FATTY ACID ACTIVATION	DIMT1
FATTY ACID ACTIVATION	PPP6R1
FATTY ACID ACTIVATION	USP22
FATTY ACID ACTIVATION	RUVBL2
FATTY ACID ACTIVATION	RUVBL1
FATTY ACID ACTIVATION	FARSA
FATTY ACID ACTIVATION	SLC27A6
FATTY ACID ACTIVATION	SLC27A5
FATTY ACID ACTIVATION	MYO5A
FATTY ACID ACTIVATION	ATP6V1D
FATTY ACID ACTIVATION	GMPPB
FATTY ACID ACTIVATION	CNOT1
FATTY ACID ACTIVATION	TUBAL3
FATTY ACID ACTIVATION	EIF4E1B
FATTY ACID ACTIVATION	PSMD12
FATTY ACID ACTIVATION	WASL
FATTY ACID ACTIVATION	PSMD14
FATTY ACID ACTIVATION	PES1
FATTY ACID ACTIVATION	PPP6C
FATTY ACID ACTIVATION	CTDSP2
FATTY ACID ACTIVATION	CHEK1
FATTY ACID ACTIVATION	TNPO2
FATTY ACID ACTIVATION	SLC27A2
FATTY ACID ACTIVATION	XPO1
FATTY ACID ACTIVATION	AGPAT2
FATTY ACID ACTIVATION	CTDSPL
FATTY ACID ACTIVATION	PMM2
FATTY ACID ACTIVATION	NVL
FATTY ACID ACTIVATION	XPOT
FATTY ACID ACTIVATION	IDH3B
FATTY ACID ACTIVATION	NMT2
FATTY ACID ACTIVATION	EIF4E2
FATTY ACID ACTIVATION	DNAJA2
FATTY ACID ACTIVATION	OBSL1
FATTY ACID ACTIVATION	CLUH
FATTY ACID ACTIVATION	PPP6R2
FATTY ACID ACTIVATION	TADA2A
FATTY ACID ACTIVATION	EED
FATTY ACID ACTIVATION	CLPX
FATTY ACID ACTIVATION	ALDH1A2
FATTY ACID ACTIVATION	GFPT2
FATTY ACID ACTIVATION	IPO7
FATTY ACID ACTIVATION	TP53
FATTY ACID ACTIVATION	YWHAQ
FATTY ACID ACTIVATION	ABCG1
FATTY ACID ACTIVATION	FOXA3
FATTY ACID ACTIVATION	FOXL2
FATTY ACID ACTIVATION	YWHAZ
