pathway	feature_ids
SUMOylation of intracellular receptors	Nr2c1
SUMOylation of intracellular receptors	Vdr
SUMOylation of intracellular receptors	Sumo3
SUMOylation of intracellular receptors	Nr1h2
SUMOylation of intracellular receptors	Rora
SUMOylation of intracellular receptors	Ppara
SUMOylation of intracellular receptors	Esr1
SUMOylation of intracellular receptors	Pparg
SUMOylation of intracellular receptors	Pias3
SUMOylation of intracellular receptors	Rxra
SUMOylation of intracellular receptors	Hdac4
SUMOylation of intracellular receptors	Rara
SUMOylation of intracellular receptors	Pgr
SUMOylation of intracellular receptors	Nr5a1
SUMOylation of intracellular receptors	Pias1
SUMOylation of intracellular receptors	Nr4a2
SUMOylation of intracellular receptors	Nr3c2
SUMOylation of intracellular receptors	Nr3c1
SUMOylation of intracellular receptors	Thrb
Glycerophospholipid biosynthesis	Slc44a3
Glycerophospholipid biosynthesis	Bche
Glycerophospholipid biosynthesis	Slc44a4
Glycerophospholipid biosynthesis	Slc44a5
Glycerophospholipid biosynthesis	Ptpmt1
Glycerophospholipid biosynthesis	Ptdss1
Glycerophospholipid biosynthesis	Slc44a1
Glycerophospholipid biosynthesis	Ptdss2
Glycerophospholipid biosynthesis	Slc44a2
Glycerophospholipid biosynthesis	Gpd1l
Glycerophospholipid biosynthesis	Plbd1
Glycerophospholipid biosynthesis	Plb1
Glycerophospholipid biosynthesis	Pisd
Glycerophospholipid biosynthesis	Pcyt1b
Glycerophospholipid biosynthesis	Pcyt1a
Glycerophospholipid biosynthesis	Pcyt2
Glycerophospholipid biosynthesis	Abhd3
Glycerophospholipid biosynthesis	Abhd4
Glycerophospholipid biosynthesis	Osbpl10
Glycerophospholipid biosynthesis	Gnpat
Glycerophospholipid biosynthesis	Lpgat1
Glycerophospholipid biosynthesis	Dgat2
Glycerophospholipid biosynthesis	Miga2
Glycerophospholipid biosynthesis	Pla2g15
Glycerophospholipid biosynthesis	Pla2g10
Glycerophospholipid biosynthesis	Mboat7
Glycerophospholipid biosynthesis	Cept1
Glycerophospholipid biosynthesis	Miga1
Glycerophospholipid biosynthesis	Dgat1
Glycerophospholipid biosynthesis	Gpd2
Glycerophospholipid biosynthesis	Gpd1
Glycerophospholipid biosynthesis	Mboat1
Glycerophospholipid biosynthesis	Mboat2
Glycerophospholipid biosynthesis	Pla2g2e
Glycerophospholipid biosynthesis	Cds1
Glycerophospholipid biosynthesis	Pla2g2d
Glycerophospholipid biosynthesis	Pla2g2f
Glycerophospholipid biosynthesis	Pitpnb
Glycerophospholipid biosynthesis	Pld4
Glycerophospholipid biosynthesis	Cpne1
Glycerophospholipid biosynthesis	Osbpl5
Glycerophospholipid biosynthesis	Cpne3
Glycerophospholipid biosynthesis	Pla1a
Glycerophospholipid biosynthesis	Pld1
Glycerophospholipid biosynthesis	Pld3
Glycerophospholipid biosynthesis	Phospho1
Glycerophospholipid biosynthesis	Osbpl8
Glycerophospholipid biosynthesis	Pgs1
Glycerophospholipid biosynthesis	Dgat2l6
Glycerophospholipid biosynthesis	Cpne6
Glycerophospholipid biosynthesis	Cpne7
Glycerophospholipid biosynthesis	Chat
Glycerophospholipid biosynthesis	Pemt
Glycerophospholipid biosynthesis	Selenoi
Glycerophospholipid biosynthesis	Pla2g1b
Glycerophospholipid biosynthesis	Pitpnm3
Glycerophospholipid biosynthesis	Pitpnm1
Glycerophospholipid biosynthesis	Pla2r1
