pathway	feature_ids
Cell engulfment_WP2226	egl-1
Cell engulfment_WP2226	psr-1
Cell engulfment_WP2226	ced-10
Cell engulfment_WP2226	ced-2
Cell engulfment_WP2226	ced-3
Cell engulfment_WP2226	ced-1
Cell engulfment_WP2226	ced-6
Cell engulfment_WP2226	ced-7
Cell engulfment_WP2226	ced-4
Cell engulfment_WP2226	ced-5
Cell engulfment_WP2226	ced-9
Proteasome Degradation_WP470	rpt-3
Proteasome Degradation_WP470	rpn-9
Proteasome Degradation_WP470	rpt-2
Proteasome Degradation_WP470	htz-1
Proteasome Degradation_WP470	rpn-8
Proteasome Degradation_WP470	rpt-1
Proteasome Degradation_WP470	rpn-7
Proteasome Degradation_WP470	rpt-6
Proteasome Degradation_WP470	rpt-5
Proteasome Degradation_WP470	rpt-4
Proteasome Degradation_WP470	rpn-1
Proteasome Degradation_WP470	rpn-5
Proteasome Degradation_WP470	rpn-3
Proteasome Degradation_WP470	pbs-5
Proteasome Degradation_WP470	pbs-6
Proteasome Degradation_WP470	Y66D12A.9
Proteasome Degradation_WP470	rpn-12
Proteasome Degradation_WP470	ubq-1
Proteasome Degradation_WP470	pbs-1
Proteasome Degradation_WP470	rpn-10
Proteasome Degradation_WP470	pbs-3
Proteasome Degradation_WP470	pbs-4
Proteasome Degradation_WP470	ostd-1
Proteasome Degradation_WP470	sec-20
Proteasome Degradation_WP470	his-35
Proteasome Degradation_WP470	uba-1
Proteasome Degradation_WP470	pas-4
Proteasome Degradation_WP470	pas-5
Proteasome Degradation_WP470	pas-6
Proteasome Degradation_WP470	pas-7
Proteasome Degradation_WP470	rpn-6.1
Proteasome Degradation_WP470	ribo-1
Proteasome Degradation_WP470	let-70
Proteasome Degradation_WP470	pas-1
Proteasome Degradation_WP470	pas-2
Proteasome Degradation_WP470	pas-3
Valine, leucine and isoleucine degradation_WP1451	ech-1.2
Valine, leucine and isoleucine degradation_WP1451	acdh-3
Valine, leucine and isoleucine degradation_WP1451	ech-1.1
Valine, leucine and isoleucine degradation_WP1451	B0303.3
Valine, leucine and isoleucine degradation_WP1451	bckd-1A
Valine, leucine and isoleucine degradation_WP1451	acdh-7
Valine, leucine and isoleucine degradation_WP1451	bckd-1B
Valine, leucine and isoleucine degradation_WP1451	Y44A6D.5
Valine, leucine and isoleucine degradation_WP1451	Y71G12B.10
Valine, leucine and isoleucine degradation_WP1451	pcca-1
Valine, leucine and isoleucine degradation_WP1451	pccb-1
Valine, leucine and isoleucine degradation_WP1451	dbt-1
Valine, leucine and isoleucine degradation_WP1451	acdh-10
Valine, leucine and isoleucine degradation_WP1451	acdh-8
Valine, leucine and isoleucine degradation_WP1451	T02G5.7
Valine, leucine and isoleucine degradation_WP1451	ard-1
Valine, leucine and isoleucine degradation_WP1451	B0272.3
Valine, leucine and isoleucine degradation_WP1451	acaa-2
Valine, leucine and isoleucine degradation_WP1451	hacd-1
Valine, leucine and isoleucine degradation_WP1451	ivd-1
Valine, leucine and isoleucine degradation_WP1451	ech-9
Valine, leucine and isoleucine degradation_WP1451	ech-8
Valine, leucine and isoleucine degradation_WP1451	ech-5
Valine, leucine and isoleucine degradation_WP1451	bcat-1
Valine, leucine and isoleucine degradation_WP1451	ech-7
Valine, leucine and isoleucine degradation_WP1451	ech-6
Valine, leucine and isoleucine degradation_WP1451	C05C10.3
Valine, leucine and isoleucine degradation_WP1451	kat-1
Valine, leucine and isoleucine degradation_WP1451	ech-3
Valine, leucine and isoleucine degradation_WP1451	ech-2
Valine, leucine and isoleucine degradation_WP1451	acds-10
Valine, leucine and isoleucine degradation_WP1451	F54C8.1
Triacylglyceride Synthesis_WP212	plpp-1.1
Triacylglyceride Synthesis_WP212	Y53G8B.2
Triacylglyceride Synthesis_WP212	atgl-1
Triacylglyceride Synthesis_WP212	acl-11
Triacylglyceride Synthesis_WP212	hosl-1
Triacylglyceride Synthesis_WP212	acl-2
Triacylglyceride Synthesis_WP212	gpdh-2
Triacylglyceride Synthesis_WP212	R11F4.1
Triacylglyceride Synthesis_WP212	ads-1
Triacylglyceride Synthesis_WP212	acl-7
Triacylglyceride Synthesis_WP212	gly-14
Triacylglyceride Synthesis_WP212	acl-6
Triacylglyceride Synthesis_WP212	gly-20
Triacylglyceride Synthesis_WP212	lipl-1
Fatty Acid Biosynthesis_WP38	acaa-2
Fatty Acid Biosynthesis_WP38	fasn-1
Fatty Acid Biosynthesis_WP38	F53C11.3
Fatty Acid Biosynthesis_WP38	fat-5
Fatty Acid Biosynthesis_WP38	Y25C1A.13
Fatty Acid Biosynthesis_WP38	acs-19
Fatty Acid Biosynthesis_WP38	ech-6
Fatty Acid Biosynthesis_WP38	acs-17
Fatty Acid Biosynthesis_WP38	acs-4
Fatty Acid Biosynthesis_WP38	ech-2
Fatty Acid Biosynthesis_WP38	acs-13
Fatty Acid Biosynthesis_WP38	mecr-1
Fatty Acid Biosynthesis_WP38	C32E8.9
Fatty Acid Biosynthesis_WP38	F54C8.1
Fatty Acid Biosynthesis_WP38	acly-1
Fatty Acid Biosynthesis_WP38	pyc-1
Wnt Signaling - Q neuroblast migration_WP2888	mig-14
Wnt Signaling - Q neuroblast migration_WP2888	bar-1
Wnt Signaling - Q neuroblast migration_WP2888	lin-17
Wnt Signaling - Q neuroblast migration_WP2888	pry-1
Wnt Signaling - Q neuroblast migration_WP2888	egl-20
Wnt Signaling - Q neuroblast migration_WP2888	mab-5
Wnt Signaling - Q neuroblast migration_WP2888	mig-1
Metapathway Signal Transduction_WP1546	rps-6
Metapathway Signal Transduction_WP1546	pmk-1
Metapathway Signal Transduction_WP1546	pmk-3
Metapathway Signal Transduction_WP1546	pmk-2
Metapathway Signal Transduction_WP1546	sos-1
Metapathway Signal Transduction_WP1546	cwn-2
Metapathway Signal Transduction_WP1546	aph-2
Metapathway Signal Transduction_WP1546	aph-1
Metapathway Signal Transduction_WP1546	cwn-1
Metapathway Signal Transduction_WP1546	lin-45
Metapathway Signal Transduction_WP1546	sgk-1
Metapathway Signal Transduction_WP1546	lin-44
Metapathway Signal Transduction_WP1546	sel-8
Metapathway Signal Transduction_WP1546	daf-18
Metapathway Signal Transduction_WP1546	hop-1
Metapathway Signal Transduction_WP1546	mkk-4
Metapathway Signal Transduction_WP1546	daf-16
Metapathway Signal Transduction_WP1546	mlst-8
Metapathway Signal Transduction_WP1546	mom-4
Metapathway Signal Transduction_WP1546	mom-5
Metapathway Signal Transduction_WP1546	rheb-1
Metapathway Signal Transduction_WP1546	apx-1
Metapathway Signal Transduction_WP1546	daf-14
Metapathway Signal Transduction_WP1546	daf-15
Metapathway Signal Transduction_WP1546	daf-12
Metapathway Signal Transduction_WP1546	lin-3
Metapathway Signal Transduction_WP1546	egl-20
Metapathway Signal Transduction_WP1546	tap-1
Metapathway Signal Transduction_WP1546	mom-1
Metapathway Signal Transduction_WP1546	mom-2
Metapathway Signal Transduction_WP1546	let-23
Metapathway Signal Transduction_WP1546	sfrp-1
Metapathway Signal Transduction_WP1546	akt-1
Metapathway Signal Transduction_WP1546	tig-3
Metapathway Signal Transduction_WP1546	lin-17
Metapathway Signal Transduction_WP1546	tig-2
Metapathway Signal Transduction_WP1546	akt-2
nsy-1	ksr-1
nsy-1	dlk-1
nsy-1	ksr-2
nsy-1	sek-1
nsy-1	lin-23
nsy-1	dbl-1
nsy-1	mig-5
nsy-1	sinh-1
nsy-1	sel-12
nsy-1	let-363
nsy-1	adm-4
nsy-1	let-756
nsy-1	lin-31
nsy-1	par-1
nsy-1	mig-1
nsy-1	unc-129
nsy-1	unc-43
nsy-1	bar-1
nsy-1	age-1
nsy-1	dsh-2
nsy-1	jkk-1
nsy-1	pop-1
nsy-1	dsh-1
nsy-1	tag-68
nsy-1	unc-51
nsy-1	daf-3
nsy-1	daf-4
nsy-1	daf-1
nsy-1	pdk-1
nsy-1	jnk-1
nsy-1	daf-2
nsy-1	unc-37
nsy-1	apr-1
nsy-1	tir-1
nsy-1	lit-1
nsy-1	lin-12
nsy-1	daf-7
nsy-1	daf-8
nsy-1	daf-5
gcs-1	pen-2
gcs-1	sup-17
gcs-1	sma-6
gcs-1	lag-2
gcs-1	lag-1
gcs-1	lrp-1
gcs-1	sma-4
gcs-1	sma-3
gcs-1	sma-2
gcs-1	egl-15
gcs-1	sma-9
gcs-1	rict-1
gcs-1	mpk-2
gcs-1	cfz-2
gcs-1	let-60
gcs-1	egl-17
gcs-1	mpk-1
gcs-1	skn-1
gcs-1	hif-1
gcs-1	hmp-2
gcs-1	rsks-1
gcs-1	pry-1
gcs-1	sem-5
gcs-1	glp-1
gcs-1	kin-19
gcs-1	dsl-1
gcs-1	wrm-1
gcs-1	mek-2
gcs-1	mek-1
Mitochondrial LC-Fatty Acid Beta-Oxidation_WP448	acs-4
Mitochondrial LC-Fatty Acid Beta-Oxidation_WP448	ech-1.2
Mitochondrial LC-Fatty Acid Beta-Oxidation_WP448	acs-13
Mitochondrial LC-Fatty Acid Beta-Oxidation_WP448	dif-1
Mitochondrial LC-Fatty Acid Beta-Oxidation_WP448	daf-22
Mitochondrial LC-Fatty Acid Beta-Oxidation_WP448	acdh-12
Mitochondrial LC-Fatty Acid Beta-Oxidation_WP448	cpt-2
Mitochondrial LC-Fatty Acid Beta-Oxidation_WP448	cpt-1
Mitochondrial LC-Fatty Acid Beta-Oxidation_WP448	F54C8.1
Mitochondrial LC-Fatty Acid Beta-Oxidation_WP448	acs-17
Sulfide oxidation pathway_WP2235	hif-1
Sulfide oxidation pathway_WP2235	ethe-1
Sulfide oxidation pathway_WP2235	sqrd-1
Sulfide oxidation pathway_WP2235	cysl-1
Sulfide oxidation pathway_WP2235	cysl-2
Left/Right Asymmetry in the Nervous System_WP2229	srsx-3
Left/Right Asymmetry in the Nervous System_WP2229	inx-19
