pathway	feature_ids
Glycolysis and Gluconeogenesis_WP144	CG11876
Glycolysis and Gluconeogenesis_WP144	Got2
Glycolysis and Gluconeogenesis_WP144	Mdh2
Glycolysis and Gluconeogenesis_WP144	CG10924
Glycolysis and Gluconeogenesis_WP144	ImpL3
Glycolysis and Gluconeogenesis_WP144	Got1
Glycolysis and Gluconeogenesis_WP144	Pglym87
Glycolysis and Gluconeogenesis_WP144	Hex-t2
Glycolysis and Gluconeogenesis_WP144	PCB
Glycolysis and Gluconeogenesis_WP144	Pgi
Glycolysis and Gluconeogenesis_WP144	Pgk
Glycolysis and Gluconeogenesis_WP144	fbp
Glycolysis and Gluconeogenesis_WP144	Ald
Glycolysis and Gluconeogenesis_WP144	muc
Glycolysis and Gluconeogenesis_WP144	PyK
Glycolysis and Gluconeogenesis_WP144	l(1)G0334
Glycolysis and Gluconeogenesis_WP144	Eno
Glycolysis and Gluconeogenesis_WP144	Hex-A
Glycolysis and Gluconeogenesis_WP144	Pglym78
Glycolysis and Gluconeogenesis_WP144	CG7430
Glycolysis and Gluconeogenesis_WP144	Tpi
Glycolysis and Gluconeogenesis_WP144	Pfk
Glycolysis and Gluconeogenesis_WP144	Hex-C
Glycolysis and Gluconeogenesis_WP144	Mdh1
Homologous Recombination_WP1205	CG12018
Homologous Recombination_WP1205	okr
Homologous Recombination_WP1205	tefu
Homologous Recombination_WP1205	mre11
Homologous Recombination_WP1205	rad50
Homologous Recombination_WP1205	spn-A
Mitochondrial LC-Fatty Acid Beta-Oxidation_WP406	ScpX
Mitochondrial LC-Fatty Acid Beta-Oxidation_WP406	CG3961
Mitochondrial LC-Fatty Acid Beta-Oxidation_WP406	Mtpalpha
Mitochondrial LC-Fatty Acid Beta-Oxidation_WP406	whd
Mitochondrial LC-Fatty Acid Beta-Oxidation_WP406	CPT2
Mitochondrial LC-Fatty Acid Beta-Oxidation_WP406	Acsl
Mitochondrial LC-Fatty Acid Beta-Oxidation_WP406	CG4598
Mitochondrial LC-Fatty Acid Beta-Oxidation_WP406	Arc42
Mitochondrial LC-Fatty Acid Beta-Oxidation_WP406	CG12262
Mitochondrial LC-Fatty Acid Beta-Oxidation_WP406	CG7461
Mitochondrial LC-Fatty Acid Beta-Oxidation_WP406	colt
Heme Biosynthesis_WP269	FeCH
Heme Biosynthesis_WP269	CG1885
Heme Biosynthesis_WP269	Coprox
Heme Biosynthesis_WP269	Alas
Heme Biosynthesis_WP269	l(3)02640
Heme Biosynthesis_WP269	Pbgs
Heme Biosynthesis_WP269	Updo
Heme Biosynthesis_WP269	Ppox
Hedgehog Signaling Pathway_WP492	Rab23
Hedgehog Signaling Pathway_WP492	CycB
Hedgehog Signaling Pathway_WP492	ci
Hedgehog Signaling Pathway_WP492	smo
Hedgehog Signaling Pathway_WP492	Su(fu)
Hedgehog Signaling Pathway_WP492	Bin1
Hedgehog Signaling Pathway_WP492	Sin3A
Hedgehog Signaling Pathway_WP492	Cdk1
Hedgehog Signaling Pathway_WP492	hh
Hedgehog Signaling Pathway_WP492	ptc
One Carbon Metabolism_WP1203	CG34424
One Carbon Metabolism_WP1203	pug
One Carbon Metabolism_WP1203	Ahcy
One Carbon Metabolism_WP1203	Nmdmc
One Carbon Metabolism_WP1203	Dhfr
One Carbon Metabolism_WP1203	CG1750
One Carbon Metabolism_WP1203	AhcyL1
One Carbon Metabolism_WP1203	CG6415
One Carbon Metabolism_WP1203	Shmt
One Carbon Metabolism_WP1203	ade3
One Carbon Metabolism_WP1203	Ts
One Carbon Metabolism_WP1203	CG11089
TCA Cycle_WP551	l(1)G0156
TCA Cycle_WP551	l(1)G0255
TCA Cycle_WP551	CG11876
TCA Cycle_WP551	l(1)G0334
TCA Cycle_WP551	Mdh2
TCA Cycle_WP551	Sucb
TCA Cycle_WP551	Idh3b
TCA Cycle_WP551	CG7430
TCA Cycle_WP551	Scsalpha
TCA Cycle_WP551	SdhC
TCA Cycle_WP551	SdhB
TCA Cycle_WP551	SdhA
TCA Cycle_WP551	PCB
TCA Cycle_WP551	CG5028
TCA Cycle_WP551	skap
TCA Cycle_WP551	CG5214
TCA Cycle_WP551	kdn
TCA Cycle_WP551	Nc73EF
TCA Cycle_WP551	Pdk
TCA Cycle_WP551	Pdp
TCA Cycle_WP551	Mdh1
TCA Cycle_WP551	muc
TCA Cycle_WP551	Acon
Equilibrium Signalling Pathway of Differentiated Cells_WP3653	Nup98-96
