pathway	feature_ids
VEGFR 3 signaling	Vegfd
VEGFR 3 signaling	Vegfc
VEGFR 3 signaling	Casp9
VEGFR 3 signaling	Bad
VEGFR 3 signaling	Shc1
VEGFR 3 signaling	Nos3
VEGFR 3 signaling	Itpkc
VEGFR 3 signaling	Flt4
VEGFR 3 signaling	Mapk1
VEGFR 3 signaling	Plcg1
VEGFR 3 signaling	Mapk3
VEGFR 3 signaling	Akt1
VEGFR 3 signaling	Pik3cg
VEGFR 3 signaling	Grb2
Integrin mediated cell adhesion	Mapk7
Integrin mediated cell adhesion	Ilk
Integrin mediated cell adhesion	rCG_48194
Integrin mediated cell adhesion	Braf
Integrin mediated cell adhesion	Mapk4
Integrin mediated cell adhesion	Itgam
Integrin mediated cell adhesion	Pdpk1
Integrin mediated cell adhesion	Akt3
Integrin mediated cell adhesion	Akt2
Integrin mediated cell adhesion	Rac2
Integrin mediated cell adhesion	Itgae
Integrin mediated cell adhesion	rCG_51808
Integrin mediated cell adhesion	Rac1
Integrin mediated cell adhesion	Itgal
Integrin mediated cell adhesion	Vav3
Integrin mediated cell adhesion	Rap1b
Integrin mediated cell adhesion	Selenop
Integrin mediated cell adhesion	Itgad
Integrin mediated cell adhesion	Itgb6
Integrin mediated cell adhesion	Vav2
Integrin mediated cell adhesion	Itga2b
Integrin mediated cell adhesion	Itgb1
Integrin mediated cell adhesion	Mylk2
Integrin mediated cell adhesion	Itgb4
Integrin mediated cell adhesion	Itgb5
Integrin mediated cell adhesion	Itgb2
Integrin mediated cell adhesion	Itgb3
Integrin mediated cell adhesion	Tln1
Integrin mediated cell adhesion	Raf1
Integrin mediated cell adhesion	Crk
Integrin mediated cell adhesion	Sos1
Integrin mediated cell adhesion	Pik3r2
Integrin mediated cell adhesion	Vcl
Integrin mediated cell adhesion	Vasp
Integrin mediated cell adhesion	Arhgef7
Integrin mediated cell adhesion	Shc3
Integrin mediated cell adhesion	Src
Integrin mediated cell adhesion	Itga8
Integrin mediated cell adhesion	Itga6
Integrin mediated cell adhesion	Map2k6
Integrin mediated cell adhesion	Bcar1
Integrin mediated cell adhesion	Pak1
Integrin mediated cell adhesion	Itga3
Integrin mediated cell adhesion	Itga4
Integrin mediated cell adhesion	Itga1
Integrin mediated cell adhesion	Itga2
Integrin mediated cell adhesion	Rho
Integrin mediated cell adhesion	Pak6
Integrin mediated cell adhesion	Fyn
Integrin mediated cell adhesion	Pak3
Integrin mediated cell adhesion	Pak2
Integrin mediated cell adhesion	Pak4
Integrin mediated cell adhesion	Cdc42
Integrin mediated cell adhesion	Mapk12
Integrin mediated cell adhesion	Capn9
Integrin mediated cell adhesion	Git2
Integrin mediated cell adhesion	Cav3
Integrin mediated cell adhesion	Capn5
Integrin mediated cell adhesion	Cav2
Integrin mediated cell adhesion	Cav1
Integrin mediated cell adhesion	Capn7
Integrin mediated cell adhesion	Capn6
Integrin mediated cell adhesion	Capn1
Integrin mediated cell adhesion	Capn3
Integrin mediated cell adhesion	Capn2
Integrin mediated cell adhesion	Ptk2
Integrin mediated cell adhesion	Map2k3
Integrin mediated cell adhesion	Map2k2
Integrin mediated cell adhesion	Map2k1
Integrin mediated cell adhesion	Capns1
Integrin mediated cell adhesion	Rock2
Integrin mediated cell adhesion	Mapk10
Integrin mediated cell adhesion	Shc1
Integrin mediated cell adhesion	Mapk1
Integrin mediated cell adhesion	Akt1
Integrin mediated cell adhesion	Grb2
Inflammatory response pathway	Cxhxorf65
Inflammatory response pathway	Il2ra
Inflammatory response pathway	Il2rb
Inflammatory response pathway	Il2
Inflammatory response pathway	Il4
Inflammatory response pathway	Vtn
Inflammatory response pathway	Tnfrsf1a
Inflammatory response pathway	Il5
Inflammatory response pathway	Ifng
Inflammatory response pathway	Cd40lg
Inflammatory response pathway	Lamb1
Inflammatory response pathway	Cd86
Inflammatory response pathway	Col1a2
Inflammatory response pathway	Cd40
Inflammatory response pathway	Col1a1
Inflammatory response pathway	Cd80
Inflammatory response pathway	rCG_31387
Inflammatory response pathway	Lama5
Inflammatory response pathway	Il2rg
Inflammatory response pathway	Lck
Inflammatory response pathway	Il4ra
Inflammatory response pathway	Il5ra
Inflammatory response pathway	Lamc1
Inflammatory response pathway	Lamc2
Inflammatory response pathway	Thbs1
Relationship between glutathione and NADPH	Gsn
Relationship between glutathione and NADPH	Tfrc
Relationship between glutathione and NADPH	Casp3
Relationship between glutathione and NADPH	Gss
Relationship between glutathione and NADPH	Gsr
Relationship between glutathione and NADPH	Anpep
Relationship between glutathione and NADPH	Kif1b
Relationship between glutathione and NADPH	Pgm1_predicted
Relationship between glutathione and NADPH	Gck
Relationship between glutathione and NADPH	Abcc1
Relationship between glutathione and NADPH	Tfr2
Relationship between glutathione and NADPH	Gstp1
Relationship between glutathione and NADPH	Bax
Relationship between glutathione and NADPH	Fas
Relationship between glutathione and NADPH	Pgls
Relationship between glutathione and NADPH	Cdkn1a
Relationship between glutathione and NADPH	Tkt
Relationship between glutathione and NADPH	Dffa
Relationship between glutathione and NADPH	Dffb
Relationship between glutathione and NADPH	Txn1
Relationship between glutathione and NADPH	Gpi
