pathway	feature_ids
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	COQ7
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP2B6
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP26B1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP26A1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP2A6
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	COQ6
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP3A5
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP2A7
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP7A1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP3A7
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP2F1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP2C18
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP2C19
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP2J2
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP4F2
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP4F8
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP27A1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP24A1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP4F3
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP1B1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP2A13
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP51A1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP27C1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP4F22
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP20A1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP26C1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP2R1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP4V2
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP2U1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP4Z1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP4X1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP2W1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP2S1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP3A43
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP4F11
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP4F12
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP39A1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP8B1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP46A1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP27B1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP7B1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP1A1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP17A1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP11A1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP1A2
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP2E1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP3A4
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP21A2
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP2C8
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP2D6
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP19A1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP2C9
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP4B1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP11B1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYP11B2
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CRABP1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	COQ9
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	ADCK3
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	PPTC7
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	PRKX
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	PRKACG
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	PRKACB
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	PRKACA
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	POLR2A
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	HNF4A
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	NR3C1
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	HIST1H4A
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	CYB5A
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	POR
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	COQ3
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	COQ5
