pathway	feature_ids
BIOSYNTHESIS OF SEROTONIN AND MELATONIN	TPH2
BIOSYNTHESIS OF SEROTONIN AND MELATONIN	TPH1
BIOSYNTHESIS OF SEROTONIN AND MELATONIN	ASMT
BIOSYNTHESIS OF SEROTONIN AND MELATONIN	DDC
BIOSYNTHESIS OF SEROTONIN AND MELATONIN	AANAT
SEROTONIN AND MELATONIN BIOSYNTHESIS	TPH2
SEROTONIN AND MELATONIN BIOSYNTHESIS	TPH1
SEROTONIN AND MELATONIN BIOSYNTHESIS	ASMT
SEROTONIN AND MELATONIN BIOSYNTHESIS	DDC
SEROTONIN AND MELATONIN BIOSYNTHESIS	AANAT
CATECHOLAMINE BIOSYNTHESIS	PNMT
CATECHOLAMINE BIOSYNTHESIS	TH
CATECHOLAMINE BIOSYNTHESIS	DBH
CATECHOLAMINE BIOSYNTHESIS	DDC
BIOSYNTHESIS OF CORTICOSTEROIDS	G6PD2
BIOSYNTHESIS OF CORTICOSTEROIDS	G6PDX
BIOSYNTHESIS OF CORTICOSTEROIDS	CYP11A1
BIOSYNTHESIS OF CORTICOSTEROIDS	TAGLN
BIOSYNTHESIS OF CORTICOSTEROIDS	NPPA
BIOSYNTHESIS OF PROSTAGLANDINS	PTGS1
BIOSYNTHESIS OF PROSTAGLANDINS	PTGS2
BIOSYNTHESIS OF PROSTAGLANDINS	CBR3
BIOSYNTHESIS OF PROSTAGLANDINS	CBR2
BIOSYNTHESIS OF PROSTAGLANDINS	DHRS4
BIOSYNTHESIS OF PROSTAGLANDINS	PTGIS
BIOSYNTHESIS OF PROSTAGLANDINS	TBXAS1
BIOSYNTHESIS OF PROSTAGLANDINS	PTGDS
BIOSYNTHESIS OF PROSTAGLANDINS	PTGES2
BIOSYNTHESIS OF PROSTAGLANDINS	PTGES3
BIOSYNTHESIS OF PROSTAGLANDINS	PTGES
BIOSYNTHESIS OF PROSTAGLANDINS	NUCB1
BIOSYNTHESIS OF PROSTAGLANDINS	CUZD1
BIOSYNTHESIS OF PROSTAGLANDINS	IRF1
BIOSYNTHESIS OF PROSTAGLANDINS	NOS2
BIOSYNTHESIS OF PROSTAGLANDINS	ELAVL1
BIOSYNTHESIS OF PROSTAGLANDINS	NOS1
BIOSYNTHESIS OF PROSTAGLANDINS	IRF2
BIOSYNTHESIS OF PROSTAGLANDINS	SIRT1
BIOSYNTHESIS OF PROSTAGLANDINS	HIF1A
BIOSYNTHESIS OF PROSTAGLANDINS	YWHAE
BIOSYNTHESIS OF PROSTAGLANDINS	STAT4
BIOSYNTHESIS OF PROSTAGLANDINS	JUN
BIOSYNTHESIS OF PROSTAGLANDINS	SPI1
BIOSYNTHESIS OF PROSTAGLANDINS	CEBPB
BIOSYNTHESIS OF PROSTAGLANDINS	TERT
BIOSYNTHESIS OF PROSTAGLANDINS	DNMT3A
BIOSYNTHESIS OF PROSTAGLANDINS	BAX
BIOSYNTHESIS OF PROSTAGLANDINS	CFTR
BIOSYNTHESIS OF PROSTAGLANDINS	EED
BIOSYNTHESIS OF PROSTAGLANDINS	UBC
BIOSYNTHESIS OF PROSTAGLANDINS	HSP90AB1
BIOSYNTHESIS OF PROSTAGLANDINS	HTT
BIOSYNTHESIS OF PROSTAGLANDINS	CASP7
BIOSYNTHESIS OF PROSTAGLANDINS	NULL
BIOSYNTHESIS OF PROSTAGLANDINS	CHAF1A
BIOSYNTHESIS OF ANDROGENS	HSD17B3
BIOSYNTHESIS OF ANDROGENS	CYP11A1
BIOSYNTHESIS OF ESTROGENS	SULT1E1
BIOSYNTHESIS OF ESTROGENS	HSD17B11
BIOSYNTHESIS OF ESTROGENS	HSD17B1
BIOSYNTHESIS OF ESTROGENS	CYP11A1
BIOSYNTHESIS OF ESTROGENS	CYP1A2
BIOSYNTHESIS OF ESTROGENS	CYP1A1
BIOSYNTHESIS OF ESTROGENS	CYP2D26
BIOSYNTHESIS OF ESTROGENS	CYP4A12A
BIOSYNTHESIS OF ESTROGENS	CYP4B1
BIOSYNTHESIS OF ESTROGENS	CYP2C70
BIOSYNTHESIS OF ESTROGENS	CYP2D9
BIOSYNTHESIS OF ESTROGENS	CYP2B19
BIOSYNTHESIS OF ESTROGENS	CYP3A41A; CYP3A41B
BIOSYNTHESIS OF ESTROGENS	CYP3A11
BIOSYNTHESIS OF ESTROGENS	CYP2C37
BIOSYNTHESIS OF ESTROGENS	CYP2A12
BIOSYNTHESIS OF ESTROGENS	CYP2C40
BIOSYNTHESIS OF ESTROGENS	CYP4X1
BIOSYNTHESIS OF ESTROGENS	CYP3A13
BIOSYNTHESIS OF ESTROGENS	CYP3A25
BIOSYNTHESIS OF ESTROGENS	CYP2A4
BIOSYNTHESIS OF ESTROGENS	CYP2B9
BIOSYNTHESIS OF ESTROGENS	CYP2U1
BIOSYNTHESIS OF ESTROGENS	CYP2D11
BIOSYNTHESIS OF ESTROGENS	CYP2C29
BIOSYNTHESIS OF ESTROGENS	CYP2A5
BIOSYNTHESIS OF ESTROGENS	CYP2C39
BIOSYNTHESIS OF ESTROGENS	CYP2C54
BIOSYNTHESIS OF ESTROGENS	CYP2J5
BIOSYNTHESIS OF ESTROGENS	CYP1B1
BIOSYNTHESIS OF ESTROGENS	CYP2J6
BIOSYNTHESIS OF ESTROGENS	CYP3A16
BIOSYNTHESIS OF ESTROGENS	CYP2S1
BIOSYNTHESIS OF ESTROGENS	CYP2C50
BIOSYNTHESIS OF ESTROGENS	CYP2C38
BIOSYNTHESIS OF ESTROGENS	CYP2D10
BIOSYNTHESIS OF ESTROGENS	CYP2B10
BIOSYNTHESIS OF ESTROGENS	CYP2C55
BIOSYNTHESIS OF ESTROGENS	BMPR2
BIOSYNTHESIS OF ESTROGENS	EED
BIOSYNTHESIS OF ESTROGENS	AHR
BIOSYNTHESIS OF ESTROGENS	SIN3A
BIOSYNTHESIS OF ESTROGENS	RXRA
BIOSYNTHESIS OF ESTROGENS	HSD11B1
GLUTAMATE BIOSYNTHESIS II	GLUD1
GLUTAMATE BIOSYNTHESIS II	NPHP4
GLUTAMATE BIOSYNTHESIS II	SIRT4
GLUTAMATE BIOSYNTHESIS II	IQCB1
GLUTAMATE BIOSYNTHESIS II	RIPK3
GLUTAMATE BIOSYNTHESIS II	SIRT4
GLUTAMATE BIOSYNTHESIS II	KCNMA1
ARGININE DEGRADATION I (ARGINASE PATHWAY)	ARG2
ARGININE DEGRADATION I (ARGINASE PATHWAY)	ARG1
ARGININE DEGRADATION I (ARGINASE PATHWAY)	OAT
ARGININE DEGRADATION I (ARGINASE PATHWAY)	HSD17B10
ARGININE DEGRADATION I (ARGINASE PATHWAY)	CEBPB
ARGININE DEGRADATION I (ARGINASE PATHWAY)	NPHP4
ARGININE DEGRADATION I (ARGINASE PATHWAY)	STAT6
ARGININE DEGRADATION I (ARGINASE PATHWAY)	IRF8
ARGININE DEGRADATION I (ARGINASE PATHWAY)	SPI1
ARGININE DEGRADATION I (ARGINASE PATHWAY)	KCNMA1
CYSTEINE BIOSYNTHESIS/HOMOCYSTEINE DEGRADATION	CTH
CYSTEINE BIOSYNTHESIS/HOMOCYSTEINE DEGRADATION	CBS
CYSTEINE BIOSYNTHESIS/HOMOCYSTEINE DEGRADATION	RELA
CYSTEINE BIOSYNTHESIS/HOMOCYSTEINE DEGRADATION	TOMM20
CYSTEINE BIOSYNTHESIS/HOMOCYSTEINE DEGRADATION	GAPDH
CYSTEINE BIOSYNTHESIS/HOMOCYSTEINE DEGRADATION	CRY1
CYSTEINE BIOSYNTHESIS II	CTH
CYSTEINE BIOSYNTHESIS II	CBS
CYSTEINE BIOSYNTHESIS II	RELA
CYSTEINE BIOSYNTHESIS II	TOMM20
CYSTEINE BIOSYNTHESIS II	GAPDH
CYSTEINE BIOSYNTHESIS II	CRY1
L-GLUTAMINE BIOSYNTHESIS II (TRNA-DEPENDENT)	QRSL1
GLUTAMINE BIOSYNTHESIS II	GLUD1
GLUTAMINE BIOSYNTHESIS II	NPHP4
GLUTAMINE BIOSYNTHESIS II	SIRT4
GLUTAMINE BIOSYNTHESIS II	IQCB1
GLUTAMINE BIOSYNTHESIS II	RIPK3
GLUTAMINE BIOSYNTHESIS II	SIRT4
GLUTAMINE BIOSYNTHESIS II	KCNMA1
ASPARAGINE BIOSYNTHESIS I	ASNS
ASPARAGINE BIOSYNTHESIS I	EED
ASPARTATE BIOSYNTHESIS	PCX
ASPARTATE BIOSYNTHESIS	PC
ASPARTATE BIOSYNTHESIS	GOT1L1
PROLINE BIOSYNTHESIS II	GLUD1
PROLINE BIOSYNTHESIS II	PYCR2
PROLINE BIOSYNTHESIS II	PYCR1
PROLINE BIOSYNTHESIS II	PYCR3
PROLINE BIOSYNTHESIS II	NPHP4
PROLINE BIOSYNTHESIS II	SIRT4
PROLINE BIOSYNTHESIS II	IQCB1
PROLINE BIOSYNTHESIS II	RIPK3
PROLINE BIOSYNTHESIS II	SIRT4
PROLINE BIOSYNTHESIS II	KCNMA1
PROLINE BIOSYNTHESIS II	EED
PROLINE BIOSYNTHESIS II	CEBPA
PROLINE BIOSYNTHESIS II (FROM ARGININE)	OTC
PROLINE BIOSYNTHESIS II (FROM ARGININE)	OAT
PROLINE BIOSYNTHESIS II (FROM ARGININE)	PYCR2
PROLINE BIOSYNTHESIS II (FROM ARGININE)	PYCR1
PROLINE BIOSYNTHESIS II (FROM ARGININE)	PYCR3
PROLINE BIOSYNTHESIS II (FROM ARGININE)	HSD17B10
PROLINE BIOSYNTHESIS II (FROM ARGININE)	KCNMA1
PROLINE BIOSYNTHESIS II (FROM ARGININE)	EED
PROLINE BIOSYNTHESIS II (FROM ARGININE)	CEBPA
ARGININE DEGRADATION VI (ARGINASE 2 PATHWAY)	PYCR2
ARGININE DEGRADATION VI (ARGINASE 2 PATHWAY)	PYCR1
ARGININE DEGRADATION VI (ARGINASE 2 PATHWAY)	PYCR3
ARGININE DEGRADATION VI (ARGINASE 2 PATHWAY)	ARG2
ARGININE DEGRADATION VI (ARGINASE 2 PATHWAY)	ARG1
ARGININE DEGRADATION VI (ARGINASE 2 PATHWAY)	OAT
ARGININE DEGRADATION VI (ARGINASE 2 PATHWAY)	EED
ARGININE DEGRADATION VI (ARGINASE 2 PATHWAY)	CEBPA
ARGININE DEGRADATION VI (ARGINASE 2 PATHWAY)	HSD17B10
ARGININE DEGRADATION VI (ARGINASE 2 PATHWAY)	CEBPB
ARGININE DEGRADATION VI (ARGINASE 2 PATHWAY)	NPHP4
ARGININE DEGRADATION VI (ARGINASE 2 PATHWAY)	STAT6
ARGININE DEGRADATION VI (ARGINASE 2 PATHWAY)	IRF8
ARGININE DEGRADATION VI (ARGINASE 2 PATHWAY)	SPI1
ARGININE DEGRADATION VI (ARGINASE 2 PATHWAY)	KCNMA1
METHIONINE SALVAGE II (MAMMALIA)	BHMT
METHIONINE SALVAGE II (MAMMALIA)	MTR
METHIONINE SALVAGE II (MAMMALIA)	UBC
<IS</I-ADENOSYL-L-METHIONINE CYCLE II	MAT2A
<IS</I-ADENOSYL-L-METHIONINE CYCLE II	MAT1A
<IS</I-ADENOSYL-L-METHIONINE CYCLE II	AHCY
<IS</I-ADENOSYL-L-METHIONINE CYCLE II	AHCYL2
<IS</I-ADENOSYL-L-METHIONINE CYCLE II	SETDB1
<IS</I-ADENOSYL-L-METHIONINE CYCLE II	SUV39H1
<IS</I-ADENOSYL-L-METHIONINE CYCLE II	MID1IP1
<IS</I-ADENOSYL-L-METHIONINE CYCLE II	TRAF1
SERINE BIOSYNTHESIS	PHGDH
SERINE BIOSYNTHESIS	PSAT1
SERINE BIOSYNTHESIS	PSPH
SERINE BIOSYNTHESIS	IRF8
SERINE BIOSYNTHESIS	DOK1
SERINE BIOSYNTHESIS	KCNMA1
SERINE BIOSYNTHESIS	EED
URACIL DEGRADATION II (REDUCTIVE)	DPYD
URACIL DEGRADATION II (REDUCTIVE)	DPYS
URACIL DEGRADATION II (REDUCTIVE)	UPB1
URACIL DEGRADATION II (REDUCTIVE)	NULL
URACIL DEGRADATION II (REDUCTIVE)	DPYSL5
&BETA;-ALANINE BIOSYNTHESIS I	AOC1
&BETA;-ALANINE BIOSYNTHESIS I	ALDH3
&BETA;-ALANINE BIOSYNTHESIS I	ALDH3A2
&BETA;-ALANINE BIOSYNTHESIS I	ALDH3B2
&BETA;-ALANINE BIOSYNTHESIS I	ALDH1A7
&BETA;-ALANINE BIOSYNTHESIS I	ALDH1B1
&BETA;-ALANINE BIOSYNTHESIS I	ALDH3B3
&BETA;-ALANINE BIOSYNTHESIS I	ALDH2
&BETA;-ALANINE BIOSYNTHESIS I	SIRT3
ARGININE BIOSYNTHESIS IV	OTC
ARGININE BIOSYNTHESIS IV	OAT
ARGININE BIOSYNTHESIS IV	ASL
ARGININE BIOSYNTHESIS IV	GLUD1
ARGININE BIOSYNTHESIS IV	ASS1
ARGININE BIOSYNTHESIS IV	HSD17B10
ARGININE BIOSYNTHESIS IV	KCNMA1
ARGININE BIOSYNTHESIS IV	NPHP4
ARGININE BIOSYNTHESIS IV	SIRT4
