pathway	feature_ids
N-acetyltransferase activity (GO:0008080)	ATF2
N-acetyltransferase activity (GO:0008080)	ATF1
N-acetyltransferase activity (GO:0008080)	LRO1
N-acetyltransferase activity (GO:0008080)	ARG2
N-acetyltransferase activity (GO:0008080)	PAA1
N-acetyltransferase activity (GO:0008080)	SLI1
N-acetyltransferase activity (GO:0008080)	ARG5,6
N-acetyltransferase activity (GO:0008080)	GNA1
N-acetyltransferase activity (GO:0008080)	HPA3
N-acetyltransferase activity (GO:0008080)	HPA2
N-acetyltransferase activity (GO:0008080)	KRE33
N-acetyltransferase activity (GO:0008080)	PBI1
N-acetyltransferase activity (GO:0008080)	ESA1
N-acetyltransferase activity (GO:0008080)	ARG7
calcium ion binding (GO:0005509)	GEM1
calcium ion binding (GO:0005509)	INP53
calcium ion binding (GO:0005509)	CNB1
calcium ion binding (GO:0005509)	CMD1
calcium ion binding (GO:0005509)	TMA19
calcium ion binding (GO:0005509)	INP52
calcium ion binding (GO:0005509)	INP51
calcium ion binding (GO:0005509)	CDC31
calcium ion binding (GO:0005509)	SAL1
calcium ion binding (GO:0005509)	PEF1
calcium ion binding (GO:0005509)	YNR021W
calcium ion binding (GO:0005509)	CAM1
calcium ion binding (GO:0005509)	PMR1
rRNA binding (GO:0019843)	MRT4
rRNA binding (GO:0019843)	NOP13
rRNA binding (GO:0019843)	NOP15
rRNA binding (GO:0019843)	IMP3
rRNA binding (GO:0019843)	IMP4
rRNA binding (GO:0019843)	RPL23A
rRNA binding (GO:0019843)	RPL23B
rRNA binding (GO:0019843)	RSM7
rRNA binding (GO:0019843)	SSF1
rRNA binding (GO:0019843)	SSF2
rRNA binding (GO:0019843)	RPS14B
rRNA binding (GO:0019843)	RPS14A
rRNA binding (GO:0019843)	MRD1
rRNA binding (GO:0019843)	BRX1
rRNA binding (GO:0019843)	SNM1
rRNA binding (GO:0019843)	ERB1
rRNA binding (GO:0019843)	RPP0
rRNA binding (GO:0019843)	NOP53
rRNA binding (GO:0019843)	CCM1
rRNA binding (GO:0019843)	RMP1
rRNA binding (GO:0019843)	RPL5
rRNA binding (GO:0019843)	MRPS18
rRNA binding (GO:0019843)	POP6
rRNA binding (GO:0019843)	NOP6
rRNA binding (GO:0019843)	RRP5
rRNA binding (GO:0019843)	UTP23
rRNA binding (GO:0019843)	MRPL19
rRNA binding (GO:0019843)	NAB2
rRNA binding (GO:0019843)	RLP7
rRNA binding (GO:0019843)	UTP25
rRNA binding (GO:0019843)	POP4
rRNA binding (GO:0019843)	RPL12A
rRNA binding (GO:0019843)	RPL12B
rRNA binding (GO:0019843)	MRPL16
rRNA binding (GO:0019843)	NOB1
rRNA binding (GO:0019843)	MRPL38
rRNA binding (GO:0019843)	RPF1
rRNA binding (GO:0019843)	RPF2
rRNA binding (GO:0019843)	EMG1
rRNA binding (GO:0019843)	MRP17
rRNA binding (GO:0019843)	RPS9B
rRNA binding (GO:0019843)	RPS9A
rRNA binding (GO:0019843)	RPS5
rRNA binding (GO:0019843)	RPS2
rRNA binding (GO:0019843)	NAM9
rRNA binding (GO:0019843)	SPT5
rRNA binding (GO:0019843)	RPS13
RNA binding (GO:0003723)	SOF1
RNA binding (GO:0003723)	YOR142W-B
RNA binding (GO:0003723)	RRP40
RNA binding (GO:0003723)	RRP43
RNA binding (GO:0003723)	YCL019W
RNA binding (GO:0003723)	RRP42
RNA binding (GO:0003723)	PAT1
RNA binding (GO:0003723)	YJL113W
RNA binding (GO:0003723)	YOR142W-A
