pathway	feature_ids
ABC transporters	pgp-3
ABC transporters	pmp-4
ABC transporters	pgp-4
ABC transporters	pmp-3
ABC transporters	pgp-1
ABC transporters	mrp-5
ABC transporters	pgp-2
ABC transporters	pgp-13
ABC transporters	pgp-12
ABC transporters	pmp-2
ABC transporters	pgp-14
ABC transporters	pmp-1
ABC transporters	pgp-11
ABC transporters	mrp-2
ABC transporters	mrp-1
ABC transporters	haf-7
ABC transporters	haf-6
ABC transporters	abt-2
ABC transporters	haf-4
ABC transporters	pgp-5
ABC transporters	abtm-1
ABC transporters	abt-4
ABC transporters	pgp-9
ABC transporters	hmt-1
ABC transporters	haf-9
AGE-RAGE signaling pathway in diabetic complications	ced-10
AGE-RAGE signaling pathway in diabetic complications	akt-1
AGE-RAGE signaling pathway in diabetic complications	age-1
AGE-RAGE signaling pathway in diabetic complications	akt-2
AGE-RAGE signaling pathway in diabetic complications	sma-4
AGE-RAGE signaling pathway in diabetic complications	pmk-1
AGE-RAGE signaling pathway in diabetic complications	crp-1
AGE-RAGE signaling pathway in diabetic complications	pmk-3
AGE-RAGE signaling pathway in diabetic complications	pmk-2
AGE-RAGE signaling pathway in diabetic complications	pkc-2
AGE-RAGE signaling pathway in diabetic complications	aap-1
AGE-RAGE signaling pathway in diabetic complications	pkc-1
AGE-RAGE signaling pathway in diabetic complications	let-60
AGE-RAGE signaling pathway in diabetic complications	kgb-1
AGE-RAGE signaling pathway in diabetic complications	kgb-2
AGE-RAGE signaling pathway in diabetic complications	mpk-1
AGE-RAGE signaling pathway in diabetic complications	daf-3
AGE-RAGE signaling pathway in diabetic complications	egrh-1
AGE-RAGE signaling pathway in diabetic complications	jnk-1
AGE-RAGE signaling pathway in diabetic complications	sta-1
AGE-RAGE signaling pathway in diabetic complications	egl-8
AGE-RAGE signaling pathway in diabetic complications	rac-2
AGE-RAGE signaling pathway in diabetic complications	plc-3
AGE-RAGE signaling pathway in diabetic complications	plc-4
AGE-RAGE signaling pathway in diabetic complications	cdc-42
AGE-RAGE signaling pathway in diabetic complications	plc-1
AGE-RAGE signaling pathway in diabetic complications	mig-2
AGE-RAGE signaling pathway in diabetic complications	let-2
AGE-RAGE signaling pathway in diabetic complications	tpa-1
Alanine, aspartate and glutamate metabolism	ppat-1
Alanine, aspartate and glutamate metabolism	adsl-1
Alanine, aspartate and glutamate metabolism	ddo-1
Alanine, aspartate and glutamate metabolism	ddo-2
Alanine, aspartate and glutamate metabolism	ddo-3
Alanine, aspartate and glutamate metabolism	W07E11.1
Alanine, aspartate and glutamate metabolism	unc-25
Alanine, aspartate and glutamate metabolism	agxt-1
Alanine, aspartate and glutamate metabolism	T09B4.8
Alanine, aspartate and glutamate metabolism	got-2.1
Alanine, aspartate and glutamate metabolism	got-1.2
Alanine, aspartate and glutamate metabolism	got-2.2
Alanine, aspartate and glutamate metabolism	gfat-2
Alanine, aspartate and glutamate metabolism	gfat-1
Alanine, aspartate and glutamate metabolism	alh-6
Alanine, aspartate and glutamate metabolism	pyr-1
Alanine, aspartate and glutamate metabolism	gln-5
Alanine, aspartate and glutamate metabolism	alh-7
Alanine, aspartate and glutamate metabolism	gln-6
Alanine, aspartate and glutamate metabolism	gln-3
Alanine, aspartate and glutamate metabolism	gln-1
Alanine, aspartate and glutamate metabolism	glna-1
Alanine, aspartate and glutamate metabolism	gln-2
Alanine, aspartate and glutamate metabolism	asns-1
Alanine, aspartate and glutamate metabolism	glna-2
Alanine, aspartate and glutamate metabolism	gdh-1
Alanine, aspartate and glutamate metabolism	asns-2
Alanine, aspartate and glutamate metabolism	glna-3
Alanine, aspartate and glutamate metabolism	gta-1
Alanine, aspartate and glutamate metabolism	adss-1
Alanine, aspartate and glutamate metabolism	C32F10.8
Amino sugar and nucleotide sugar metabolism	F21D5.1
Amino sugar and nucleotide sugar metabolism	C36A4.4
Amino sugar and nucleotide sugar metabolism	bre-1
Amino sugar and nucleotide sugar metabolism	R05F9.6
Amino sugar and nucleotide sugar metabolism	gna-1
Amino sugar and nucleotide sugar metabolism	F52B11.2
Amino sugar and nucleotide sugar metabolism	T03F6.3
Amino sugar and nucleotide sugar metabolism	ger-1
Amino sugar and nucleotide sugar metabolism	W06B4.2
Amino sugar and nucleotide sugar metabolism	cht-4
Amino sugar and nucleotide sugar metabolism	sqv-1
Amino sugar and nucleotide sugar metabolism	ZK632.4
Amino sugar and nucleotide sugar metabolism	chs-1
Amino sugar and nucleotide sugar metabolism	cht-1
Amino sugar and nucleotide sugar metabolism	chs-2
Amino sugar and nucleotide sugar metabolism	K08E3.5
Amino sugar and nucleotide sugar metabolism	sqv-4
Amino sugar and nucleotide sugar metabolism	gfat-2
Amino sugar and nucleotide sugar metabolism	tag-335
Amino sugar and nucleotide sugar metabolism	F59B2.3
Amino sugar and nucleotide sugar metabolism	gale-1
Amino sugar and nucleotide sugar metabolism	gfat-1
Amino sugar and nucleotide sugar metabolism	gmd-2
Amino sugar and nucleotide sugar metabolism	ZK1058.3
Amino sugar and nucleotide sugar metabolism	Y43F4B.5
Amino sugar and nucleotide sugar metabolism	T05H4.4
Amino sugar and nucleotide sugar metabolism	C01F1.3
Amino sugar and nucleotide sugar metabolism	hxk-1
Amino sugar and nucleotide sugar metabolism	K03H1.13
Amino sugar and nucleotide sugar metabolism	C05C8.7
Amino sugar and nucleotide sugar metabolism	Y47D9A.1
Amino sugar and nucleotide sugar metabolism	Y52B11A.3
Amino sugar and nucleotide sugar metabolism	hex-1
Amino sugar and nucleotide sugar metabolism	hpo-19
Amino sugar and nucleotide sugar metabolism	gpi-1
Aminoacyl-tRNA biosynthesis	C11G10.t1
Aminoacyl-tRNA biosynthesis	F35H8.t1
Aminoacyl-tRNA biosynthesis	C39D10.17
Aminoacyl-tRNA biosynthesis	C43G2.30
Aminoacyl-tRNA biosynthesis	F55F3.t2
Aminoacyl-tRNA biosynthesis	F55F3.t1
Aminoacyl-tRNA biosynthesis	Y92C3A.t2
Aminoacyl-tRNA biosynthesis	Y92C3A.t3
Aminoacyl-tRNA biosynthesis	F53F8.t1
Aminoacyl-tRNA biosynthesis	C39D10.14
Aminoacyl-tRNA biosynthesis	B0285.t1
Aminoacyl-tRNA biosynthesis	F56D12.t1
Aminoacyl-tRNA biosynthesis	F38E9.7
Aminoacyl-tRNA biosynthesis	F56D12.t4
Aminoacyl-tRNA biosynthesis	T07H6.t1
Aminoacyl-tRNA biosynthesis	T07H6.t2
Aminoacyl-tRNA biosynthesis	K08E7.t1
Aminoacyl-tRNA biosynthesis	C43G2.t1
Aminoacyl-tRNA biosynthesis	F35H8.10
Aminoacyl-tRNA biosynthesis	C43G2.t2
Aminoacyl-tRNA biosynthesis	C04F12.t1
Aminoacyl-tRNA biosynthesis	T01B4.4
Aminoacyl-tRNA biosynthesis	T01B4.7
Aminoacyl-tRNA biosynthesis	C39D10.t1
Aminoacyl-tRNA biosynthesis	T01B4.6
Aminoacyl-tRNA biosynthesis	C39D10.t2
Aminoacyl-tRNA biosynthesis	F02H6.72
Aminoacyl-tRNA biosynthesis	F53F8.10
Aminoacyl-tRNA biosynthesis	ZC455.14
Aminoacyl-tRNA biosynthesis	Y7A9D.t2
Aminoacyl-tRNA biosynthesis	Y7A9D.t1
Aminoacyl-tRNA biosynthesis	B0513.t1
Aminoacyl-tRNA biosynthesis	Y7A9D.t3
Aminoacyl-tRNA biosynthesis	K01A12.t5
Aminoacyl-tRNA biosynthesis	T01B4.8
Aminoacyl-tRNA biosynthesis	ZC455.t1
Aminoacyl-tRNA biosynthesis	K01A12.t4
Aminoacyl-tRNA biosynthesis	K01A12.t3
Aminoacyl-tRNA biosynthesis	K01A12.t2
Aminoacyl-tRNA biosynthesis	Y17G9A.t1
Aminoacyl-tRNA biosynthesis	K01A12.t1
Aminoacyl-tRNA biosynthesis	Y51H4A.t7
