pathway	feature_ids
MAPK cascade (GO:0000165)	SSK2
MAPK cascade (GO:0000165)	HOG1
MAPK cascade (GO:0000165)	SSK22
MAPK cascade (GO:0000165)	STE7
MAPK cascade (GO:0000165)	CDC37
MAPK cascade (GO:0000165)	STE50
MAPK cascade (GO:0000165)	KIC1
MAPK cascade (GO:0000165)	STE11
MAPK cascade (GO:0000165)	SPS1
inactivation of MAPK activity (GO:0000188)	PTP2
inactivation of MAPK activity (GO:0000188)	NBP2
inactivation of MAPK activity (GO:0000188)	PTP3
inactivation of MAPK activity (GO:0000188)	PTC1
inactivation of MAPK activity (GO:0000188)	PTC3
inactivation of MAPK activity (GO:0000188)	MSG5
inactivation of MAPK activity (GO:0000188)	SDP1
inactivation of MAPK activity (GO:0000188)	PTC2
inactivation of MAPK activity (GO:0000188)	PPS1
protein acetylation (GO:0006473)	ARD1
protein acetylation (GO:0006473)	NAT4
protein acetylation (GO:0006473)	NAT5
protein acetylation (GO:0006473)	MAK3
protein acetylation (GO:0006473)	HPA3
protein acetylation (GO:0006473)	HPA2
protein acetylation (GO:0006473)	NAT1
protein acetylation (GO:0006473)	ESA1
protein acetylation (GO:0006473)	MAK10
protein acetylation (GO:0006473)	MAK31
protein homooligomerization (GO:0051260)	VPS4
protein homooligomerization (GO:0051260)	IRE1
protein homooligomerization (GO:0051260)	ATG9
protein homooligomerization (GO:0051260)	STE2
protein homooligomerization (GO:0051260)	DNM1
mitochondrial transport (GO:0006839)	MSP1
mitochondrial transport (GO:0006839)	OM14
mitochondrial transport (GO:0006839)	ECM10
mitochondrial transport (GO:0006839)	ERV1
mitochondrial transport (GO:0006839)	MDM10
mitochondrial transport (GO:0006839)	TOM40
mitochondrial transport (GO:0006839)	SAM50
mitochondrial transport (GO:0006839)	AGC1
mitochondrial transport (GO:0006839)	AAC3
mitochondrial transport (GO:0006839)	AAC1
mitochondrial transport (GO:0006839)	TIM21
mitochondrial transport (GO:0006839)	YME1
mitochondrial transport (GO:0006839)	TIM23
mitochondrial transport (GO:0006839)	MIM1
mitochondrial transport (GO:0006839)	XDJ1
mitochondrial transport (GO:0006839)	PET9
mitochondrial transport (GO:0006839)	MIC60
mitochondrial transport (GO:0006839)	HSP60
mitochondrial transport (GO:0006839)	DJP1
mitochondrial transport (GO:0006839)	ODC1
mitochondrial transport (GO:0006839)	ODC2
mitochondrial transport (GO:0006839)	YMC1
mitochondrial transport (GO:0006839)	SSA1
mitochondrial transport (GO:0006839)	MCX1
mitochondrial transport (GO:0006839)	YMC2
mitochondrial transport (GO:0006839)	SAM35
mitochondrial transport (GO:0006839)	SAM37
mitochondrial transport (GO:0006839)	HOT13
mitochondrial transport (GO:0006839)	YDJ1
mitochondrial transport (GO:0006839)	MDJ2
mitochondrial transport (GO:0006839)	HSP10
mitochondrial transport (GO:0006839)	TOM7
mitochondrial transport (GO:0006839)	TOM6
mitochondrial transport (GO:0006839)	PAM18
mitochondrial transport (GO:0006839)	MNP1
mitochondrial transport (GO:0006839)	TOM5
mitochondrial transport (GO:0006839)	PAM16
mitochondrial transport (GO:0006839)	PAM17
mitochondrial transport (GO:0006839)	TOM20
mitochondrial transport (GO:0006839)	YTA12
mitochondrial transport (GO:0006839)	AFG3
mitochondrial transport (GO:0006839)	TIM44
mitochondrial transport (GO:0006839)	ZIM17
mitochondrial transport (GO:0006839)	TOM22
mitochondrial transport (GO:0006839)	MFM1
mitochondrial transport (GO:0006839)	MIA40
mitochondrial transport (GO:0006839)	MGE1
mitochondrial transport (GO:0006839)	HSP82
mitochondrial transport (GO:0006839)	MIM2
mitochondrial transport (GO:0006839)	MRS2
mitochondrial transport (GO:0006839)	MMM1
mitochondrial transport (GO:0006839)	SSC1
mitochondrial transport (GO:0006839)	CYT1
mitochondrial transport (GO:0006839)	YIA6
mitochondrial transport (GO:0006839)	STI1
mitochondrial transport (GO:0006839)	TOM70
mitochondrial transport (GO:0006839)	TOM71
mitochondrial transport (GO:0006839)	TIM50
mitochondrial transport (GO:0006839)	MPC1
mitochondrial transport (GO:0006839)	SAL1
mitochondrial transport (GO:0006839)	MPC2
mitochondrial transport (GO:0006839)	MPC3
mitochondrial transport (GO:0006839)	COX4
mitochondrial transport (GO:0006839)	MGR2
mitochondrial transport (GO:0006839)	TIM17
ATP transport (GO:0015867)	MCD4
ATP transport (GO:0015867)	LTV1
ATP transport (GO:0015867)	SRN2
ATP transport (GO:0015867)	BUL1
ATP transport (GO:0015867)	SNF8
ATP transport (GO:0015867)	SNF7
ATP transport (GO:0015867)	BRO1
ATP transport (GO:0015867)	SAL1
ATP transport (GO:0015867)	DID4
ATP transport (GO:0015867)	VPS20
ATP transport (GO:0015867)	ANT1
ATP transport (GO:0015867)	HSE1
ATP transport (GO:0015867)	STP22
ATP transport (GO:0015867)	VPS36
ATP transport (GO:0015867)	VPS25
ATP transport (GO:0015867)	VPS24
