pathway	feature_ids
HALLMARK_P53_PATHWAY	RB1
HALLMARK_P53_PATHWAY	CYFIP2
HALLMARK_P53_PATHWAY	APP
HALLMARK_P53_PATHWAY	STEAP3
HALLMARK_P53_PATHWAY	CCNK
HALLMARK_P53_PATHWAY	HEL-S-130P
HALLMARK_P53_PATHWAY	CD82
HALLMARK_P53_PATHWAY	CD81
HALLMARK_P53_PATHWAY	DGKA
HALLMARK_P53_PATHWAY	CCP110
HALLMARK_P53_PATHWAY	RNF19B
HALLMARK_P53_PATHWAY	ABAT
HALLMARK_P53_PATHWAY	IFI30
HALLMARK_P53_PATHWAY	TM7SF3
HALLMARK_P53_PATHWAY	RRP8
HALLMARK_P53_PATHWAY	CCND3
HALLMARK_P53_PATHWAY	CCND2
HALLMARK_P53_PATHWAY	SESN1
HALLMARK_P53_PATHWAY	FDXR
HALLMARK_P53_PATHWAY	RPL36
HALLMARK_P53_PATHWAY	FOXO3A
HALLMARK_P53_PATHWAY	NUDT15
HALLMARK_P53_PATHWAY	IER5
HALLMARK_P53_PATHWAY	TP63
HALLMARK_P53_PATHWAY	PHLDA3
HALLMARK_P53_PATHWAY	RPS12
HALLMARK_P53_PATHWAY	TSPYL2
HALLMARK_P53_PATHWAY	TNLG5A
HALLMARK_P53_PATHWAY	FBXW7
HALLMARK_P53_PATHWAY	F2R
HALLMARK_P53_PATHWAY	TAP1
HALLMARK_P53_PATHWAY	IRAG2
HALLMARK_P53_PATHWAY	TRAFD1
HALLMARK_P53_PATHWAY	DNTTIP2
HALLMARK_P53_PATHWAY	CGRRF1
HALLMARK_P53_PATHWAY	PRKAB1
HALLMARK_P53_PATHWAY	TM4SF1
HALLMARK_P53_PATHWAY	PROCR
HALLMARK_P53_PATHWAY	MAPKAPK3
HALLMARK_P53_PATHWAY	DDIT3
HALLMARK_P53_PATHWAY	NINJ1
HALLMARK_P53_PATHWAY	DDIT4
HALLMARK_P53_PATHWAY	TXNIP
HALLMARK_P53_PATHWAY	S100A4
HALLMARK_P53_PATHWAY	TRIB3
HALLMARK_P53_PATHWAY	ANKRA2
HALLMARK_P53_PATHWAY	ATF3
HALLMARK_P53_PATHWAY	ISCU
HALLMARK_P53_PATHWAY	IHPK2
HALLMARK_P53_PATHWAY	EPHA2
HALLMARK_P53_PATHWAY	POM121
HALLMARK_P53_PATHWAY	NOTCH1
HALLMARK_P53_PATHWAY	RETSAT
HALLMARK_P53_PATHWAY	ABHD4
HALLMARK_P53_PATHWAY	SLC35D1
HALLMARK_P53_PATHWAY	RRAD
HALLMARK_P53_PATHWAY	HSPA4L
HALLMARK_P53_PATHWAY	AK1
HALLMARK_P53_PATHWAY	TGFA
HALLMARK_P53_PATHWAY	PDGFA
HALLMARK_P53_PATHWAY	XPC
HALLMARK_P53_PATHWAY	hD53
HALLMARK_P53_PATHWAY	KLK8
HALLMARK_P53_PATHWAY	CDKN2AIP
HALLMARK_P53_PATHWAY	NHLH2
HALLMARK_P53_PATHWAY	SOCS1
HALLMARK_P53_PATHWAY	IRAK1
HALLMARK_P53_PATHWAY	ZMAT3
HALLMARK_P53_PATHWAY	CLCA2
HALLMARK_P53_PATHWAY	HMOX1
HALLMARK_P53_PATHWAY	SFN
HALLMARK_P53_PATHWAY	S100A10
HALLMARK_P53_PATHWAY	SLC19A2
HALLMARK_P53_PATHWAY	JAG2
HALLMARK_P53_PATHWAY	HEXIM1
HALLMARK_P53_PATHWAY	PLK3
HALLMARK_P53_PATHWAY	JUN
HALLMARK_P53_PATHWAY	ST14
HALLMARK_P53_PATHWAY	TGFB1
HALLMARK_P53_PATHWAY	PMM1
HALLMARK_P53_PATHWAY	GADD45A
HALLMARK_P53_PATHWAY	PLK2
HALLMARK_P53_PATHWAY	FUCA1
HALLMARK_P53_PATHWAY	ZBTB16
HALLMARK_P53_PATHWAY	EPHX1
HALLMARK_P53_PATHWAY	LIF
HALLMARK_P53_PATHWAY	OSGIN1
HALLMARK_P53_PATHWAY	HEL-S-281
HALLMARK_P53_PATHWAY	INHBB
HALLMARK_P53_PATHWAY	ALOX15B
HALLMARK_P53_PATHWAY	H1-2
HALLMARK_P53_PATHWAY	PTPRE
HALLMARK_P53_PATHWAY	BMP2
HALLMARK_P53_PATHWAY	H2AC25
HALLMARK_P53_PATHWAY	TCN2
HALLMARK_P53_PATHWAY	SP1
HALLMARK_P53_PATHWAY	MDM2
HALLMARK_P53_PATHWAY	PLXNB2
HALLMARK_P53_PATHWAY	SDC1
HALLMARK_P53_PATHWAY	MXD1
HALLMARK_P53_PATHWAY	FGF13
HALLMARK_P53_PATHWAY	LOH11CR2A
HALLMARK_P53_PATHWAY	ADA
HALLMARK_P53_PATHWAY	MXD4
HALLMARK_P53_PATHWAY	RAD9A
HALLMARK_P53_PATHWAY	BTG2
HALLMARK_P53_PATHWAY	CDKN1A
HALLMARK_P53_PATHWAY	CSRNP2
HALLMARK_P53_PATHWAY	BTG1
HALLMARK_P53_PATHWAY	ITGB4
HALLMARK_P53_PATHWAY	TRIAP1
HALLMARK_P53_PATHWAY	IKBKAP
HALLMARK_P53_PATHWAY	SLC7A11
HALLMARK_P53_PATHWAY	FLJ11259
HALLMARK_P53_PATHWAY	PITPNC1
HALLMARK_P53_PATHWAY	PIDD1
HALLMARK_P53_PATHWAY	HINT1
HALLMARK_P53_PATHWAY	GM2A
HALLMARK_P53_PATHWAY	H2AFJ
HALLMARK_P53_PATHWAY	KIF13B
HALLMARK_P53_PATHWAY	CTSF
HALLMARK_P53_PATHWAY	WDR8
HALLMARK_P53_PATHWAY	HRAS
HALLMARK_P53_PATHWAY	ZNF365
HALLMARK_P53_PATHWAY	GPX2
HALLMARK_P53_PATHWAY	APAF1
HALLMARK_P53_PATHWAY	PRMT2
HALLMARK_P53_PATHWAY	SPHK1
HALLMARK_P53_PATHWAY	ABCC5
HALLMARK_P53_PATHWAY	DCXR
