pathway	feature_ids
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	ATPCL
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	STUM
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	CG10137
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	CG14253
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	CG13454
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	CG11486
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	L(1)G0020
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	PAN2
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	CYCK
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	GW
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	SEMA1A
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	CG5804
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	CG14696
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	L(2)10685
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	CG14506
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	MSD5
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	SGT
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	CG12155
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	PDCD4
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	CG31869
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	RHOBTB
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	ALIX
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	TFB1
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	SGG
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	P32
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	DOME
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	CG9426
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	RACK1
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	E(R)
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	EIF4E-3
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	SKPA
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	REV7
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	CG15800
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	CG11350
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	CG1307
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	CP36
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	ROQ
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	MAT1
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	CG18754
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	DREDD
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	BAP60
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	DAP
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	PHYL
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	FK506-BP2
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	CG3225
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	CG9986
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	UNC-76
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	CG14641
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	CG6337
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	CG7386
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	BUN
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	CG15124
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	NOMPB
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	CYCG
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	CDK4
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	CKA
ACETYL-COA BIOSYNTHESIS (FROM CITRATE)	CG7600
