pathway	feature_ids
BIOCARTA_TERT_PATHWAY	SP3
BIOCARTA_TERT_PATHWAY	ZNF42
BIOCARTA_TERT_PATHWAY	HDAC1
BIOCARTA_TERT_PATHWAY	MAX
BIOCARTA_TERT_PATHWAY	WT1
BIOCARTA_TERT_PATHWAY	SP1
BIOCARTA_TERT_PATHWAY	MYC
PID_IL2_PI3K_PATHWAY	MYC
PID_IL2_PI3K_PATHWAY	SGMS1
PID_IL2_PI3K_PATHWAY	SHC1
PID_IL2_PI3K_PATHWAY	PIK3R1
PID_IL2_PI3K_PATHWAY	IL2RG
PID_IL2_PI3K_PATHWAY	PRKCZ
PID_IL2_PI3K_PATHWAY	RELA
PID_IL2_PI3K_PATHWAY	UGCG
PID_IL2_PI3K_PATHWAY	TERT
PID_IL2_PI3K_PATHWAY	SMPD1
PID_IL2_PI3K_PATHWAY	MYB
PID_IL2_PI3K_PATHWAY	RAC1
PID_IL2_PI3K_PATHWAY	FOXO3A
PID_IL2_PI3K_PATHWAY	JAK3
PID_IL2_PI3K_PATHWAY	JAK1
PID_IL2_PI3K_PATHWAY	RPS6
PID_IL2_PI3K_PATHWAY	PTPN11
PID_IL2_PI3K_PATHWAY	GAB2
PID_IL2_PI3K_PATHWAY	IL2
PID_IL2_PI3K_PATHWAY	MTOR
PID_IL2_PI3K_PATHWAY	NFKB1
PID_IL2_PI3K_PATHWAY	RPS6KB1
PID_IL2_PI3K_PATHWAY	LCK
PID_IL2_PI3K_PATHWAY	IL2RA
PID_IL2_PI3K_PATHWAY	IL2RB
PID_IL2_PI3K_PATHWAY	BCL2
PID_IL2_PI3K_PATHWAY	GRB2
PID_IL2_PI3K_PATHWAY	SOS1
PID_IL2_PI3K_PATHWAY	EIF3A
PID_IL2_PI3K_PATHWAY	BCL2L1
PID_E2F_PATHWAY	HEL126
PID_E2F_PATHWAY	SIRT1
PID_E2F_PATHWAY	CDC25A
PID_E2F_PATHWAY	HIC1
PID_E2F_PATHWAY	RBL2
PID_E2F_PATHWAY	CCNA2
PID_E2F_PATHWAY	KAT2B
PID_E2F_PATHWAY	KAT2A
PID_E2F_PATHWAY	TFDP1
PID_E2F_PATHWAY	RBL1
PID_E2F_PATHWAY	CCNE2
PID_E2F_PATHWAY	TFDP2
PID_E2F_PATHWAY	CCNE1
PID_E2F_PATHWAY	CES8
PID_E2F_PATHWAY	CES3
PID_E2F_PATHWAY	CES2
PID_E2F_PATHWAY	CES1
PID_E2F_PATHWAY	CEBPA
PID_E2F_PATHWAY	TYMS
PID_E2F_PATHWAY	RBBP4
PID_E2F_PATHWAY	RBBP8
PID_E2F_PATHWAY	E2F2
PID_E2F_PATHWAY	E2F3
PID_E2F_PATHWAY	E2F4
PID_E2F_PATHWAY	E2F5
PID_E2F_PATHWAY	WASF1
PID_E2F_PATHWAY	E2F7
PID_E2F_PATHWAY	MCL1
PID_E2F_PATHWAY	RANBP1
PID_E2F_PATHWAY	RRM1
PID_E2F_PATHWAY	RRM2
PID_E2F_PATHWAY	CDKN2C
PID_E2F_PATHWAY	HEL25
PID_E2F_PATHWAY	CDKN2A
PID_E2F_PATHWAY	CDC6
PID_E2F_PATHWAY	CDC2
PID_E2F_PATHWAY	DHFR
PID_E2F_PATHWAY	POLA1
PID_E2F_PATHWAY	RYBP
PID_E2F_PATHWAY	CDK2
PID_E2F_PATHWAY	ATM
PID_E2F_PATHWAY	TP73
PID_E2F_PATHWAY	HDAC1
PID_E2F_PATHWAY	SP1
PID_E2F_PATHWAY	MYC
PID_E2F_PATHWAY	RB1
PID_E2F_PATHWAY	CDKN1A
PID_E2F_PATHWAY	CDKN1B
PID_E2F_PATHWAY	ORC1L
PID_E2F_PATHWAY	TRRAP
PID_E2F_PATHWAY	SERPINE1
PID_E2F_PATHWAY	BRCA1
PID_E2F_PATHWAY	YY1
PID_E2F_PATHWAY	UXT
PID_E2F_PATHWAY	CCND3
PID_E2F_PATHWAY	TRIM28
PID_E2F_PATHWAY	EP300
PID_E2F_PATHWAY	MYBL2
PID_E2F_PATHWAY	TOPBP1
PID_E2F_PATHWAY	TK1
PID_E2F_PATHWAY	SULT2A1
PID_E2F_PATHWAY	APAF1
PID_P53_DOWNSTREAM_PATHWAY	PERP
PID_P53_DOWNSTREAM_PATHWAY	TP53INP1
PID_P53_DOWNSTREAM_PATHWAY	SPP1
PID_P53_DOWNSTREAM_PATHWAY	DROSHA
PID_P53_DOWNSTREAM_PATHWAY	BAK1
PID_P53_DOWNSTREAM_PATHWAY	TIGAR
PID_P53_DOWNSTREAM_PATHWAY	NFYA
PID_P53_DOWNSTREAM_PATHWAY	NR1i1
PID_P53_DOWNSTREAM_PATHWAY	NFYB
PID_P53_DOWNSTREAM_PATHWAY	GDF15
PID_P53_DOWNSTREAM_PATHWAY	NFYC
PID_P53_DOWNSTREAM_PATHWAY	ARID3A
PID_P53_DOWNSTREAM_PATHWAY	POU4F1
PID_P53_DOWNSTREAM_PATHWAY	PML
PID_P53_DOWNSTREAM_PATHWAY	POU4F2
PID_P53_DOWNSTREAM_PATHWAY	RFWD2
PID_P53_DOWNSTREAM_PATHWAY	CARM1
PID_P53_DOWNSTREAM_PATHWAY	CCNG1
PID_P53_DOWNSTREAM_PATHWAY	BAX
PID_P53_DOWNSTREAM_PATHWAY	FAS
PID_P53_DOWNSTREAM_PATHWAY	CEBPZ
PID_P53_DOWNSTREAM_PATHWAY	SP1
PID_P53_DOWNSTREAM_PATHWAY	BCL2
PID_P53_DOWNSTREAM_PATHWAY	BCL2L1
PID_P53_DOWNSTREAM_PATHWAY	RB1
PID_P53_DOWNSTREAM_PATHWAY	CDKN1A
PID_P53_DOWNSTREAM_PATHWAY	TRRAP
PID_P53_DOWNSTREAM_PATHWAY	SERPINE1
PID_P53_DOWNSTREAM_PATHWAY	EP300
PID_P53_DOWNSTREAM_PATHWAY	APAF1
PID_P53_DOWNSTREAM_PATHWAY	HIC1
PID_P53_DOWNSTREAM_PATHWAY	KAT2A
PID_P53_DOWNSTREAM_PATHWAY	TFDP1
PID_P53_DOWNSTREAM_PATHWAY	E2F2
PID_P53_DOWNSTREAM_PATHWAY	E2F3
PID_P53_DOWNSTREAM_PATHWAY	MCL1
PID_P53_DOWNSTREAM_PATHWAY	TP73
PID_P53_DOWNSTREAM_PATHWAY	FOXA1
PID_P53_DOWNSTREAM_PATHWAY	CCNK
PID_P53_DOWNSTREAM_PATHWAY	STEAP3
PID_P53_DOWNSTREAM_PATHWAY	HEL-S-130P
PID_P53_DOWNSTREAM_PATHWAY	CD82
PID_P53_DOWNSTREAM_PATHWAY	PRDM1
PID_P53_DOWNSTREAM_PATHWAY	PYCARD
PID_P53_DOWNSTREAM_PATHWAY	SESN1
PID_P53_DOWNSTREAM_PATHWAY	FDXR
PID_P53_DOWNSTREAM_PATHWAY	TP63
PID_P53_DOWNSTREAM_PATHWAY	BNIP3L
PID_P53_DOWNSTREAM_PATHWAY	S100A2
PID_P53_DOWNSTREAM_PATHWAY	HGF
PID_P53_DOWNSTREAM_PATHWAY	TSC2
PID_P53_DOWNSTREAM_PATHWAY	TAP1
PID_P53_DOWNSTREAM_PATHWAY	DKK1
PID_P53_DOWNSTREAM_PATHWAY	PRKAB1
PID_P53_DOWNSTREAM_PATHWAY	MSH2
PID_P53_DOWNSTREAM_PATHWAY	DDIT4
PID_P53_DOWNSTREAM_PATHWAY	ATF3
PID_P53_DOWNSTREAM_PATHWAY	EPHA2
PID_P53_DOWNSTREAM_PATHWAY	DDX5
PID_P53_DOWNSTREAM_PATHWAY	TGFA
PID_P53_DOWNSTREAM_PATHWAY	CCNB1
PID_P53_DOWNSTREAM_PATHWAY	PCBP4
PID_P53_DOWNSTREAM_PATHWAY	TP53BP2
PID_P53_DOWNSTREAM_PATHWAY	PMAIP1
PID_P53_DOWNSTREAM_PATHWAY	SFN
PID_P53_DOWNSTREAM_PATHWAY	SCN3B
